dbCAN subfam	Subfam Composition	Subfam EC	Substrate	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH154_e17	GH154:227|GH88:5|GH16_10:1	-	-	357	Bc_00016	412	1.2e-164	1	356	32	389	0.994397759104
GH88_e11	GH88:672|PL38:10|GH29:7|GH154:5|PL8_3:1	3.2.1.-:3	host glycan	324	Bc_00019	402	7.7e-160	2	324	71	393	0.993827160494
GH43_e80	GH43_26:12|GH106:7|CBM66:1	-	-	300	Bc_00020	1544	4.9e-179	1	300	28	327	0.996666666667
GH106_e18	GH106:34|GH43_26:7	-	-	565	Bc_00020	1544	3.2e-260	2	563	541	1107	0.992920353982
GH109_e5	GH109:463	-	-	399	Bc_00249	465	2.2e-197	1	398	52	455	0.994987468672
GH3_e57	GH3:182	3.2.1.-:1	beta-glucan	226	Bc_00335	1003	1.4e-112	2	226	112	334	0.991150442478
GT35_e7	GT35:1062|GT3:53	2.4.1.1:9	-	531	Bc_00355	854	5e-233	1	530	126	654	0.996233521657
CBM48_e32	CBM48:1020|GH13_8:992|GH13:3|GT4:2|GH28:2	2.4.1.18:166	glycogen	89	Bc_00647	670	8.4e-28	1	89	54	136	0.988764044944
GH13_e20	GH13_8:470|CBM48:339|GH13:16|GT4:1|GH28:1	2.4.1.18:50	sucrose, alpha-glucan	293	Bc_00647	670	1e-146	1	293	221	512	0.996587030717
GT51_e160	GT51:316	-	-	185	Bc_00663	774	3.2e-87	1	185	58	241	0.994594594595
GT4_e2625	GT4:6	-	-	151	Bc_00672	345	9.3e-53	1	150	171	320	0.986754966887
GT2	GT2:13	-	-	155	Bc_00682	321	8.3e-59	1	152	4	169	0.974193548387
GT2	GT2:75	-	-	140	Bc_00881	238	4e-55	1	139	7	150	0.985714285714
CBM50_e831	CBM50:84	-	chitin, peptidoglycan	44	Bc_00914	586	1.6e-19	1	43	33	74	0.954545454545
CBM50_e831	CBM50:84	-	chitin, peptidoglycan	44	Bc_00914	586	1.5e-20	1	43	87	129	0.954545454545
CBM50_e831	CBM50:84	-	chitin, peptidoglycan	44	Bc_00914	586	1.1e-18	1	44	160	202	0.977272727273
GT2	GT2:13	-	-	175	Bc_00976	302	9.4e-100	1	175	10	184	0.994285714286
GT4_e1235	GT4:27	-	-	152	Bc_00989	385	2.6e-68	2	152	208	356	0.986842105263
GT2	GT2:10	-	-	122	Bc_00990	285	3e-68	1	122	43	164	0.991803278689
GT2	GT2:36	-	-	218	Bc_00992	404	1.8e-107	1	218	58	277	0.995412844037
GH2_e80	GH2:380	3.2.1.25:4	beta-mannan	707	Bc_01055	870	0	4	705	35	740	0.991513437058
CE20_e16	CE20:217|CE0:1|GH33:1|CE3:1	-	-	283	Bc_01056	1052	1.3e-136	1	283	300	580	0.996466431095
