Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	Signalp	#ofTools
Ro_00017	-	GH109(2-283)	GH109_e7	N	N	2
Ro_00032	-	GT4(628-756)	GT4_e2504	GT4	N	3
Ro_00033	-	GT2(9-158)	GT2	N	N	2
Ro_00093	-	GH32(6-307)	GH32_e45	GH32	N	3
Ro_00134	-	CE4(58-167)	CE4_e194	N	N	2
Ro_00284	3.2.1.-	GH42(10-376)	GH42_e0	GH42	N	3
Ro_00285	-	GH1(6-454)	GH1_e86	GH1	N	3
Ro_00645	N	GH109(2-155)	N	N	N	1
Ro_00689	3.2.1.40	GH78(68-398)	GH78_e0	GH78	N	3
Ro_00692	3.2.1.-	GH13_20(39-320)	GH13_e141	GH13	N	3
Ro_00702	-	GT2(5-109)	GT2	GT2	N	3
Ro_00714	-	GH13_4(197-594)	GH13_e4	GH13_4	N	3
Ro_00727	2.4.1.21	GT5(3-476)	GT5_e9	GT5	N	3
Ro_00786	-	GH73(33-164)	GH73_e240	N	N	2
Ro_00846	-	GH18(275-544)	GH18_e221	GH18	N	3
Ro_01142	2.4.1.25	GH77(2-351)	GH77_e1	GH77	N	3
Ro_01349	-	GT4(287-438)	GT4_e426	GT4	N	3
Ro_01368	5.4.99.11|3.2.1.20|3.2.1.10|3.2.1.-|3.2.1.70	GH13_31(4-293)	GH13_e122	GH13_31	N	3
Ro_01383	-	GT2(6-167)	GT2	GT2	N	3
Ro_01412	3.2.1.26	GH32(29-342)	GH32_e71	GH32	N	3
Ro_01433	-	GT28(188-339)	GT28_e30	GT28	N	3
Ro_01672	3.2.1.22	GH36(9-713)	GH36_e0	GH36	N	3
Ro_01696	2.4.1.1	GT35(95-812)	GT35_e0	GT35	N	3
Ro_01715	-	CE9(3-367)	CE9_e44	CE9	N	3
Ro_01716	-	CE4(172-286)	CE4_e271	CE4	N	3
Ro_01717	2.4.1.18	CBM48(26-111)+GH13_9(185-484)	CBM48_e2+GH13_e200	CBM48+GH13_9	N	3
Ro_01836	-	GH32(96-374)	GH32_e25	N	N	2
Ro_01838	-	GH32(94-374)	GH32_e25	GH32	N	3
Ro_01840	-	GH13_4(128-525)	GH13_e4	GH13_4	N	3
Ro_01841	-	GH172(88-347)	GH172_e0	GH172	N	3
Ro_01968	3.2.1.23	GH2(23-894)	GH2_e1	GH2	N	3
Ro_01969	3.2.1.23	GH42(15-385)	GH42_e20	GH42	N	3
Ro_02044	3.2.1.40	GH78(216-619)	GH78_e1	GH78	N	3
Ro_02045	-	GH2(2-677)	GH2_e95	GH2	N	3
Ro_02046	-	GH3(717-924)	GH3_e33	GH3	Y(1-26)	3
Ro_02052	3.2.1.37|3.2.1.55	GH43_35(8-321)	GH43_e264	GH43_35	N	3
Ro_02096	-	GH3(676-868)	GH3_e130	GH3	N	3
Ro_02097	3.2.1.21|3.2.1.-|3.2.1.37|3.2.1.55|3.2.1.23|3.2.1.45	GH3(29-249)	GH3_e197	GH3	N	3
Ro_02218	2.4.1.18	CBM48(124-210)+GH13_9(266-563)	CBM48_e2+GH13_e200	CBM48+GH13_9	N	3
Ro_02233	3.2.1.-|3.2.1.63	GH95(4-729)	GH95_e1	GH95	N	3
Ro_02235	2.4.1.211	GH112(6-718)	GH112_e0	GH112	N	3
Ro_02241	3.2.1.111|3.2.1.51	GH29(14-341)	GH29_e30	GH29	N	3
Ro_02256	-	GT2(14-180)	GT2	GT2	N	3
Ro_02258	-	GT2(5-144)	GT2	N	N	2
Ro_02259	-	GT2(9-162)	GT2	GT2	N	3
Ro_02359	-	GT2(14-158)	GT2	N	N	2
Ro_02364	-	GT2(5-160)	GT2	N	N	2
Ro_02366	-	GT4(197-346)	GT4_e381	N	N	2
Ro_02367	-	GT4(179-322)	GT4_e825	N	N	2
Ro_02369	-	GT2(5-172)	GT2	N	N	2
Ro_02370	-	GT4(191-301)	GT4_e150	N	N	2
Ro_02377	-	GT2(6-168)	GT2	GT2	N	3
Ro_02380	-	GT2(5-142)	GT2	GT2	N	3
Ro_02384	-	CE4(76-203)	CE4_e362	CE4	N	3
Ro_02463	-	GT2(7-134)	GT2	GT2	N	3
Ro_02464	-	GT2(4-132)	GT2	GT2	N	3
Ro_02494	3.2.1.1|3.2.1.41|-	CBM34(38-136)+GH13_39(192-572)	CBM34_e11+GH13_e98	CBM34+GH13	N	3
Ro_02570	3.2.1.68|2.4.1.25|3.2.1.-	GH13_11(191-552)	CBM48_e3+GH13_e48	CBM48+GH13_11	N	3
Ro_02665	2.4.1.1	GT35(79-753)	GT35_e0	GT35	N	3
Ro_02713	-	GT2(7-171)	GT2	N	N	2
Ro_02714	-	GT2(4-171)	GT2	N	N	2
Ro_02715	-	GT2(6-170)	GT2	N	N	2
Ro_02730	-	GH73(138-264)	GH73_e230	GH73	Y(1-31)	3
Ro_02821	-	GH43_11(2-313)+CBM91(343-541)	GH43_e1+CBM91_e3	GH43_11	N	3
Ro_02822	3.2.1.55|3.2.1.21|3.2.1.58	GH5_44(50-357)	GH5_e69	GH5_44	N	3
Ro_02877	-	GH13_11(267-445)	GH13_e138	CBM48+GH13_11	N	3
Ro_03019	2.4.1.20|2.4.1.49	GH94(2-807)	GH94_e12	GH94	N	3
Ro_03067	-	GT2(280-411)+GT2(536-714)	GT2+GT2	GT2	N	3
Ro_03068	-	GT2(286-412)+GT2(545-687)	GT2+GT2	GT2	N	3
Ro_03071	-	GT2(84-244)+GT2(341-520)	GT2+GT2	GT2	N	3
Ro_03072	-	GT2(4-174)	GT2	GT2	N	3
Ro_03075	-	GT2(7-175)	GT2	GT2	N	3
Ro_03081	-	GT2(5-133)	GT2	GT2	N	3
Ro_03146	2.4.1.25	GH77(11-280)	GH77_e1	GH77	N	3
Ro_03147	2.4.1.25	GH77(6-220)	GH77_e1	GH77	N	3
Ro_03151	2.4.1.18	CBM48(18-93)+GH13_9(164-453)	CBM48_e2+GH13_e200	CBM48+GH13_9	N	3
Ro_03182	-	GT51(82-266)	GT51_e43	GT51	N	3
Ro_03208	-	GH23(224-342)	GH23_e843	GH23	N	3
Ro_03325	5.4.99.11|3.2.1.20|3.2.1.10|3.2.1.-|3.2.1.70	GH13_31(28-376)	GH13_e122	GH13_31	N	3
Ro_03326	-	GH31(133-613)	GH31_e25	GH31	N	3
Ro_01702	-	N	CBM50_e811	CBM50	N	2
Ro_02304	-	N	GT2	N	N	1
Ro_02305	-	N	GT2	N	N	1
Ro_02440	-	N	GH23_e21	GH23	Y(1-30)	2
Ro_00773	-	N	GH23_e21	GH23	Y(1-30)	2
Ro_01086	-	N	GT2	N	N	1
Ro_01166	-	N	GH23_e928	N	N	1
Ro_01590	-	N	GH20_e116	N	N	1
