Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
Bc_00012	QQT78506.1|GH2	100.0	604	0	0	1	604	1	604	0.0e+00	1281.5
Bc_00013	ASM64975.1|GH105	100.0	360	0	0	1	360	1	360	2.6e-217	758.1
Bc_00016	ASM64972.1|GH154	100.0	412	0	0	1	412	1	412	5.6e-248	860.1
Bc_00019	QQT78513.1|GH88	100.0	402	0	0	1	402	1	402	1.1e-240	835.9
Bc_00020	ASM64969.1|GH106|GH43_26	100.0	1544	0	0	1	1544	1	1544	0.0e+00	3270.3
Bc_00021	QQT79801.1|GH146	100.0	655	0	0	1	655	1	655	0.0e+00	1358.2
Bc_00048	QQT78538.1|GH16_3	100.0	374	0	0	1	374	1	374	7.4e-223	776.5
Bc_00061	ASM64939.1|GH31	100.0	528	0	0	1	528	1	528	0.0e+00	1119.8
Bc_00069	ASM64931.1|GH97	100.0	647	0	0	1	647	3	649	0.0e+00	1345.1
Bc_00082	ASM64919.1|GH29	100.0	471	0	0	1	471	1	471	5.4e-295	1016.5
Bc_00107	QQT78590.1|CBM32	100.0	392	0	0	1	392	1	392	8.6e-230	799.7
Bc_00108	ASM64901.1|GH110	100.0	602	0	0	1	602	1	602	0.0e+00	1236.9
Bc_00109	ASM67747.1|GH95	100.0	831	0	0	1	831	1	831	0.0e+00	1737.2
Bc_00157	QUU06916.1|CBM32	43.7	984	506	28	19	977	13	973	1.4e-215	753.8
Bc_00165	ASM64853.1|GH123	100.0	598	0	0	1	598	1	598	0.0e+00	1247.6
Bc_00169	ASM64850.1|GT30	100.0	407	0	0	1	407	1	407	4.1e-243	844.0
Bc_00190	CCO12868.2|GH1	44.1	1436	510	16	11	1402	5	1191	0.0e+00	1093.6
Bc_00194	CAD7226128.1|GH38	34.5	730	421	12	4	697	1339	2047	1.5e-112	411.0
Bc_00246	ASM64782.1|PL9_2	100.0	558	0	0	1	558	1	558	0.0e+00	1117.1
Bc_00247	QRP59400.1|PL9_2	100.0	526	0	0	1	526	1	526	3.6e-308	1060.4
Bc_00248	QQT78717.1|GH89	100.0	715	0	0	1	715	1	715	0.0e+00	1495.7
Bc_00249	QQT78718.1|GH109	100.0	465	0	0	1	465	1	465	1.8e-282	974.9
Bc_00250	QQT78719.1|CBM32|GH35	100.0	774	0	0	1	774	1	774	0.0e+00	1631.7
Bc_00268	QRP59386.1|CBM35|GH27	100.0	545	0	0	1	545	1	545	0.0e+00	1151.0
Bc_00283	CAD7252417.1|GH13	57.1	583	241	6	129	706	341	919	6.0e-173	611.7
Bc_00288	ASM64757.1|GH16_3	100.0	267	0	0	1	267	1	267	6.8e-162	573.5
Bc_00302	QBQ55251.1|CBM50	32.4	891	543	16	12	884	40	889	4.0e-105	386.7
Bc_00323	ASM67725.1|GT51	100.0	652	0	0	2	653	1	652	0.0e+00	1300.8
Bc_00335	QUU06164.1|GH3	100.0	1003	0	0	1	1003	1	1003	0.0e+00	1996.9
Bc_00354	QUU09635.1|GT3	100.0	553	0	0	1	553	1	553	0.0e+00	1150.6
Bc_00355	QQT79696.1|GT35	100.0	854	0	0	1	854	1	854	0.0e+00	1775.0
Bc_00439	QRP58347.1|GT4	100.0	394	0	0	1	394	1	394	2.1e-228	795.0
Bc_00442	QRP58344.1|GT6	100.0	263	0	0	1	263	1	263	2.5e-156	555.1
Bc_00443	ASM66993.1|GT11	100.0	289	0	0	1	289	1	289	3.9e-179	630.9
Bc_00445	QQT79775.1|GT2	100.0	270	0	0	1	270	1	270	1.0e-152	543.1
Bc_00461	ABM98857.2|GT4	65.2	305	106	0	2	306	7	311	2.6e-120	435.6
Bc_00467	QRP58322.1|GH130	100.0	322	0	0	1	322	1	322	2.4e-201	704.9
Bc_00468	ASM66971.1|GH92	100.0	755	0	0	1	755	1	755	0.0e+00	1588.2
Bc_00504	CAG7903126.1|GH28	42.9	466	244	6	10	468	66	516	3.2e-104	382.9
Bc_00521	QRP58274.1|CBM50	100.0	435	0	0	1	435	1	435	2.7e-139	499.2
Bc_00535	AGL63717.2|GT4	49.0	622	301	6	195	815	107	713	3.9e-163	579.3
Bc_00553	ACT97502.1|GH78	86.8	227	30	0	812	1038	321	547	3.3e-103	380.6
Bc_00563	ASM66891.1|GH29	100.0	491	0	0	1	491	1	491	1.1e-306	1055.4
Bc_00571	ALR08738.2|GT83	44.0	588	313	7	3	580	2	583	3.3e-140	502.7
Bc_00600	AVI59029.1|GT2	47.5	438	222	5	1	437	1	431	1.3e-106	390.6
Bc_00645	QUU09290.1|GH13_38	100.0	565	0	0	1	565	1	565	0.0e+00	1192.6
Bc_00647	ASM66816.1|GH13_8	100.0	670	0	0	1	670	1	670	0.0e+00	1428.7
Bc_00663	ASM66805.1|GT51	100.0	774	0	0	1	774	1	774	0.0e+00	1567.0
Bc_00669	QRP58144.1|GT2	100.0	273	0	0	1	273	1	273	2.9e-160	568.2
Bc_00671	ASM66798.1|GT4	100.0	355	0	0	1	355	1	355	2.7e-206	721.5
Bc_00672	ASM66797.1|GT4	100.0	345	0	0	1	345	1	345	2.9e-197	691.4
Bc_00674	QRP58139.1|GT4	100.0	390	0	0	1	390	1	390	2.7e-223	778.1
Bc_00675	QQT76610.1|GT2	100.0	355	0	0	1	355	1	355	2.6e-209	731.5
Bc_00680	AMJ19575.1|GT9	49.1	350	176	2	6	353	5	354	1.1e-103	380.6
Bc_00682	QQT76617.1|GT2	100.0	321	0	0	1	321	1	321	1.5e-184	649.0
Bc_00687	CAI32746.2|GT4	50.7	442	170	5	7	448	1	394	1.2e-118	430.6
Bc_00748	AMJ20543.1|GH13_11	49.8	426	194	3	1	423	1	409	1.2e-112	410.6
Bc_00769	CAD7245033.1|GT58	62.4	505	152	6	5	502	1054	1527	7.3e-165	584.3
Bc_00792	QQT76721.1|GH97	100.0	669	0	0	1	669	1	669	0.0e+00	1408.3
Bc_00793	QUU09058.1|CE9	100.0	390	0	0	1	390	1	390	1.2e-226	789.3
Bc_00794	QRP58027.1|CE9	100.0	388	0	0	1	388	1	388	1.7e-222	775.4
Bc_00815	ASM66673.1|CBM62	100.0	647	0	0	1	647	1	647	0.0e+00	1347.8
Bc_00840	CAG7883609.1|GT1	56.9	901	355	7	3	901	170	1039	3.1e-283	978.4
Bc_00850	CAE6204650.1|GH28	51.3	600	282	4	2	592	745	1343	2.8e-176	622.5
Bc_00877	QRP57959.1|GT4	100.0	373	0	0	1	373	1	373	1.4e-218	762.3
Bc_00878	ASM66616.1|GT4	100.0	354	0	0	1	354	1	354	1.2e-203	712.6
Bc_00880	QQT76795.1|GT2	100.0	316	0	0	1	316	1	316	4.6e-181	637.5
Bc_00881	QRP57955.1|GT2	100.0	238	0	0	1	238	1	238	1.3e-135	486.1
Bc_00884	QRP57953.1|GT0	100.0	398	0	0	1	398	1	398	9.0e-227	789.6
Bc_00914	QQT76827.1|CBM50	100.0	586	0	0	1	586	1	586	0.0e+00	1169.8
Bc_00976	ASM66529.1|GT2	100.0	302	0	0	1	302	1	302	1.2e-175	619.4
Bc_00977	QQT76888.1|GT2	100.0	386	0	0	1	386	1	386	9.4e-213	743.0
Bc_00978	QUU08823.1|GT4	100.0	369	0	0	1	369	1	369	3.4e-212	741.1
Bc_00985	QRP59823.1|GT0	100.0	375	0	0	1	375	1	375	2.7e-220	768.1
Bc_00986	QRP57858.1|GT4	100.0	401	0	0	1	401	1	401	2.9e-233	811.2
Bc_00988	CUA18573.1|GT4	67.0	367	120	1	1	367	1	366	2.3e-139	499.2
Bc_00989	QRP57855.1|GT4	100.0	385	0	0	1	385	1	385	5.1e-227	790.4
Bc_00990	ASM66519.1|GT2	100.0	285	0	0	1	285	1	285	3.6e-169	597.8
Bc_00992	QQT76899.1|GT2	100.0	404	0	0	1	404	1	404	1.7e-225	785.4
Bc_00993	AAO76290.1|GT2	75.3	911	204	1	3	892	425	1335	0.0e+00	1332.4
Bc_01004	QQT76908.1|GT51	100.0	246	0	0	1	246	1	246	6.8e-132	473.8
Bc_01027	CBA03971.1|GT30	57.2	383	159	1	6	388	2	379	2.2e-118	429.9
Bc_01053	ASM66470.1|GH20	100.0	690	0	0	1	690	1	690	0.0e+00	1411.0
Bc_01054	QRP57800.1|GH20	100.0	774	0	0	1	774	1	774	0.0e+00	1580.5
Bc_01055	QQT76953.1|GH2	100.0	870	0	0	1	870	1	870	0.0e+00	1812.0
Bc_01056	ASM66467.1|CE20	100.0	1052	0	0	1	1052	1	1052	0.0e+00	2209.9
Bc_01058	ASM66465.1|GH20	100.0	672	0	0	1	672	1	672	0.0e+00	1377.1
Bc_01059	QUU08747.1|GH33	99.8	560	1	0	1	560	1	560	0.0e+00	1127.1
Bc_01195	QRP59629.1|GT2	100.0	291	0	0	1	291	1	291	8.8e-171	603.2
