Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
Pd_00003	QRO17985.1|CBM20|GH77	100.0	895	0	0	1	895	1	895	0.0e+00	1890.9
Pd_00033	AST52449.1|GT4	100.0	364	0	0	1	364	1	364	1.3e-211	739.2
Pd_00034	AST52450.1|GT4	100.0	386	0	0	1	386	1	386	7.2e-229	796.6
Pd_00039	ABR41834.1|GT4	100.0	365	0	0	1	365	1	365	6.8e-213	743.4
Pd_00042	AST52458.1|GT26	100.0	232	0	0	1	232	1	232	4.4e-133	477.6
Pd_00043	QQN33861.1|GT0	60.0	380	140	3	3	382	2	369	3.9e-126	455.3
Pd_00046	QRO17945.1|GT2	100.0	341	0	0	1	341	1	341	2.8e-200	701.4
Pd_00050	ABR41845.1|GH20	100.0	571	0	0	1	571	1	571	0.0e+00	1171.8
Pd_00057	QUT94541.1|CE20	100.0	473	0	0	1	473	1	473	1.7e-288	995.0
Pd_00060	QUT19839.1|GH130	100.0	390	0	0	1	390	1	390	2.3e-235	818.1
Pd_00061	ABR41855.1|GH26	100.0	368	0	0	1	368	1	368	1.7e-224	781.9
Pd_00077	QCW79542.1|GH101	57.5	457	194	0	57	513	612	1068	1.6e-151	540.0
Pd_00089	AST56160.1|GH35	31.6	900	516	26	236	1077	714	1571	1.6e-116	424.9
Pd_00091	ABR41884.1|GH36	100.0	732	0	0	1	732	1	732	0.0e+00	1527.7
Pd_00170	QCW79542.1|GH101	57.4	458	195	0	59	516	611	1068	3.1e-150	535.8
Pd_00182	QRO17824.1|GT2	100.0	316	0	0	1	316	1	316	4.4e-184	647.5
Pd_00217	QRO17794.1|GH133	100.0	644	0	0	1	644	1	644	0.0e+00	1325.5
Pd_00218	QKH96565.1|GT4	100.0	422	0	0	1	422	1	422	1.2e-250	869.0
Pd_00219	QUT96350.1|GH57	100.0	430	0	0	1	430	1	430	1.4e-249	865.5
Pd_00221	QKH96568.1|GT5	100.0	274	0	0	1	274	1	274	3.4e-156	554.7
Pd_00239	ABR42015.1|GH2	100.0	1112	0	0	1	1112	1	1112	0.0e+00	2297.7
Pd_00245	QUT19662.1|CE9	99.8	401	1	0	1	401	1	401	4.4e-229	797.3
Pd_00246	ABR42022.1|CE9	100.0	388	0	0	1	388	1	388	1.0e-222	776.2
Pd_00253	ABR42029.1|GH38	100.0	856	0	0	1	856	1	856	0.0e+00	1783.5
Pd_00281	CAD7245033.1|GT58	61.7	509	156	5	2	503	1051	1527	2.5e-165	585.9
Pd_00317	QKH96667.1|GT2	100.0	301	0	0	1	301	1	301	3.1e-171	604.7
Pd_00378	QKH96733.1|GH125	100.0	490	0	0	1	490	1	490	1.2e-292	1008.8
Pd_00386	ABR42147.1|GH3	100.0	770	0	0	1	770	1	770	0.0e+00	1536.9
Pd_00394	ACU62277.1|GH35	59.2	385	157	0	5	389	4	388	1.8e-134	483.0
Pd_00432	CUS04494.2|GH39	50.6	1279	559	13	1	1230	4	1258	0.0e+00	1191.8
Pd_00435	AST56160.1|GH35	32.2	887	486	31	242	1042	714	1571	3.1e-109	400.6
Pd_00454	QRO17583.1|GT4	100.0	382	0	0	1	382	1	382	2.5e-213	745.0
Pd_00458	CAI32746.2|GT4	56.1	412	163	2	7	418	1	394	1.5e-131	473.4
Pd_00465	QRO17574.1|GH36	100.0	735	0	0	1	735	1	735	0.0e+00	1529.2
Pd_00494	ABR42251.1|GH2	100.0	604	0	0	1	604	1	604	0.0e+00	1276.9
Pd_00547	ABR42304.1|GT51	100.0	266	0	0	1	266	1	266	1.1e-148	529.6
Pd_00554	QRO17492.1|GH97	100.0	664	0	0	1	664	1	664	0.0e+00	1372.1
Pd_00590	ABR42347.1|GT0	100.0	373	0	0	1	373	1	373	1.4e-218	762.3
Pd_00591	VEJ19452.1|GT4	63.6	346	110	4	5	349	371	701	5.3e-117	424.9
Pd_00593	AOP03843.1|GT0	57.6	375	148	2	5	368	28	402	1.8e-120	436.4
Pd_00594	ABR42351.1|GT4	100.0	401	0	0	1	401	1	401	4.5e-234	813.9
Pd_00645	UBD80816.1|CBM51	99.8	1328	3	0	1	1328	7	1334	0.0e+00	2751.1
Pd_00653	AST53133.1|GH130	100.0	332	0	0	1	332	1	332	2.1e-208	728.4
Pd_00664	CBA03971.1|GT30	52.0	417	189	5	5	419	4	411	3.9e-115	419.1
Pd_00675	QCW79542.1|GH101	56.6	458	197	1	59	514	611	1068	6.4e-148	528.1
Pd_00678	CAN65674.1|GH28	41.6	546	289	7	73	614	111	630	1.9e-120	437.2
Pd_00684	QRO17366.1|GH20	100.0	725	0	0	1	725	1	725	0.0e+00	1516.9
Pd_00685	ABR42442.1|GH92	100.0	747	0	0	1	747	1	747	0.0e+00	1575.8
Pd_00690	QUT95748.1|GH13_14	99.3	543	4	0	1	543	123	665	0.0e+00	1118.6
Pd_00837	QJE27971.1|CBM50	100.0	602	0	0	1	602	1	602	0.0e+00	1186.0
Pd_00839	QKH97149.1|GH23	100.0	327	0	0	1	327	1	327	1.6e-189	665.6
Pd_00967	QRO17109.1|GH13_31	100.0	588	0	0	1	588	1	588	0.0e+00	1234.6
Pd_00968	QUT95544.1|GH13_5	100.0	482	0	0	1	482	1	482	2.9e-296	1020.8
Pd_00969	QRO17107.1|GT51	100.0	848	0	0	1	848	1	848	0.0e+00	1733.4
Pd_00971	ACM64804.2|GT51	26.0	1667	1104	42	209	1844	192	1759	8.4e-150	536.2
Pd_00984	QUR50903.1|CBM50	84.6	363	52	1	1	363	1	359	1.7e-139	499.6
Pd_01017	BCA48091.1|CBM0	52.0	685	329	0	151	835	16	700	7.7e-228	794.3
Pd_01023	QUT18771.1|GH2	100.0	1036	0	0	1	1036	1	1036	0.0e+00	2177.9
Pd_01071	ABR42795.1|GH23	100.0	461	0	0	1	461	1	461	3.9e-274	947.2
Pd_01073	CAG7883609.1|GT1	56.5	901	359	7	3	901	170	1039	3.8e-281	971.5
Pd_01092	ABM98857.2|GT4	63.7	306	110	1	2	307	7	311	3.3e-115	418.7
Pd_01098	QRO16987.1|GT51	100.0	652	0	0	1	652	1	652	0.0e+00	1304.3
Pd_01122	ALR08524.2|GH23	45.4	467	233	5	23	481	22	474	2.9e-106	389.8
Pd_01132	AGL63717.2|GT4	48.3	652	314	8	200	849	107	737	1.9e-165	587.0
Pd_01186	QRO16908.1|GH84	100.0	837	0	0	1	837	1	837	0.0e+00	1739.5
Pd_01199	ABR42918.1|GH109	100.0	466	0	0	1	466	1	466	1.6e-278	961.8
Pd_01231	ARA85284.1|CE12	63.9	327	117	1	4	329	45	371	7.5e-118	427.6
Pd_01232	EAR02039.1|GH117	53.3	518	227	6	1	510	1	511	8.8e-158	560.8
Pd_01251	QIX66981.1|GH3	100.0	866	0	0	1	866	3	868	0.0e+00	1771.1
Pd_01266	AGL63717.2|GT4	45.4	681	290	10	159	835	107	709	3.8e-153	546.2
Pd_01316	AMJ20543.1|GH13_11	49.3	426	196	3	1	423	1	409	1.1e-110	404.1
Pd_01317	QRO16787.1|GH20	100.0	783	0	0	1	783	1	783	0.0e+00	1601.3
Pd_01319	ABR43034.1|GH51	100.0	829	0	0	1	829	1	829	0.0e+00	1704.5
Pd_01325	ABR43040.1|GT2	100.0	408	0	0	1	408	1	408	9.6e-232	806.2
Pd_01326	QRO16768.1|GT4	100.0	359	0	0	1	359	18	376	8.2e-211	736.5
Pd_01328	QUT95193.1|GT0	100.0	345	0	0	1	345	1	345	2.2e-205	718.4
Pd_01330	CUA18573.1|GT4	62.9	375	139	0	1	375	1	375	2.3e-139	499.2
Pd_01331	AST53761.1|GT32	100.0	250	0	0	1	250	1	250	1.4e-148	529.3
Pd_01332	ABR43047.1|GT2	100.0	282	0	0	1	282	1	282	5.3e-165	583.9
Pd_01342	AST53771.1|GT2	100.0	394	0	0	1	394	1	394	3.6e-220	767.7
Pd_01343	AST53772.1|GT2	100.0	307	0	0	1	307	1	307	4.1e-179	630.9
Pd_01344	ABR43057.1|GT2	100.0	395	0	0	1	395	1	395	1.8e-222	775.4
Pd_01349	QUT95173.1|GT2	100.0	249	0	0	1	249	1	249	2.7e-144	515.0
Pd_01364	ABR43077.1|GH78	100.0	738	0	0	1	738	1	738	0.0e+00	1553.5
Pd_01365	ABR43078.1|GH78	100.0	860	0	0	1	860	10	869	0.0e+00	1801.6
Pd_01366	ABR43079.1|GH78	100.0	583	0	0	1	583	1	583	0.0e+00	1212.6
Pd_01372	ARE60508.1|GH43_34	55.0	598	262	5	32	623	24	620	2.9e-195	685.6
Pd_01386	ABR43098.1|GH43_34	100.0	334	0	0	1	334	1	334	1.1e-204	716.1
Pd_01391	QUT19228.1|GT2	100.0	250	0	0	1	250	1	250	3.9e-143	511.1
Pd_01392	AGW14675.1|GT2	43.1	485	259	7	1	475	1	478	6.9e-104	381.7
Pd_01437	CAE6110940.1|CE8	41.4	553	287	10	44	588	264	787	9.0e-114	414.8
Pd_01454	ALR08738.2|GT83	43.5	591	312	9	3	580	2	583	1.0e-138	497.7
Pd_01458	QUR50400.1|GT4	100.0	363	0	0	1	363	1	363	2.5e-199	698.4
Pd_01461	ABR43167.1|GT4	100.0	385	0	0	1	385	1	385	3.4e-223	777.7
Pd_01463	ABR43169.1|GT2	100.0	325	0	0	1	325	1	325	4.2e-182	641.0
Pd_01474	ABR43180.1|GH2	100.0	940	0	0	1	940	1	940	0.0e+00	1972.2
Pd_01480	QRO16628.1|GH20	100.0	370	0	0	1	370	1	370	2.5e-223	778.1
Pd_01487	ABR43190.1|GT2	100.0	388	0	0	1	388	1	388	4.7e-228	793.9
Pd_01490	UKK73178.1|GT2	58.3	441	175	3	4	437	801	1239	6.0e-147	524.6
Pd_01509	QCY56689.1|GT0	100.0	411	0	0	1	411	1	411	1.8e-241	838.6
Pd_01510	QKH97839.1|GT0	100.0	377	0	0	1	377	1	377	3.0e-224	781.2
Pd_01516	AVI59029.1|GT2	46.7	439	225	6	1	438	1	431	1.1e-105	387.5
Pd_01522	QUT19359.1|GT4	100.0	418	0	0	1	418	1	418	4.7e-242	840.5
Pd_01523	QUT19360.1|GT4	100.0	359	0	0	1	359	1	359	2.5e-212	741.5
Pd_01528	CAE6204650.1|GH28	51.2	600	285	3	2	594	745	1343	3.4e-177	625.5
