Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
Bv_00007	QQY43205.1|GT2	100.0	341	0	0	1	341	1	341	6.2e-200	700.3
Bv_00032	ABR37758.1|CE20	100.0	645	0	0	1	645	1	645	0.0e+00	1347.8
Bv_00033	QQY39903.1|GH67	100.0	681	0	0	1	681	1	681	0.0e+00	1445.3
Bv_00034	ABR37760.1|GH115	100.0	864	0	0	1	864	1	864	0.0e+00	1791.5
Bv_00035	QQY39901.1|GH43_10	100.0	527	0	0	1	527	1	527	0.0e+00	1122.1
Bv_00036	QQY40420.1|CBM48|CBM6|CE0|GH43_29	100.0	835	0	0	1	835	1	835	0.0e+00	1791.5
Bv_00042	QUT56974.1|GH43_12	100.0	632	0	0	1	632	1	632	0.0e+00	1333.5
Bv_00043	CCG34978.1|GH43_1	100.0	323	0	0	1	323	1	323	9.7e-203	709.5
Bv_00044	QQY39893.1|GH10	100.0	373	0	0	1	373	1	373	4.4e-223	777.3
Bv_00047	QEW35703.1|GH16_3	100.0	263	0	0	1	263	1	263	5.7e-161	570.5
Bv_00060	QQY43165.1|CE9	100.0	387	0	0	1	387	1	387	5.3e-224	780.4
Bv_00066	QQY39872.1|CBM62	100.0	503	0	0	1	503	1	503	8.3e-310	1065.8
Bv_00068	QQY39870.1|CBM62	100.0	634	0	0	1	634	1	634	0.0e+00	1363.2
Bv_00078	AHC21644.2|GH1	48.6	518	260	3	1	516	8	521	1.2e-138	497.3
Bv_00089	QEW35655.1|GH20	100.0	768	0	0	1	768	1	768	0.0e+00	1601.6
Bv_00102	QQY39837.1|CE11	100.0	461	0	0	1	461	1	461	1.6e-267	925.2
Bv_00106	QQY39833.1|GH29	100.0	679	0	0	1	679	1	679	0.0e+00	1413.3
Bv_00109	QQY40418.1|GH110	100.0	592	0	0	1	592	3	594	0.0e+00	1231.1
Bv_00110	ABR37835.1|GH109	100.0	516	0	0	1	516	1	516	0.0e+00	1075.8
Bv_00121	ABR37845.1|GH88	100.0	407	0	0	1	407	1	407	3.1e-246	854.4
Bv_00122	ABR37846.1|GH43_10	100.0	549	0	0	1	549	1	549	0.0e+00	1186.4
Bv_00123	ABR37847.1|GH97	100.0	645	0	0	1	645	1	645	0.0e+00	1344.3
Bv_00124	QQY39818.1|PL40	100.0	878	0	0	1	878	1	878	0.0e+00	1859.0
Bv_00126	ABR37850.1|GH146	100.0	640	0	0	1	640	1	640	0.0e+00	1336.6
Bv_00127	QQY39815.1|GH28	100.0	461	0	0	1	461	1	461	2.6e-278	961.1
Bv_00128	ALJ47133.1|GH97	54.4	452	198	5	11	457	61	509	1.4e-144	516.9
Bv_00131	QQY39813.1|GH28	100.0	478	0	0	1	478	1	478	1.6e-286	988.4
Bv_00136	ABR37859.1|PL40	100.0	908	0	0	1	908	1	908	0.0e+00	1877.8
