Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
Dl_00017	CCO12868.2|GH1	60.2	1198	432	8	15	1179	7	1192	0.0e+00	1439.5
Dl_00030	CAD7226128.1|GH38	35.1	715	402	14	12	689	1345	2034	3.0e-108	396.7
Dl_00038	UOX53266.1|GH43_26	99.6	488	2	0	1	488	1	488	7.3e-303	1042.7
Dl_00040	UOX53268.1|GH127	99.7	649	2	0	1	649	1	649	0.0e+00	1345.1
Dl_00044	UOX53272.1|GH51	100.0	504	0	0	1	504	1	504	1.4e-301	1038.5
Dl_00122	CAG7911095.1|GH5_11	43.8	904	464	15	13	883	587	1479	9.1e-219	764.2
Dl_00194	CBK79810.1|GH23	89.7	663	63	1	1	663	1	658	2.9e-286	988.0
Dl_00307	UOX53617.1|GT35	99.7	752	2	0	1	752	1	752	0.0e+00	1503.8
Dl_00339	CCO12112.2|GH13_31	60.4	427	162	3	7	428	4	428	5.5e-137	491.5
Dl_00389	QWY73209.1|GH3	100.0	847	0	0	1	847	1	847	0.0e+00	1700.6
Dl_00420	UOX54309.1|GT5	99.8	478	1	0	1	478	1	478	6.5e-288	993.0
Dl_00591	AGL63871.2|GT2	45.6	496	248	7	335	829	514	988	1.0e-110	405.2
Dl_00668	UOX54527.1|CE4	99.4	477	3	0	9	485	1	477	5.3e-237	823.9
Dl_00689	UOX54545.1|CBM48|GH13_11	99.1	585	5	0	1	585	1	585	0.0e+00	1215.7
Dl_00715	QEI32542.1|GH0	77.0	287	66	0	9	295	18	304	1.0e-129	466.8
Dl_00832	UOX53089.1|GH32	99.8	478	1	0	1	478	1	478	6.0e-294	1013.1
Dl_00844	QWU85921.1|GH130	53.3	460	207	1	5	456	1375	1834	1.8e-138	496.5
Dl_00871	UOX53056.1|GH2	99.7	584	2	0	3	586	1	584	0.0e+00	1233.0
Dl_00882	CAD7245033.1|GT58	66.2	470	144	3	4	460	1055	1522	1.8e-170	602.8
Dl_00907	UOX53022.1|CE4	94.0	317	19	0	1	317	1	317	1.5e-139	499.6
Dl_00912	QWU85921.1|GH130	49.2	465	229	1	3	460	1373	1837	5.2e-133	478.4
Dl_00923	UOX53007.1|CBM48|GH13_9	99.8	636	1	0	1	636	1	636	0.0e+00	1360.5
Dl_00948	UOX52986.1|GT28	100.0	355	0	0	1	355	1	355	2.4e-202	708.4
Dl_00968	UOX52966.1|GH18	100.0	638	0	0	1	638	1	638	0.0e+00	1127.9
Dl_01019	QWY73207.1|GH1	100.0	486	0	0	1	486	1	486	2.0e-305	1051.2
Dl_01044	CAG7883609.1|GT1	52.3	862	406	3	9	868	181	1039	7.2e-253	877.5
Dl_01066	AMJ18631.1|GT2	47.3	1190	579	18	5	1172	1	1164	2.5e-296	1022.3
Dl_01184	AWZ17133.1|GH13_30	40.2	1198	639	22	3	1147	406	1579	5.1e-238	828.6
Dl_01191	UOX52670.1|CBM50	100.0	518	0	0	1	518	1	518	1.3e-302	1042.0
Dl_01231	UNT97471.1|GH0	49.5	683	334	4	1	673	1	682	1.6e-176	623.6
Dl_01232	UOX55146.1|GH23	98.4	563	9	0	1	563	1	563	1.3e-292	1008.8
Dl_01292	AMJ20543.1|GH13_11	53.6	401	179	3	20	413	9	409	1.1e-113	414.1
Dl_01369	AGL64700.2|GH23	54.6	357	160	2	2	357	5	360	1.8e-104	383.3
Dl_01378	CAE6204650.1|GH28	51.7	602	283	4	6	601	744	1343	6.7e-173	611.3
Dl_01413	QWY73208.1|GH13_31	100.0	557	0	0	1	557	1	557	0.0e+00	1174.8
Dl_01477	QWY73206.1|GH1	100.0	476	0	0	1	476	1	476	5.4e-295	1016.5
Dl_01484	ANU78758.2|GT4	61.0	364	136	3	211	568	13	376	1.9e-124	450.3
Dl_01487	QUO36422.1|GT4	60.1	348	139	0	11	358	1	348	1.9e-117	426.4
Dl_01488	QUO36421.1|GT2	74.7	288	72	1	4	291	9	295	1.8e-126	456.1
Dl_01489	QCT07964.1|GT4	55.6	369	162	2	3	370	5	372	3.8e-110	402.1
Dl_01521	UOX52954.1|GT35	99.8	825	2	0	1	825	1	825	0.0e+00	1661.0
Dl_01537	QYO62262.1|GH13	61.4	345	131	2	1	344	1	344	3.1e-113	412.9
Dl_01547	UOX54775.1|CE4	99.6	240	1	0	1	240	1	240	1.5e-136	489.2
Dl_01548	UOX54776.1|GT28	99.7	363	1	0	1	363	1	363	3.5e-209	731.1
Dl_01567	UOX54793.1|CE4	95.0	298	15	0	1	298	1	298	4.3e-165	584.3
Dl_01570	UOX54796.1|GT2	99.3	305	2	0	1	305	1	305	9.8e-173	609.8
Dl_01573	UOX54799.1|GT2	99.7	317	1	0	1	317	1	317	3.2e-182	641.3
Dl_01574	UOX54800.1|GT2	99.8	605	1	0	1	605	1	605	0.0e+00	1225.7
