HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GT2.hmm	170	Bv_00007	341	1.4e-23	1	128	5	128	0.747058823529
CE20.hmm	249	Bv_00032	645	8e-40	3	117	98	222	0.457831325301
CE20.hmm	249	Bv_00032	645	1.1e-45	121	246	404	529	0.502008032129
GH67.hmm	669	Bv_00033	681	2.5e-267	64	667	68	650	0.90134529148
GH115.hmm	697	Bv_00034	864	2.4e-282	3	697	36	837	0.995695839311
GH43_10.hmm	271	Bv_00035	527	1.3e-101	2	271	27	294	0.992619926199
CBM91.hmm	200	Bv_00035	527	3.7e-32	5	197	323	526	0.96
GH43_29.hmm	278	Bv_00036	835	1.9e-119	1	277	30	317	0.992805755396
CBM6.hmm	138	Bv_00036	835	1.9e-31	14	137	337	464	0.891304347826
CE1.hmm	227	Bv_00036	835	2.1e-54	2	222	600	829	0.969162995595
GH43_12.hmm	281	Bv_00042	632	8.8e-112	2	281	125	420	0.992882562278
CBM91.hmm	200	Bv_00042	632	7.9e-57	4	179	451	630	0.875
GH43_1.hmm	310	Bv_00043	323	1.3e-162	2	310	8	317	0.993548387097
GH10.hmm	303	Bv_00044	373	1.2e-103	1	301	30	368	0.990099009901
GH16_3.hmm	230	Bv_00047	263	2e-50	1	230	34	260	0.995652173913
CE9.hmm	373	Bv_00060	387	5.4e-107	1	373	5	377	0.997319034853
GH20.hmm	337	Bv_00089	768	6.5e-121	8	336	160	514	0.973293768546
CE11.hmm	271	Bv_00102	461	1.8e-73	1	221	4	225	0.811808118081
GH29.hmm	346	Bv_00106	679	1.8e-91	38	346	22	335	0.890173410405
GH110.hmm	548	Bv_00109	592	2.8e-236	1	547	23	592	0.996350364964
GH109.hmm	399	Bv_00110	516	5.5e-157	2	397	63	473	0.989974937343
GH88.hmm	329	Bv_00121	407	4e-126	3	329	72	395	0.990881458967
GH43_10.hmm	271	Bv_00122	549	5.9e-109	2	271	38	307	0.992619926199
CBM91.hmm	200	Bv_00122	549	2.8e-19	4	195	341	546	0.955
GH97.hmm	631	Bv_00123	645	1.8e-171	6	630	15	626	0.988906497623
PL40.hmm	873	Bv_00124	878	3.9e-206	1	842	1	868	0.963344788087
GH146.hmm	503	Bv_00126	640	9.8e-202	1	503	49	554	0.998011928429
GH28.hmm	325	Bv_00127	461	3e-45	60	307	182	442	0.76
GH28.hmm	325	Bv_00131	478	5.4e-34	50	307	175	446	0.790769230769
PL40.hmm	873	Bv_00136	908	5e-260	6	839	4	895	0.954180985109
GH3.hmm	216	Bv_00138	788	4.4e-64	3	213	135	357	0.972222222222
