Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	Signalp	#ofTools
BcWH2_00026	-	GH30_2(48-466)	GH30_e66	GH30_2	Y(1-19)	3
BcWH2_00027	3.2.1.55	GH43_2(49-320)	GH43_e327	GH43_2	Y(1-27)	3
BcWH2_00028	3.2.1.37|3.2.1.55|3.2.1.21|3.2.1.6|3.2.1.73	GH3(62-303)	GH3_e0	GH3	Y(1-25)	3
BcWH2_00029	3.2.1.-	GH92(214-736)	GH92_e30	GH92	Y(1-29)	3
BcWH2_00030	3.2.1.55	GH43_2(39-309)	GH43_e327	GH43_2	Y(1-23)	3
BcWH2_00044	3.2.1.-|3.2.1.63	GH95(19-680)	GH95_e1	GH95	Y(1-21)	3
BcWH2_00056	-	GT2(4-144)	GT2	GT2	N	3
BcWH2_00106	-	GH171(43-386)	GH171_e3	GH171	Y(1-20)	3
BcWH2_00110	-	GT2(247-372)	GT2	GT2	N	3
BcWH2_00114	3.2.1.92	GH171(44-409)	GH171_e0	GH171	Y(1-20)	3
BcWH2_00140	3.2.1.21|3.2.1.-	GH3(99-324)	GH3_e1	GH3	Y(1-25)	3
BcWH2_00141	3.2.1.71|3.2.1.214	GH144(29-441)	GH144_e1	GH144	Y(1-23)	3
BcWH2_00142	3.2.1.51	GH29(27-385)	GH29_e53	GH29	Y(1-25)	3
BcWH2_00143	3.2.1.-|3.2.1.63	GH95(30-795)	GH95_e1	GH95	Y(1-27)	3
BcWH2_00145	-	GH106(39-756)	GH106_e12	GH106	N	3
BcWH2_00146	-	GH28(49-405)	GH28_e19	GH28	Y(1-24)	3
BcWH2_00150	3.2.1.22	GH31(203-631)	GH31_e68	GH31	Y(1-20)	3
BcWH2_00151	-	GH29(10-392)	GH29_e47	GH29	Y(1-24)	3
BcWH2_00152	3.2.1.40|-	CBM67(173-346)+GH78(367-881)	CBM67_e27+GH78_e43	GH78	N	3
BcWH2_00153	3.2.1.40|-	CBM67(23-204)+GH78(244-705)	CBM67_e26+GH78_e30	CBM67+GH78	Y(1-19)	3
BcWH2_00154	-	GH29(20-389)	GH29_e47	GH29	Y(1-20)	3
BcWH2_00160	3.2.1.21|3.2.1.-	GH3(99-324)	GH3_e1	GH3	Y(1-25)	3
BcWH2_00162	3.2.1.71|3.2.1.214	GH144(29-440)	GH144_e1	GH144	Y(1-24)	3
BcWH2_00164	3.1.1.-	CE15(57-380)	CE15_e21	CE15	N	3
BcWH2_00179	3.2.1.67	GH28(48-430)	GH28_e10	GH28	Y(1-49)	3
BcWH2_00180	3.2.1.-|3.2.1.63	GH95(24-760)	GH95_e1	GH95	Y(1-24)	3
BcWH2_00181	3.2.1.37|3.2.1.55|3.2.1.21|3.2.1.6|3.2.1.73	GH3(56-301)	GH3_e0	GH3	N	3
BcWH2_00186	-	GH43_10(50-316)+CBM91(347-535)	GH43_e41+CBM91_e53+CBM6_e10	CBM6+GH43_10	Y(1-41)	3
BcWH2_00192	-	GH28(51-379)	GH28_e96	GH28	Y(1-22)	3
BcWH2_00194	-	GH28(71-423)	GH28_e44	GH28	Y(1-23)	3
BcWH2_00199	-	GH13(332-639)	CBM48_e31+GH13_e156	CBM48+GH13	Y(1-19)	3
BcWH2_00212	3.2.1.1	GH13(162-479)	GH13_e235	GH13	Y(1-20)	3
BcWH2_00215	-	GH13(249-585)	GH13_e210	GH13	N	3
BcWH2_00217	3.2.1.-	GH16_3(572-790)	GH16_e147	GH0	Y(1-21)	3
BcWH2_00218	3.2.1.111|3.2.1.51|-	GH29(44-371)+CBM32(503-603)	GH29_e30+CBM32_e126	GH29	Y(1-21)	3
BcWH2_00219	-	GH2(61-909)	GH2_e30	GH2	Y(1-26)	3
BcWH2_00220	-	GH20(154-512)	GH20_e135	GH20	Y(1-21)	3
BcWH2_00225	-	GH159(36-256)	GH159_e6	GH159	Y(1-21)	3
BcWH2_00227	3.2.1.185	GH146(41-549)	GH146_e0	GH146	Y(1-24)	3
BcWH2_00228	-	GH50(63-661)	GH50_e5	GH50	N	3
BcWH2_00229	-	GH159(40-257)	GH159_e1	GH159	Y(1-25)	3
BcWH2_00230	-	CE20(110-225)+CE20(414-528)	CE20_e20	CE20	Y(1-25)	3
BcWH2_00237	3.2.1.-	GH2(42-658)	GH2_e50	GH2	Y(1-24)	3
BcWH2_00251	-	GT28(202-373)	GT28_e43	GT28	N	3
BcWH2_00275	-	GH2(67-914)	GH2_e30	GH2	Y(1-21)	3
BcWH2_00276	-	GH63(202-640)	GH63_e18	GH63	Y(1-32)	3
BcWH2_00293	3.2.1.21	GH3(118-346)	GH3_e208	GH3	Y(1-21)	3
BcWH2_00294	3.1.1.73|3.2.1.55|3.2.1.8|-	CE1(153-389)	CBM48_e68+CE1_e22	CE0	Y(1-22)	3
BcWH2_00304	3.2.1.3|3.2.1.20	GH97(9-699)	GH97_e22	GH97	Y(1-20)	3
BcWH2_00305	-	GH13(44-330)	GH13_e188	GH13	Y(1-26)	3
BcWH2_00306	-	GH13(56-333)	GH13_e188	GH13	Y(1-25)	3
