HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH30_2.hmm	417	BcWH2_00026	470	1.6e-179	2	416	48	466	0.992805755396
GH43_2.hmm	273	BcWH2_00027	328	8e-126	1	273	49	320	0.996336996337
GH3.hmm	216	BcWH2_00028	854	1.1e-69	4	215	62	303	0.976851851852
GH92.hmm	491	BcWH2_00029	754	2.2e-164	2	491	214	736	0.995926680244
GH43_2.hmm	273	BcWH2_00030	320	8.8e-123	1	273	39	309	0.996336996337
GH95.hmm	722	BcWH2_00044	685	6.4e-258	3	648	19	680	0.893351800554
GT2.hmm	170	BcWH2_00056	329	6.5e-28	1	148	4	144	0.864705882353
GH171.hmm	355	BcWH2_00106	388	6.6e-113	1	355	43	386	0.997183098592
GT2.hmm	170	BcWH2_00110	487	1.7e-22	1	124	247	372	0.723529411765
GH171.hmm	355	BcWH2_00114	410	1.2e-127	1	355	44	409	0.997183098592
GH3.hmm	216	BcWH2_00140	784	2e-68	3	216	99	324	0.986111111111
GH144.hmm	404	BcWH2_00141	441	1.3e-190	2	403	29	441	0.992574257426
GH29.hmm	346	BcWH2_00142	733	6.3e-115	16	346	27	385	0.953757225434
GH95.hmm	722	BcWH2_00143	813	1.2e-264	5	718	30	795	0.987534626039
GH106.hmm	824	BcWH2_00145	1187	3.9e-84	3	693	39	756	0.837378640777
GH28.hmm	325	BcWH2_00146	486	2.1e-60	6	307	49	405	0.926153846154
GH31.hmm	427	BcWH2_00150	716	4.1e-84	3	427	203	631	0.992974238876
GH29.hmm	346	BcWH2_00151	505	1.3e-98	10	346	10	392	0.971098265896
CBM67.hmm	176	BcWH2_00152	928	5.8e-36	12	172	173	346	0.909090909091
GH78.hmm	504	BcWH2_00152	928	2.6e-147	1	504	367	881	0.998015873016
CBM67.hmm	176	BcWH2_00153	765	1.6e-32	1	176	23	204	0.994318181818
GH78.hmm	504	BcWH2_00153	765	4.9e-86	18	498	244	705	0.952380952381
GH29.hmm	346	BcWH2_00154	504	1.1e-98	24	346	20	389	0.93063583815
GH3.hmm	216	BcWH2_00160	773	1.9e-72	3	216	99	324	0.986111111111
GH144.hmm	404	BcWH2_00162	440	2.5e-188	3	403	29	440	0.990099009901
CE15.hmm	269	BcWH2_00164	406	7.2e-85	1	268	57	380	0.992565055762
GH28.hmm	325	BcWH2_00179	491	9.5e-98	8	315	48	430	0.944615384615
GH95.hmm	722	BcWH2_00180	823	3.1e-290	4	716	24	760	0.986149584488
GH3.hmm	216	BcWH2_00181	863	4e-71	3	215	56	301	0.981481481481
GH43_10.hmm	271	BcWH2_00186	672	1.5e-98	1	271	50	316	0.9963099631
CBM91.hmm	200	BcWH2_00186	672	1.5e-23	4	197	347	535	0.965
GH28.hmm	325	BcWH2_00192	525	1.5e-56	7	309	51	379	0.929230769231
GH28.hmm	325	BcWH2_00194	462	2e-76	6	306	71	423	0.923076923077
GH13.hmm	299	BcWH2_00199	859	1.1e-40	11	289	332	639	0.929765886288
GH13.hmm	299	BcWH2_00212	619	1.3e-61	12	291	162	479	0.933110367893
GH13.hmm	299	BcWH2_00215	699	1.5e-53	13	297	249	585	0.94983277592
GH16_3.hmm	230	BcWH2_00217	806	1.3e-25	34	230	572	790	0.852173913043
GH29.hmm	346	BcWH2_00218	623	4.7e-82	33	339	44	371	0.884393063584
CBM32.hmm	124	BcWH2_00218	623	1.9e-17	16	107	503	603	0.733870967742
GH2.hmm	752	BcWH2_00219	1026	3.6e-216	21	749	61	909	0.968085106383
GH20.hmm	337	BcWH2_00220	771	2.4e-111	8	336	154	512	0.973293768546
GH159.hmm	219	BcWH2_00225	310	8.7e-88	1	218	36	256	0.990867579909
GH146.hmm	503	BcWH2_00227	777	1.8e-203	2	503	41	549	0.996023856859
GH50.hmm	653	BcWH2_00228	666	3.8e-123	9	652	63	661	0.984686064319
GH159.hmm	219	BcWH2_00229	354	3.7e-87	1	218	40	257	0.990867579909
CE20.hmm	249	BcWH2_00230	644	3.5e-39	3	117	110	225	0.457831325301
CE20.hmm	249	BcWH2_00230	644	6.5e-41	122	244	414	528	0.489959839357
GH2.hmm	752	BcWH2_00237	893	8.6e-93	26	527	42	658	0.666223404255
