dbCAN subfam	Subfam Composition	Subfam EC	Substrate	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GT101_e12	GT101:67|GT2:1	-	-	224	Bth_00051	311	6.1e-90	1	224	55	288	0.995535714286
GT4_e408	GT4:35	-	-	151	Bth_00055	374	8.5e-65	2	150	199	347	0.980132450331
GT51_e13	GT51:429	-	-	160	Bth_00169	772	1.6e-76	3	159	72	227	0.975
GH23_e996	GH23:98	-	-	155	Bth_00191	469	2.5e-79	1	155	310	464	0.993548387097
GH25_e217	GH25:153	-	-	177	Bth_00316	297	9.3e-82	1	177	101	276	0.994350282486
GH141_e0	GH141:40	-	-	559	Bth_00347	606	0	1	559	15	573	0.998211091234
GH43_e183	GH43_4:57	3.2.1.99:2	arabinan	363	Bth_00368	641	1.4e-190	1	363	162	530	0.997245179063
GH20_e112	GH20:103	3.2.1.52:1	host glycan	272	Bth_00466	670	5.7e-157	1	272	142	413	0.996323529412
GT4_e1427	GT4:7	-	-	140	Bth_00488	368	1.6e-22	5	131	212	339	0.9
GH13_e113	GH13_38:338|GH13:1	3.2.1.20:2	sucrose, starch	375	Bth_00803	565	3.4e-179	1	375	34	400	0.997333333333
PL29_e7	PL29:11|GH28:2|CBM32:1	-	-	299	Bth_01028	1031	9.6e-16	18	274	78	329	0.85618729097
GH139_e0	GH139:121	3.2.1.-:1	pectin	768	Bth_01033	803	0	16	767	16	801	0.977864583333
CE20_e10	CE20:99	-	-	256	Bth_01034	477	1.4e-118	1	256	108	368	0.99609375
GH2_e1	GH2:1541|CBM32:15|CBM51:13|CBM13:8|GH106:2|CBM67:2|GH33:1	3.2.1.23:35	beta-galactan	883	Bth_01042	1092	0	30	882	45	977	0.964892412231
GH127_e5	GH127:146	3.2.1.-:2	carrageenan	539	Bth_01053	698	9.3e-271	1	539	45	608	0.99814471243
GH143_e0	GH142:47|GH143:47	3.2.1.185:1|3.2.1.-:1	pectin	546	Bth_01069	1109	0	2	546	26	571	0.996336996337
GH142_e0	GH142:115|GH143:47	3.2.1.185:1|3.2.1.-:1	pectin	471	Bth_01069	1109	8.7e-240	1	470	634	1100	0.995753715499
GH43_e173	GH43_18:113|GH29:4|CBM42:1|GH43_20:1|GH28:1|PL1_2:1	3.2.1.55:2	xylan	227	Bth_01070	309	2e-121	1	227	67	293	0.995594713656
GT35_e7	GT35:1062|GT3:53	2.4.1.1:9	-	531	Bth_01151	852	9.5e-227	1	530	126	655	0.996233521657
GT3_e2	GT3:273|GT35:70	-	-	338	Bth_01349	553	8e-162	2	335	15	349	0.985207100592
GT2	GT2:29	-	-	277	Bth_01537	390	2.3e-98	1	272	58	331	0.978339350181
GH29_e30	GH29:1257|CBM32:104|CBM0:3|GH33:3|CBM6:1|CBM9:1|CE3:1|GH136:1|GH0:1|CBM47:1|GT1:1	3.2.1.111:8|3.2.1.51:3	host glycan, host glycan	301	Bth_01696	606	2.7e-145	2	298	54	370	0.983388704319
CBM32_e126	CBM32:138|GH29:132|CBM6:1|CBM9:1|CE3:1|GH136:1	-	host glycan	109	Bth_01696	606	3.2e-17	20	107	500	587	0.798165137615
GT25_e69	GT25:13|GH16:1	-	-	175	Bth_01721	242	8.6e-71	1	175	3	174	0.994285714286
CBM48_e14	CBM48:1142|GH13_14:1124|CBM41:557|GH13_32:70|CBM25:49|GH13_41:25|GH13:12|CBM20:10|CBM68:8|GH13_42:1|CBM0:1	3.2.1.41:14|3.2.1.1:4|3.2.1.68:2|3.2.1.-:2	glycogen	92	Bth_01735	668	1.7e-19	12	89	45	126	0.836956521739
GH13_e95	GH13_14:318|CBM48:209|CBM41:64|CBM68:5|GH13:2|GH133:1	3.2.1.-:2|3.2.1.68:1|3.2.1.41:1	sucrose, starch, starch, starch	310	Bth_01735	668	7.1e-141	1	310	203	527	0.996774193548
GT2	GT2:32	-	-	160	Bth_01784	273	1.8e-75	1	160	8	167	0.99375
GH32_e16	GH32:1098|CBM66:301|CBM38:114	3.2.1.80:10|3.2.1.65:10|3.2.1.26:7|3.2.1.153:5|3.2.1.64:3|2.4.1.99:3	fructan, fructan, fructan, fructan, fructan, fructan	316	Bth_01835	610	1.1e-144	3	313	150	452	0.981012658228
GH29_e63	GH29:296|CBM13:1	3.2.1.63:1|3.2.1.51:1	host glycan, host glycan	336	Bth_01923	438	1.6e-172	2	336	24	356	0.994047619048
GH97_e1	GH97:229	3.2.1.22:1	alpha-glucan	639	Bth_01955	662	1.4e-297	5	639	18	662	0.992175273865
GH20_e11	GH20:11	-	-	338	Bth_02562	655	6.2e-189	1	338	143	480	0.997041420118
CE7_e20	CE7:59	-	-	304	Bth_02625	452	1.1e-182	1	304	145	448	0.996710526316
GH76_e42	GH76:132	3.2.1.101:2	alpha-mannan	309	Bth_02736	376	1.7e-131	1	308	54	359	0.993527508091
GH36_e24	GH36:283|CBM51:3	3.2.1.22:2	alpha-galactan	680	Bth_02975	718	0	1	680	28	701	0.998529411765
GH2_e98	GH2:93|CBM32:77	-	-	676	Bth_02979	987	0	1	675	42	720	0.997041420118
CBM32_e133	CBM32:79|GH2:75|GH20:1	-	host glycan	112	Bth_02979	987	1.3e-42	2	111	735	844	0.973214285714
GT2	GT2:24	-	-	173	Bth_02992	332	3.2e-77	1	172	10	182	0.988439306358
GT14_e68	GT14:42|GT2:1	-	-	250	Bth_02994	288	1.4e-120	1	249	5	253	0.992
GH43_e310	GH43_3:45	3.2.1.146:1	beta-galactan	288	Bth_03024	325	9.3e-142	1	288	27	310	0.996527777778
GH146_e3	GH146:24	-	-	522	Bth_03035	655	0	1	522	51	572	0.998084291188
GH105_e29	GH105:94|PL33_2:14|PL35:2	-	-	312	Bth_03045	360	5.5e-142	2	312	49	359	0.99358974359
GT4_e994	GT4:22|CE4:1	-	-	150	Bth_03062	399	8.4e-48	2	149	211	355	0.98
GT2	GT2:27|GT4:1	-	-	130	Bth_03074	251	1.8e-68	1	130	12	141	0.992307692308
PL8_e42	PL8_3:29	-	-	251	Bth_03091	719	5.6e-129	1	251	346	597	0.996015936255
GH29_e8	GH29:139|CBM32:1|GH2:1	3.2.1.51:2	host glycan	337	Bth_03097	484	1.9e-176	2	337	47	384	0.994065281899
GH3_e0	GH3:1894|GH67:1|CBM6:1|CBM32:1	3.2.1.37:92|3.2.1.55:39|3.2.1.21:1|3.2.1.6:1|3.2.1.73:1	xylan, arabinan, beta-glucan, beta-glucan	251	Bth_03140	863	1.1e-109	4	245	58	306	0.96015936255
GH30_e42	GH30_4:128	3.2.1.38:1	beta-fucosides	479	Bth_03175	528	3e-207	2	478	31	524	0.993736951983
GH2_e1	GH2:1541|CBM32:15|CBM51:13|CBM13:8|GH106:2|CBM67:2|GH33:1	3.2.1.23:35	beta-galactan	883	Bth_03440	1421	0	22	883	52	928	0.975084937712
CBM32_e55	CBM32:11|GH2:10	-	host glycan	124	Bth_03440	1421	1.5e-53	1	124	1149	1271	0.991935483871
CBM32_e55	CBM32:11|GH2:10	-	host glycan	124	Bth_03440	1421	1e-53	2	124	1292	1416	0.983870967742
GH97_e5	GH97:103	3.2.1.22:1	alpha-glucan	633	Bth_03441	650	0	3	633	17	650	0.995260663507
GH31_e23	GH31:202	3.2.1.20:1	starch	419	Bth_03446	717	3.8e-195	1	416	181	590	0.990453460621
PL8_e13	PL8_2:53	4.2.2.20:2	host glycan	247	Bth_03472	1025	1.9e-132	1	247	619	863	0.995951417004
GH2_e30	GH2:674|CBM51:7|CBM67:1	-	-	866	Bth_03488	1036	0	4	866	57	912	0.995381062356
GT4_e3844	GT4:17	-	-	141	Bth_03518	413	5.2e-63	1	141	244	385	0.992907801418
GT2	GT2:9	-	-	143	Bth_03520	329	1.3e-65	1	143	9	167	0.993006993007
CE4_e54	CE4:19|CBM50:1	-	-	122	Bth_03536	262	6.5e-17	19	101	33	108	0.672131147541
GH125_e1	GH125:855|GH92:2	3.2.1.-:4	alpha-mannan	401	Bth_03681	487	1.3e-218	2	401	73	473	0.995012468828
GH127_e5	GH127:146	3.2.1.-:2	carrageenan	539	Bth_03684	687	6.1e-34	314	536	326	551	0.411873840445
GH89_e5	GH89:72	-	-	660	Bth_03748	732	0	1	659	64	722	0.99696969697
GH35_e43	GH35:828|CBM32:242|GH43_24:11	3.2.1.23:3	pectin	314	Bth_03812	778	5.6e-151	1	313	37	348	0.993630573248
CBM32_e42	CBM32:247|GH35:243|GH43_24:9	-	host glycan	74	Bth_03812	778	6.8e-32	2	71	703	772	0.932432432432
GH43_e191	GH43_34:11|CBM32:8|CBM13:2	3.2.1.55:1	xylan	281	Bth_03819	461	1.1e-155	1	281	30	303	0.996441281139
CBM32_e40	CBM32:8|GH43_34:8	3.2.1.55:1	host glycan	106	Bth_03819	461	3.8e-66	1	106	355	460	0.990566037736
