Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
Ca_00001	CAI32746.2|GT4	56.1	419	159	3	1	419	1	394	1.1e-126	457.2
Ca_00007	QIA34706.1|CBM48|GH13_9	99.6	686	3	0	1	686	5	690	0.0e+00	1460.7
Ca_00008	QIA33256.1|GT35	100.0	808	0	0	1	808	1	808	0.0e+00	1632.5
Ca_00009	QWI77036.1|CBM48|GH13_9	55.9	333	146	1	2	334	631	962	4.8e-108	395.2
Ca_00011	QIA34705.1|GT5	100.0	488	0	0	8	495	1	488	7.0e-289	996.9
Ca_00012	QIA33253.1|GH13_39|GH77	100.0	1098	0	0	1	1098	1	1098	0.0e+00	2325.8
Ca_00079	QIA33195.1|GT2	100.0	431	0	0	1	431	1	431	6.5e-247	856.7
Ca_00114	AGL64345.2|GT2	53.0	574	265	2	332	900	282	855	3.1e-166	589.7
Ca_00117	AMJ20771.1|GH13_26	44.4	892	411	16	14	857	5	859	8.8e-203	711.1
Ca_00121	QIA33159.1|GH32	100.0	513	0	0	1	513	1	513	0.0e+00	1083.9
Ca_00129	QIA33154.1|GT4	100.0	475	0	0	1	475	1	475	3.0e-285	984.2
Ca_00141	QIA33142.1|GT2	100.0	313	0	0	1	313	1	313	1.6e-181	639.0
Ca_00144	QIA33139.1|GT2	100.0	335	0	0	1	335	1	335	2.2e-186	655.2
Ca_00145	QIA33138.1|GT32	100.0	337	0	0	1	337	1	337	4.8e-205	717.2
Ca_00146	QIA33137.1|GT4	100.0	427	0	0	1	427	1	427	3.0e-252	874.4
Ca_00147	QIA33136.1|GT4	100.0	374	0	0	1	374	1	374	2.1e-217	758.4
Ca_00150	CAN65674.1|GH28	44.4	545	273	9	22	559	109	630	1.8e-135	486.9
Ca_00159	CAG7911095.1|GH5_11	35.8	930	525	17	3	894	579	1474	4.0e-166	589.3
Ca_00312	QIA32991.1|GT28	100.0	371	0	0	1	371	1	371	1.1e-207	726.1
Ca_00333	QIA32972.1|GH1	100.0	476	0	0	1	476	1	476	2.3e-293	1011.1
Ca_00338	QIA32967.1|GT2	100.0	343	0	0	1	343	1	343	1.6e-200	702.2
Ca_00440	QIA32881.1|GH13_30	100.0	577	0	0	1	577	1	577	0.0e+00	1213.0
Ca_00560	AHC21644.2|GH1	55.9	522	218	8	4	525	8	517	2.2e-159	566.2
Ca_00638	BDF51604.1|GH73	91.7	515	42	1	1	515	1	514	1.0e-210	736.9
Ca_00753	QIA34435.1|GH105	100.0	412	0	0	1	412	1	412	1.6e-255	885.2
Ca_00755	QIA34433.1|CE8	100.0	317	0	0	12	328	413	729	2.8e-189	664.8
Ca_00756	QIA34433.1|CE8	100.0	413	0	0	1	413	1	413	4.6e-250	867.1
Ca_00758	QIA34431.1|GH28	100.0	531	0	0	1	531	1	531	0.0e+00	1109.0
Ca_00769	ALR08738.2|GT83	43.3	584	322	5	12	590	1	580	6.0e-134	481.9
Ca_00808	QIA34772.1|GH1	100.0	469	0	0	5	473	1	469	5.1e-293	1010.0
Ca_00812	QIA33913.1|GH1	100.0	480	0	0	1	480	1	480	6.7e-293	1009.6
Ca_00814	QIA33912.1|GH1	100.0	479	0	0	1	479	1	479	2.0e-297	1024.6
Ca_00848	QIA33882.1|GH32	100.0	460	0	0	1	460	1	460	6.7e-282	973.0
Ca_00850	UBS35995.1|GH32	98.5	480	7	0	1	480	1	480	1.5e-292	1008.4
Ca_00914	QYO62262.1|GH13	61.0	341	131	2	1	340	1	340	5.6e-110	402.1
Ca_00942	AGL63717.2|GT4	48.8	647	313	9	187	832	107	736	1.2e-165	587.8
Ca_00980	QIA33772.1|GH13	100.0	458	0	0	1	458	1	458	1.6e-280	968.4
Ca_00988	CCO12868.2|GH1	46.4	1308	535	18	5	1266	3	1190	0.0e+00	1100.9
