Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	Signalp	#ofTools
Csp_00075	3.2.1.41	GH13_14(261-569)	CBM48_e46+GH13_e94	CBM48+GH13_14	N	3
Csp_00077	4.2.2.12|4.2.2.1|-	PL8(408-663)+CBM32(1257-1371)+CBM32(1406-1518)	PL8_e55+CBM32_e156+CBM32_e85	CBM32+PL8	N	3
Csp_00078	2.4.1.1	GT35(93-794)	GT35_e0	GT35	N	3
Csp_00079	2.4.1.18	CBM48(22-105)+GH13_9(178-467)	CBM48_e2+GH13_e200	CBM48+GH13_9	N	3
Csp_00155	-	GH25(91-268)	GH25_e110	N	N	2
Csp_00167	-	CE9(4-375)	CE9_e11	CE9	N	3
Csp_00281	-	CBM32(1407-1530)	GH36_e54+CBM32_e167	CBM32+GH36	Y(1-31)	3
Csp_00309	3.2.1.113|-	GH92(626-1156)+CBM6(1402-1530)	CBM32_e232+GH92_e1+CBM32_e90+CBM6_e13	CBM32+CBM6+GH92	Y(1-33)	3
Csp_00317	-	GH92(267-767)+CBM32(1133-1257)	GH92_e19	CBM32+GH92	Y(1-30)	3
Csp_00319	3.2.1.18|-	GH92(252-737)+CBM32(960-1089)	GH92_e10+CBM32_e117+CBM32_e164	CBM32+GH92	Y(1-32)	3
Csp_00321	3.2.1.-|-	GH92(273-778)+CBM6(1126-1245)+CBM6(1257-1382)+CBM6(1391-1521)	GH92_e22+CBM6_e49+CBM6_e13+CBM6_e49	CBM6+GH92	Y(1-24)	3
Csp_00331	3.2.1.80	CBM66(48-214)+CBM66(228-397)+GH32(518-839)+CBM66(1109-1261)	CBM66_e1+GH32_e42+CBM66_e1	CBM66+GH32	Y(1-25)	3
Csp_00452	N	CE1(79-243)	N	N	N	1
Csp_00471	3.2.1.53|3.2.1.-	GH123(405-978)	GH123_e8	GH123	Y(1-29)	3
Csp_00472	3.2.1.97|3.2.1.35|3.2.1.52	GH84(184-487)	GH84_e6+CBM32_e206+CBM32_e206	CBM32+GH84	Y(1-31)	3
Csp_00474	N	CE1(72-263)	N	N	Y(1-27)	1
Csp_00475	3.2.1.111	GH29(54-336)	GH29_e59	CBM0+GH29	Y(1-29)	3
Csp_00532	3.2.1.97|3.2.1.35|3.2.1.52	GH84(184-483)	GH84_e6+CBM32_e206+CBM32_e206+CBM32_e206	CBM32+GH84	Y(1-31)	3
Csp_00585	N	GH109(1-150)	N	N	N	1
