HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
CBM48.hmm	76	Ca_00007	748	5.5e-19	2	71	44	130	0.907894736842
GH13_9.hmm	301	Ca_00007	748	3e-136	1	301	220	516	0.996677740864
GT35.hmm	674	Ca_00008	808	5.2e-256	1	672	95	807	0.995548961424
GT5.hmm	472	Ca_00011	745	1.3e-180	1	470	9	482	0.993644067797
GH13_39.hmm	316	Ca_00012	1098	3.3e-120	1	315	194	524	0.993670886076
GH77.hmm	494	Ca_00012	1098	4.7e-100	109	479	727	1082	0.748987854251
GT2.hmm	230	Ca_00079	431	2.1e-25	2	228	52	276	0.982608695652
GH32.hmm	293	Ca_00121	513	2.5e-79	1	293	33	377	0.996587030717
GT4.hmm	160	Ca_00129	475	5e-23	13	159	286	437	0.9125
GT2.hmm	170	Ca_00141	313	1.1e-27	1	121	6	128	0.705882352941
GT2.hmm	170	Ca_00144	335	7.8e-35	1	115	7	119	0.670588235294
GT32.hmm	90	Ca_00145	337	4.2e-21	2	86	115	194	0.933333333333
GT4.hmm	160	Ca_00146	427	4.6e-37	5	147	238	382	0.8875
GT4.hmm	160	Ca_00147	374	8.6e-28	10	153	200	339	0.89375
GT28.hmm	157	Ca_00312	371	1.4e-50	2	155	196	357	0.974522292994
GH1.hmm	429	Ca_00333	476	1.6e-142	5	428	3	472	0.986013986014
GT2.hmm	170	Ca_00338	343	5.8e-23	4	104	9	110	0.588235294118
GH109.hmm	399	Ca_00416	339	5.9e-19	3	161	10	169	0.395989974937
GH13_30.hmm	365	Ca_00440	577	3.1e-164	1	365	34	401	0.997260273973
GH73.hmm	128	Ca_00638	575	1.1e-24	1	128	256	406	0.9921875
GH105.hmm	332	Ca_00753	412	2e-107	8	331	33	374	0.972891566265
CE19.hmm	332	Ca_00755	328	4.8e-25	80	271	63	297	0.575301204819
CE8.hmm	288	Ca_00756	414	5e-78	4	287	10	329	0.982638888889
GH28.hmm	325	Ca_00758	531	2.5e-66	8	307	105	477	0.92
GH1.hmm	429	Ca_00808	473	4.6e-141	4	426	6	468	0.983682983683
GH1.hmm	429	Ca_00812	480	3.2e-141	3	425	8	474	0.983682983683
GH1.hmm	429	Ca_00814	479	5.2e-147	4	427	14	476	0.986013986014
GH32.hmm	293	Ca_00848	460	2.2e-43	2	273	6	283	0.924914675768
GH32.hmm	293	Ca_00850	480	1.8e-83	1	293	37	351	0.996587030717
GH13_20.hmm	300	Ca_00980	458	1.9e-71	6	298	49	338	0.973333333333
GH5_44.hmm	302	Ca_01051	353	2.1e-60	1	264	50	307	0.870860927152
GT51.hmm	177	Ca_01236	749	1.3e-65	2	176	72	247	0.983050847458
GH170.hmm	350	Ca_01265	350	3.3e-101	2	349	3	349	0.991428571429
GH4.hmm	179	Ca_01291	460	1.1e-61	2	175	3	178	0.966480446927
GT2.hmm	170	Ca_01506	339	1.4e-17	2	163	14	194	0.947058823529
GT2.hmm	170	Ca_01507	367	1.2e-33	1	133	12	149	0.776470588235
GT2.hmm	170	Ca_01508	346	1.3e-30	1	166	10	173	0.970588235294
GT2.hmm	170	Ca_01509	372	1.6e-32	1	126	10	133	0.735294117647
GT2.hmm	170	Ca_01510	355	2.9e-31	1	113	7	117	0.658823529412
GT2.hmm	170	Ca_01511	828	1e-20	1	167	292	451	0.976470588235
GT2.hmm	230	Ca_01511	828	4.5e-20	4	216	550	779	0.921739130435
GH109.hmm	399	Ca_01591	346	4.3e-17	3	166	4	156	0.408521303258
CE4.hmm	130	Ca_01652	468	3.2e-26	6	115	245	356	0.838461538462
GH4.hmm	179	Ca_01694	442	1.6e-63	1	179	5	184	0.994413407821
GT35.hmm	674	Ca_01775	755	1.3e-219	2	673	80	754	0.995548961424
GH77.hmm	494	Ca_01776	501	5.3e-161	1	490	9	486	0.98987854251
GT28.hmm	157	Ca_01890	433	5.9e-21	3	145	240	386	0.904458598726
GT81.hmm	293	Ca_01931	322	3.5e-18	20	215	3	185	0.665529010239
CE7.hmm	313	Ca_02025	308	1.5e-85	17	307	2	296	0.926517571885
GH23.hmm	135	Ca_02039	193	8.5e-29	14	120	57	180	0.785185185185
GH25.hmm	177	Ca_02088	952	2.1e-45	1	177	164	339	0.994350282486
GT8.hmm	257	Ca_02094	325	1.9e-50	31	254	2	254	0.867704280156
GT2.hmm	170	Ca_02095	308	1.3e-23	1	124	10	134	0.723529411765
GT2.hmm	170	Ca_02097	230	1.1e-22	2	141	8	142	0.817647058824
GT4.hmm	160	Ca_02100	758	8.3e-18	69	156	644	731	0.54375
GH35.hmm	307	Ca_02129	598	6.2e-123	1	305	10	328	0.990228013029
CE9.hmm	373	Ca_02137	389	1e-119	14	373	19	380	0.962466487936
GH1.hmm	429	Ca_02158	472	4.2e-141	5	428	2	468	0.986013986014
