Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
Csp_00003	AMJ18631.1|GT2	46.6	1177	595	12	7	1168	3	1161	1.3e-289	1000.0
Csp_00010	CAG7883609.1|GT1	52.4	622	290	3	2	619	170	789	3.4e-172	609.0
Csp_00039	CAG7903126.1|GH28	42.1	473	260	9	14	475	68	537	7.3e-106	388.3
Csp_00075	QPS14493.1|CBM48|GH13_14	73.6	694	183	0	1	694	1	694	0.0e+00	1113.6
Csp_00077	BCI59535.1|CBM32|PL8	37.1	1774	1013	39	1	1727	38	1755	0.0e+00	1100.9
Csp_00078	QMW75174.1|GT35	88.5	798	92	0	1	798	1	798	0.0e+00	1484.2
Csp_00079	QMW75175.1|CBM48|GH13_9	90.4	617	59	0	1	617	1	617	0.0e+00	1210.3
Csp_00082	CAD7235639.1|GT2	40.4	539	308	6	4	536	137	668	3.9e-106	389.4
Csp_00131	AWZ17133.1|GH13_30	30.8	1088	669	22	4	1010	408	1492	1.6e-134	484.6
Csp_00167	BCL58881.1|CE9	77.6	375	84	0	1	375	1	375	1.2e-172	609.8
Csp_00266	QWU85921.1|GH130	49.1	464	229	1	3	459	1373	1836	5.2e-136	488.4
Csp_00281	UBK87386.1|CBM32|GH36	55.3	1375	581	18	282	1641	108	1463	0.0e+00	1494.2
Csp_00309	BCI61388.1|CBM32|CBM6|GH92	45.7	1528	742	40	57	1535	49	1537	0.0e+00	1214.9
Csp_00317	BCI60750.1|CBM32|GH92	44.2	1013	496	24	38	1029	29	993	2.2e-228	797.0
Csp_00319	BCI59727.1|CBM32|GH92	44.4	1249	551	19	36	1266	37	1159	3.1e-296	1022.3
Csp_00321	QGH69058.1|CBM6|GH92	40.0	1383	772	18	42	1382	46	1412	2.5e-277	959.9
Csp_00331	QSI27884.1|CBM66|GH32	41.8	1343	716	28	85	1399	8	1313	4.1e-289	998.8
