dbCAN subfam	Subfam Composition	Subfam EC	Substrate	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH43_e327	GH43_2:71|CBM6:10|GH43:10|CBM42:1|GH43_34:1|CBM35:1|GH43_29:1	3.2.1.55:2	xylan	267	BcWH2_00027	328	1e-142	1	267	50	321	0.996254681648
GH171_e3	GH171:806|GH3:1	-	-	343	BcWH2_00106	388	1.9e-150	1	343	44	387	0.997084548105
GH144_e1	GH144:450|GH3:1	3.2.1.71:1|3.2.1.214:1	beta-glucan, beta-glucan	412	BcWH2_00141	441	1.4e-212	1	411	31	441	0.995145631068
GH106_e12	GH106:9	-	-	721	BcWH2_00145	1187	0	1	721	41	747	0.998613037448
GH31_e68	GH31:59	3.2.1.22:2	alpha-galactan	430	BcWH2_00150	716	3.3e-238	1	430	203	632	0.997674418605
GH29_e47	GH29:46	-	-	367	BcWH2_00154	504	2.1e-167	11	367	20	390	0.970027247956
GH144_e1	GH144:450|GH3:1	3.2.1.71:1|3.2.1.214:1	beta-glucan, beta-glucan	412	BcWH2_00162	440	1.1e-210	1	411	30	440	0.995145631068
GH95_e1	GH95:1763|CBM13:26|CBM2:14|CE6:11|CBM6:7|CBM32:5|CE8:2|GH29:1|CE12:1|CBM5:1|GH1:1	3.2.1.-:3|3.2.1.63:2	pectin, xylan, xyloglucan, host glycan	743	BcWH2_00180	823	0	3	734	25	762	0.983849259758
GH28_e44	GH28:18|GH0:1	-	-	354	BcWH2_00194	462	1.3e-177	2	353	73	424	0.991525423729
GH13_e210	GH13:20|GH13_16:3|CBM48:2	-	sucrose	341	BcWH2_00215	699	6.2e-159	1	341	249	586	0.99706744868
GH146_e0	GH146:409|GH97:3|GH43_19:1|GH43_34:1|CBM13:1	3.2.1.185:1	arabinan	511	BcWH2_00227	777	7.1e-214	2	511	42	550	0.996086105675
GH2_e30	GH2:674|CBM51:7|CBM67:1	-	-	866	BcWH2_00275	1050	0	8	866	69	915	0.990762124711
GH97_e22	GH97:651	3.2.1.3:2|3.2.1.20:2	alpha-glucan, alpha-glucan	689	BcWH2_00304	714	0	5	689	15	700	0.992743105951
PL8_e21	PL8_2:45|PL8:1	-	-	250	BcWH2_00390	967	2.4e-114	1	249	576	823	0.992
GH30_e41	GH30_3:104|GH30:1	3.2.1.75:1	beta-glucan	426	BcWH2_00406	516	7.3e-210	2	426	78	516	0.995305164319
PL38_e14	PL38:41|GH88:10	-	-	278	BcWH2_00411	777	3.4e-137	1	276	65	340	0.989208633094
GH88_e11	GH88:672|PL38:10|GH29:7|GH154:5|PL8_3:1	3.2.1.-:3	host glycan	324	BcWH2_00411	777	1.5e-152	2	323	452	772	0.990740740741
GH30_e41	GH30_3:104|GH30:1	3.2.1.75:1	beta-glucan	426	BcWH2_00428	491	2.6e-241	2	426	66	490	0.995305164319
CE20_e20	CE20:241	-	-	236	BcWH2_00502	652	5.3e-107	1	235	103	537	0.991525423729
GH43_e310	GH43_3:45	3.2.1.146:1	beta-galactan	288	BcWH2_00508	325	7.5e-143	1	287	27	309	0.993055555556
GH115_e6	GH115:205|GH159:1	-	-	764	BcWH2_00514	990	4.3e-298	1	763	36	965	0.997382198953
GH105_e43	GH105:132	-	-	310	BcWH2_00515	368	1.1e-161	2	310	58	366	0.993548387097
GH30_e11	GH30_2:24	-	-	435	BcWH2_00591	492	1e-264	1	434	56	489	0.995402298851
GH95_e13	GH95:13	-	-	736	BcWH2_00604	796	0	1	735	36	775	0.997282608696
GH3_e86	GH3:49|GH26:1	-	-	229	BcWH2_00627	769	2.7e-119	1	229	123	350	0.995633187773
GH43_e82	GH43_10:63|CBM6:1	3.2.1.55:1	xylan	267	BcWH2_00713	541	5.3e-154	1	267	31	299	0.996254681648
CBM91_e4	CBM91:98|GH43_10:98|CE6:5|CBM6:3|GH43_29:1	-	xylan	204	BcWH2_00713	541	1.6e-103	1	203	328	531	0.990196078431
CBM51_e35	CBM51:42|GH27:41|CBM40:1|GH33:1	-	host glycan	134	BcWH2_00717	673	2.7e-55	1	133	27	159	0.985074626866
GH27_e45	GH27:85|CBM51:39	-	-	251	BcWH2_00717	673	3.2e-116	1	250	382	646	0.99203187251
GH9_e1	GH9:708|CBM4:367|CBM2:150|CBM10:15|CBM3:10|CBM37:10|CBM32:3|CBM30:2|GH3:1|CBM5:1|CBM9:1	3.2.1.4:19|3.2.1.91:5|3.2.1.73:3|3.2.1.-:2	cellulose, cellulose, beta-glucan, beta-glucan	463	BcWH2_00779	825	1.2e-17	63	387	425	761	0.699784017279
CBM48_e68	CBM48:192|CE0:190|CE6:12|GH10:3|CE1:2|GH62:1	3.1.1.73:1|3.2.1.55:1|3.2.1.8:1	glycogen	61	BcWH2_00784	385	5.5e-21	1	60	50	107	0.967213114754
CE1_e22	CE1:6|CBM48:2|CE0:2	-	-	206	BcWH2_00784	385	3.4e-60	3	205	158	377	0.980582524272
GH30_e42	GH30_4:128	3.2.1.38:1	beta-fucosides	479	BcWH2_00845	522	9.6e-203	2	478	26	519	0.993736951983
GH3_e86	GH3:49|GH26:1	-	-	229	BcWH2_00869	768	8.4e-121	1	229	121	348	0.995633187773
GH3_e1	GH3:5872|GH16:4|CBM6:2|GH144:1	3.2.1.21:20|3.2.1.-:6	beta-glucan, beta-glucan	222	BcWH2_00874	749	2.5e-104	1	222	109	330	0.995495495495
GH130_e18	GH130:34	2.4.1.-:1	beta-mannan	332	BcWH2_00904	343	4.5e-172	1	331	4	335	0.993975903614
GH79_e25	GH79:8	-	-	361	BcWH2_01018	468	3e-162	1	360	50	400	0.994459833795
GH88_e11	GH88:672|PL38:10|GH29:7|GH154:5|PL8_3:1	3.2.1.-:3	host glycan	324	BcWH2_01022	396	1.3e-152	2	324	70	390	0.993827160494
PL8_e34	PL8:9|GH78:2|CBM32:1|GH105:1	-	-	244	BcWH2_01024	1588	2.3e-130	1	244	344	587	0.995901639344
CBM67_e3	CBM67:11|GH78:11	-	rhamnose	180	BcWH2_01024	1588	1.7e-38	7	176	836	1005	0.938888888889
GH78_e31	GH78:6|PL8:2|CBM67:1	-	-	507	BcWH2_01024	1588	1.4e-260	1	506	1035	1538	0.996055226824
GH2_e125	GH2:201|CBM32:11	3.2.1.23:1	beta-galactan	702	BcWH2_01030	928	1.9e-264	5	699	27	697	0.988603988604
GH2_e97	GH2:72	-	-	674	BcWH2_01034	916	4.9e-269	2	673	23	698	0.995548961424
GH31_e68	GH31:59	3.2.1.22:2	alpha-galactan	430	BcWH2_01051	715	1.2e-236	1	430	198	627	0.997674418605
GH3_e1	GH3:5872|GH16:4|CBM6:2|GH144:1	3.2.1.21:20|3.2.1.-:6	beta-glucan, beta-glucan	222	BcWH2_01104	763	3.4e-110	1	222	100	320	0.995495495495
GH144_e5	GH144:262	-	-	401	BcWH2_01108	546	1.5e-208	2	401	143	542	0.995012468828
GH43_e302	GH43_28:123|CBM32:17|CBM0:5	-	-	264	BcWH2_01112	574	4.5e-131	1	263	52	314	0.992424242424
CBM32_e188	CBM32:17|GH43_28:17	-	host glycan	114	BcWH2_01112	574	4.6e-39	1	112	352	463	0.973684210526
CBM67_e3	CBM67:11|GH78:11	-	rhamnose	180	BcWH2_01180	889	2.5e-88	3	179	139	315	0.977777777778
GH78_e29	GH78:133|CBM67:9	-	-	510	BcWH2_01180	889	2e-254	1	509	340	846	0.996078431373
GH92_e0	GH92:2578|GH43_34:10|GH88:7|GH20:2|GH125:2|CBM32:1|CBM6:1|CBM57:1	3.2.1.-:8|3.2.1.113:1|3.2.1.114:1|3.2.1.24:1	host glycan, host glycan, host glycan	494	BcWH2_01186	733	2.2e-203	5	491	240	731	0.983805668016
GH2_e127	GH2:646|CBM32:8|CBM35:1	3.2.1.23:2	beta-galactan	717	BcWH2_01215	862	0	5	716	24	799	0.991631799163
GH20_e86	GH20:27	-	-	258	BcWH2_01332	516	9.3e-120	2	258	32	284	0.992248062016
GH36_e36	GH36:257|GH134:1|PL1_7:1	3.2.1.22:11	alpha-galactan	684	BcWH2_01353	741	0	2	684	27	710	0.997076023392
GT2	GT2:21	-	-	291	BcWH2_01521	329	5.6e-82	1	288	4	302	0.986254295533
CBM50_e831	CBM50:84	-	chitin, peptidoglycan	44	BcWH2_01594	592	1.6e-18	1	44	33	75	0.977272727273
CBM50_e831	CBM50:84	-	chitin, peptidoglycan	44	BcWH2_01594	592	4.9e-20	1	44	87	130	0.977272727273
CBM50_e831	CBM50:84	-	chitin, peptidoglycan	44	BcWH2_01594	592	1.4e-19	1	44	163	207	0.977272727273
GT2	GT2:11	-	-	164	BcWH2_01619	329	6.6e-54	1	164	5	167	0.993902439024
GT4_e395	GT4:5	-	-	149	BcWH2_01816	174	1.8e-78	18	149	6	137	0.879194630872
CE11_e18	CE11:339	-	-	269	BcWH2_01929	461	6.7e-122	1	268	5	297	0.992565055762
GH43_e0	GH43_10:1191|GH43_12:66|GH28:13|GH43:5	3.2.1.55:2|3.2.1.37:1	xylan, xylan	269	BcWH2_01986	560	2e-136	1	269	41	311	0.996282527881
