dbCAN subfam	Subfam Composition	Subfam EC	Substrate	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH127_e0	GH127:2142	3.2.1.185:2	arabinogalactan protein	549	Dl_00040	649	4.2e-243	1	549	15	560	0.998178506375
GH23_e928	GH23:90	-	-	132	Dl_00194	663	5e-67	1	131	385	515	0.984848484848
GH109_e7	GH109:31	-	-	390	Dl_00349	337	2.1e-17	2	144	2	146	0.364102564103
GH3_e165	GH3:569	3.2.1.21:33|3.2.1.37:3|3.2.1.-:3|3.2.1.74:1	beta-glucan, xylan, beta-glucan, beta-glucan	217	Dl_00389	847	2.3e-97	2	217	544	798	0.990783410138
GT5_e9	GT5:1373|GH13:1|CBM48:1	2.4.1.21:9	-	471	Dl_00420	478	1.4e-222	1	470	4	476	0.995753715499
GH23_e928	GH23:90	-	-	132	Dl_00556	66	2.6e-28	10	75	1	66	0.492424242424
CE4_e28	CE4:9	-	-	109	Dl_00668	485	2.3e-46	1	109	288	396	0.990825688073
GH109_e7	GH109:31	-	-	390	Dl_01112	327	1.6e-20	3	152	5	155	0.382051282051
GH23_e928	GH23:90	-	-	132	Dl_01232	563	3.9e-65	1	131	286	415	0.984848484848
GH13_e122	GH13_31:1547|GH13_40:132|GH13:79|GH13_29:30|GH13_23:5|GH13_17:3|GH13_36:3|GH13_44:1|GT25:1|GT5:1	5.4.99.11:5|3.2.1.20:4|3.2.1.10:1|3.2.1.-:1|3.2.1.70:1	sucrose, sucrose, starch, starch, starch, starch	344	Dl_01413	557	1.3e-130	1	342	28	375	0.991279069767
GH1_e0	GH1:9150	3.2.1.86:26|3.2.1.23:2|3.2.1.21:1	beta-glucan, beta-galactan, beta-glucan	472	Dl_01477	476	1.9e-246	2	472	3	473	0.995762711864
GT4_e150	GT4:11	-	-	140	Dl_01487	368	1.1e-48	4	139	190	326	0.964285714286
GT2	GT2:74	-	-	115	Dl_01488	295	9.7e-51	1	114	6	120	0.982608695652
GT4_e1204	GT4:11	-	-	145	Dl_01489	370	7.1e-57	2	143	197	338	0.972413793103
GT2	GT2:41|GT8:12	-	-	158	Dl_01490	329	4.8e-48	1	156	7	170	0.981012658228
GT2	GT2:45	-	-	141	Dl_01492	313	6.9e-53	1	125	8	132	0.879432624113
GT32_e27	GT32:232	2.4.1.-:2	-	78	Dl_01494	609	4.4e-39	4	77	23	96	0.935897435897
GT2	GT2:6	-	-	138	Dl_01495	360	1.2e-37	1	119	59	177	0.855072463768
GT28_e144	GT28:92	-	-	147	Dl_01548	363	1.9e-52	1	146	198	343	0.986394557823
CE4_e362	CE4:61	-	-	127	Dl_01567	298	1.4e-65	2	127	101	226	0.984251968504
GT2	GT2:29	-	-	168	Dl_01570	305	3.1e-70	1	166	8	173	0.982142857143
GT2	GT2:27	-	-	171	Dl_01573	317	2e-69	1	171	6	176	0.994152046784
GT2	GT2:10|GT4:3	-	-	166	Dl_01582	410	7.7e-56	1	164	7	171	0.981927710843
GT2	GT2:26	-	-	157	Dl_01591	230	2.3e-73	1	155	6	160	0.980891719745
GT2	GT2:37|GT101:8	2.4.1.-:1	-	163	Dl_01598	349	3.6e-48	1	148	5	153	0.901840490798
GH73_e250	GH73:8|GH25:4	-	-	117	Dl_01611	845	3.3e-51	2	117	312	427	0.982905982906
GH2_e122	GH2:308|CBM57:2	3.2.1.31:1	beta-glucuronan	592	Dl_01612	1114	3.4e-178	2	591	113	737	0.994932432432
GH25_e110	GH25:9	-	-	176	Dl_01613	765	7.6e-67	1	175	108	282	0.988636363636
GT51_e43	GT51:83	-	-	183	Dl_01703	879	8.7e-89	2	183	85	267	0.989071038251
GH3_e165	GH3:569	3.2.1.21:33|3.2.1.37:3|3.2.1.-:3|3.2.1.74:1	beta-glucan, xylan, beta-glucan, beta-glucan	217	Dl_01734	849	2.3e-97	3	217	552	812	0.986175115207
CBM50_e748	CBM50:11	-	chitin, peptidoglycan	46	Dl_01812	352	1.9e-26	1	46	307	352	0.978260869565
CBM34_e11	CBM34:126|GH13_39:69|CBM20:58|GH13:56|CBM48:9	3.2.1.1:13|3.2.1.41:12	starch	100	Dl_01827	689	2.7e-29	2	100	19	115	0.98
GH13_e98	GH13:47|CBM34:38|GH13_39:3|GH13_20:1	-	sucrose	380	Dl_01827	689	3.9e-213	1	380	172	554	0.997368421053
GT4_e150	GT4:11	-	-	140	Dl_01936	364	5e-51	2	138	188	324	0.971428571429
GT2	GT2:37|GT101:8	2.4.1.-:1	-	163	Dl_01952	334	2.4e-42	1	161	10	172	0.981595092025
CBM13_e31	CBM13:55|GH25:32|CBM0:1|GH76:1|GH87:1	-	xylan	254	Dl_01962	115	7.2e-25	88	188	11	111	0.393700787402
GH77_e1	GH77:1346|GT35:16	2.4.1.25:3	starch	479	Dl_02147	495	2.7e-231	1	478	9	491	0.995824634656
GH2_e13	GH2:619	3.2.1.23:11	beta-galactan	603	Dl_02299	648	8.1e-296	1	603	24	645	0.998341625207
GH27_e28	GH27:310|CBM51:16|CBM13:7|GH43_29:3|CBM6:2|GH159:1	3.2.1.88:1	arabinogalactan protein	234	Dl_02454	419	3.6e-96	1	233	161	399	0.991452991453
