## Mon Sep  5 19:11:10 2022
## emapper-2.1.9
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_k4wufln6 --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_k4wufln6 --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_k4wufln6/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype proteins --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
Bu_00001	411479.BACUNI_00001	9.77e-34	115.0	COG4974@1|root,COG4974@2|Bacteria	2|Bacteria	L	Belongs to the 'phage' integrase family	xerC	-	-	ko:K03733,ko:K04763	-	-	-	-	ko00000,ko03036	-	-	-	DUF3701,Phage_int_SAM_1,Phage_int_SAM_4,Phage_integrase
Bu_00002	471870.BACINT_03446	1.22e-76	242.0	COG1086@1|root,COG1086@2|Bacteria,4NERY@976|Bacteroidetes,2FMAA@200643|Bacteroidia,4AKGY@815|Bacteroidaceae	976|Bacteroidetes	GM	Polysaccharide biosynthesis protein	wbpM	-	-	-	-	-	-	-	-	-	-	-	CoA_binding_3,Polysacc_synt_2
Bu_00003	411479.BACUNI_00002	3.6e-92	269.0	COG0457@1|root,COG0457@2|Bacteria,4NQ8Q@976|Bacteroidetes,2FQ4C@200643|Bacteroidia,4APN3@815|Bacteroidaceae	976|Bacteroidetes	S	COG NOG28004 non supervised orthologous group	-	-	-	ko:K02651	ko04112,map04112	-	-	-	ko00000,ko00001,ko02035,ko02044	-	-	-	TPR_16,TPR_8
Bu_00006	411479.BACUNI_00112	2.17e-56	184.0	28MWB@1|root,2ZB3M@2|Bacteria,4NIJJ@976|Bacteroidetes,2FRGT@200643|Bacteroidia,4AKMA@815|Bacteroidaceae	976|Bacteroidetes	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Bu_00007	411479.BACUNI_00009	2.11e-89	262.0	COG1834@1|root,COG1834@2|Bacteria,4NFQ7@976|Bacteroidetes,2FNG1@200643|Bacteroidia,4AK68@815|Bacteroidaceae	976|Bacteroidetes	E	COG NOG25454 non supervised orthologous group	-	-	-	ko:K21572	-	-	-	-	ko00000,ko02000	8.A.46.1,8.A.46.3	-	-	SusD-like_3,SusD_RagB
Bu_00008	411479.BACUNI_00010	5.79e-78	231.0	COG1629@1|root,COG4771@2|Bacteria,4P1Z5@976|Bacteroidetes,2G3FU@200643|Bacteroidia,4AV1P@815|Bacteroidaceae	976|Bacteroidetes	P	TonB-linked outer membrane protein, SusC RagA family	-	-	-	-	-	-	-	-	-	-	-	-	CarbopepD_reg_2,Plug,TonB_dep_Rec
Bu_00009	411479.BACUNI_00012	0.0	926.0	COG1834@1|root,COG1834@2|Bacteria,4NFQ7@976|Bacteroidetes,2FNG1@200643|Bacteroidia,4AK68@815|Bacteroidaceae	976|Bacteroidetes	E	COG NOG25454 non supervised orthologous group	-	-	-	ko:K21572	-	-	-	-	ko00000,ko02000	8.A.46.1,8.A.46.3	-	-	SusD-like_3,SusD_RagB
Bu_00010	411479.BACUNI_00014	1.12e-67	206.0	COG1629@1|root,COG1629@2|Bacteria,4NDXS@976|Bacteroidetes,2FM37@200643|Bacteroidia,4AKK0@815|Bacteroidaceae	976|Bacteroidetes	P	TonB-linked outer membrane protein, SusC RagA family	-	-	-	-	-	-	-	-	-	-	-	-	CarbopepD_reg_2,Plug,TonB_dep_Rec
Bu_00011	411479.BACUNI_00016	5.76e-269	734.0	COG1629@1|root,COG4771@2|Bacteria,4P1Z5@976|Bacteroidetes,2G3FU@200643|Bacteroidia,4AV1P@815|Bacteroidaceae	976|Bacteroidetes	P	TonB-linked outer membrane protein, SusC RagA family	-	-	-	-	-	-	-	-	-	-	-	-	CarbopepD_reg_2,Plug,TonB_dep_Rec
Bu_00012	411479.BACUNI_00349	1.59e-256	730.0	COG3883@1|root,COG3883@2|Bacteria,4NT11@976|Bacteroidetes,2FS42@200643|Bacteroidia,4AV7Z@815|Bacteroidaceae	976|Bacteroidetes	N	COG NOG14601 non supervised orthologous group	-	-	-	-	-	-	-	-	-	-	-	-	-
