dbCAN subfam	Subfam Composition	Subfam EC	Substrate	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
CBM48_e46	CBM48:874|GH13_14:872|CBM68:828|CBM41:2|GH13:1	3.2.1.41:15	glycogen	82	Csp_00075	694	2e-21	1	81	108	186	0.975609756098
GH13_e94	GH13_14:114|CBM48:94|CBM68:80|GH13:1|CBM41:1	3.2.1.41:3	sucrose, starch	313	Csp_00075	694	1.1e-133	1	313	262	570	0.996805111821
PL8_e55	PL8:88|CBM70:17|CBM84:6|CBM47:1|CBM32:1	4.2.2.12:3|4.2.2.1:1	xanthan, host glycan	261	Csp_00077	2024	1e-62	3	260	410	663	0.984674329502
CBM32_e156	CBM32:11|GH20:10	-	host glycan	120	Csp_00077	2024	1.4e-22	6	114	1265	1368	0.9
CBM32_e85	CBM32:54|GH16_3:49|GH16:2	-	host glycan	116	Csp_00077	2024	5.5e-31	6	116	1408	1519	0.948275862069
CBM48_e2	CBM48:14087|GH13_9:14033|GH77:8|GH13:5|GT5:2|GH13_3:1|GH0:1	2.4.1.18:57	glycogen	100	Csp_00079	627	5.9e-23	5	92	18	118	0.87
GH13_e200	GH13_9:2874|CBM48:2782|GH77:10|GH13:7|GH13_3:5|GH0:1|GT5:1|GH13_1:1	2.4.1.18:14	sucrose, alpha-glucan	301	Csp_00079	627	5.1e-124	1	300	179	467	0.993355481728
CE9_e11	CE9:41	-	-	371	Csp_00167	383	1.1e-189	1	371	6	376	0.99730458221
CBM32_e232	CBM32:39	-	host glycan	124	Csp_00309	1859	6e-31	1	123	92	221	0.983870967742
GH92_e1	GH92:695|CBM32:296|CBM0:11|CBM6:4|GH76:1	3.2.1.113:2	host glycan	536	Csp_00309	1859	2e-212	8	535	632	1156	0.983208955224
CBM32_e90	CBM32:304|GH92:297|CBM0:11|CBM6:1|CBM20:1|CBM25:1|GH76:1	3.2.1.113:1	host glycan	120	Csp_00309	1859	7.8e-25	9	118	1208	1312	0.908333333333
CBM6_e13	CBM6:8|GH92:4|GH38:3|CBM32:2	-	beta-glucan, xylan, cellulose	125	Csp_00309	1859	2.3e-26	1	124	1400	1531	0.984
GH92_e10	GH92:9|CBM32:1	-	-	481	Csp_00319	1500	1.8e-169	2	481	254	738	0.995841995842
CBM32_e117	CBM32:5|CBM6:4|GH95:3|CE3:1	-	host glycan	124	Csp_00319	1500	1.5e-34	2	124	962	1090	0.983870967742
CBM32_e164	CBM32:60|GH85:35|GH33:24|CBM40:23	3.2.1.18:3	host glycan	127	Csp_00319	1500	7.9e-17	4	127	1117	1239	0.968503937008
GH84_e6	GH84:102|CBM32:80|GH20:26	3.2.1.35:2|3.2.1.52:2	host glycan, host glycan	302	Csp_00472	1481	3.1e-137	1	302	185	488	0.996688741722
CBM32_e206	CBM32:369|GH101:264|GH84:85|GH20:29|GH85:5|GH2:5|GH31:3|GH36:1|GH29:1|GH144:1	3.2.1.97:8|3.2.1.35:2|3.2.1.52:2	host glycan	121	Csp_00472	1481	5.4e-24	6	118	656	779	0.925619834711
