dbCAN subfam	Subfam Composition	Subfam EC	Substrate	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GT5_e15	GT5:148	-	-	472	Ca_00011	745	1.8e-212	1	470	10	482	0.993644067797
CBM34_e3	CBM34:227|GH13_39:209|GH77:42|GH13:17	-	starch	124	Ca_00012	1098	1.2e-24	1	122	5	122	0.975806451613
GH13_e89	GH13_39:173|CBM34:90|GH77:35|GH13:18|GH13_20:2|CBM48:1	-	sucrose	317	Ca_00012	1098	7.3e-130	2	316	196	524	0.990536277603
GH77_e18	GH77:17|GH13_39:15|CBM34:9	-	-	340	Ca_00012	1098	4.1e-158	2	339	741	1079	0.991176470588
GT2	GT2:18	-	-	225	Ca_00079	431	1e-129	1	225	53	277	0.995555555556
GH32_e76	GH32:1477	3.2.1.26:3	fructan	301	Ca_00121	513	3.4e-103	1	300	34	377	0.993355481728
GT2	GT2:6	-	-	127	Ca_00141	313	2.2e-58	1	121	7	129	0.944881889764
GT32_e110	GT32:33	-	-	78	Ca_00145	337	8.4e-37	1	77	117	193	0.974358974359
GT4_e224	GT4:47	-	-	143	Ca_00147	374	3.1e-60	2	140	200	337	0.965034965035
GH13_e234	GH13_30:1338|GH13:8|GH13_23:7|GH13_16:1	3.2.1.20:2	sucrose, starch	351	Ca_00440	577	2.6e-159	5	349	34	403	0.980056980057
GH73_e131	GH73:19	-	-	151	Ca_00638	575	6.6e-88	1	151	257	407	0.993377483444
GH105_e32	GH105:46	-	-	339	Ca_00753	412	4.8e-165	2	338	34	374	0.991150442478
CE8_e51	CE8:53|GH105:1	-	-	311	Ca_00756	414	3.4e-124	1	310	10	328	0.993569131833
GH28_e123	GH28:54	-	-	361	Ca_00758	531	4.5e-170	1	360	106	479	0.994459833795
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	Ca_00808	473	1.9e-221	1	460	6	468	0.995661605206
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	Ca_00812	480	6.8e-217	1	460	9	475	0.995661605206
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	Ca_00814	479	2.5e-226	1	460	14	475	0.995661605206
GH32_e76	GH32:1477	3.2.1.26:3	fructan	301	Ca_00850	480	3.5e-112	1	300	38	351	0.993355481728
GH13_e141	GH13:115	3.2.1.-:2	sucrose, starch	288	Ca_00980	458	3.6e-136	2	287	52	338	0.989583333333
GT2	GT2:8	-	-	143	Ca_01234	346	2.6e-17	1	126	12	137	0.874125874126
GH170_e27	GH170:18	-	-	346	Ca_01265	350	3.5e-153	1	346	4	350	0.99710982659
GH4_e4	GH4:5108	3.2.1.122:13	sucrose	177	Ca_01291	460	4.7e-76	1	174	4	179	0.977401129944
GT2	GT2:33	-	-	186	Ca_01506	339	6e-86	1	186	15	201	0.994623655914
GT2	GT2:20	-	-	126	Ca_01509	372	6e-57	1	125	11	135	0.984126984127
GT2	GT2:11	-	-	127	Ca_01510	355	1.6e-44	1	113	8	120	0.88188976378
GT2	GT2:138	-	-	155	Ca_01931	322	8.6e-73	1	154	9	163	0.987096774194
CE7_e2	CE7:32	-	-	311	Ca_02025	308	9.5e-153	13	311	1	300	0.958199356913
GH23_e992	GH23:6	-	-	129	Ca_02039	193	2.5e-70	1	129	57	185	0.992248062016
GH25_e204	GH25:6	-	-	177	Ca_02088	952	8.1e-85	1	177	165	340	0.994350282486
GT2	GT2:16	-	-	134	Ca_02095	308	1.3e-45	1	131	12	141	0.970149253731
GT2	GT2:26	-	-	157	Ca_02097	230	6.9e-68	1	156	9	162	0.987261146497
CBM48_e87	CBM48:176|GH13:167|GH13_9:3	-	glycogen	81	Ca_00007	748	1.4e-20	6	78	55	129	0.888888888889
