dbCAN subfam	Subfam Composition	Subfam EC	Substrate	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH27_e28	GH27:310|CBM51:16|CBM13:7|GH43_29:3|CBM6:2|GH159:1	3.2.1.88:1	arabinogalactan protein	234	Bo_00026	450	1.3e-98	1	233	189	427	0.991452991453
GT3_e2	GT3:273|GT35:70	-	-	338	Bo_00052	553	9.1e-162	2	336	15	350	0.988165680473
GH2_e106	GH2:268|CBM32:3	3.2.1.-:1|3.2.1.23:1	pectin, beta-galactan	760	Bo_00138	949	0	1	760	41	831	0.998684210526
GH109_e7	GH109:31	-	-	390	Bo_00195	410	2.8e-29	1	145	26	170	0.369230769231
GH10_e5	GH10:38|CBM4:15|CBM0:9	3.2.1.8:4	xylan	262	Bo_00203	584	2.8e-89	1	261	335	577	0.992366412214
GH2_e127	GH2:646|CBM32:8|CBM35:1	3.2.1.23:2	beta-galactan	717	Bo_00206	786	3.5e-233	6	716	21	723	0.990237099024
GH43_e59	GH43_29:334|CBM6:308|CBM2:13|CBM13:12|CBM22:12|CBM42:12|GH43_10:9|GH43:9|CBM48:6|CE0:6|GH43_17:4|GH27:3|GH43_30:2|CE6:2|CBM64:1|CBM51:1|GH43_26:1|CBM1:1	3.2.1.37:2|3.2.1.55:2|3.2.1.8:1	xylan, xylan, xylan	281	Bo_00211	458	2.1e-117	1	281	38	309	0.996441281139
CBM6_e0	CBM6:335|GH43_29:310|CBM13:12|CBM22:12|CBM2:12|GH43_16:11|GH43:10|CBM48:6|CE0:6|GH27:2|CBM32:1|CBM36:1|CBM1:1|GH43_10:1|CBM64:1	3.2.1.8:1|3.2.1.37:1|3.2.1.55:1	beta-glucan, xylan, cellulose	125	Bo_00211	458	2e-38	2	125	332	458	0.984
GH67_e0	GH67:722	3.2.1.139:4|3.2.1.131:3|3.2.1.-:1	xylan, xylan	668	Bo_00215	703	3.8e-289	76	667	76	670	0.884730538922
GH165_e0	GH165:44	-	-	536	Bo_00231	560	6.5e-292	2	536	24	557	0.996268656716
GH78_e1	GH78:419	3.2.1.40:3	alpha-rhamnoside	476	Bo_00237	734	1e-237	2	476	196	686	0.995798319328
GH43_e53	GH43_1:1254|GH43_10:16|GH5_21:6|CBM6:5|GH43:4|GH10:3|GH43_33:2|GH43_32:2|GH43_34:1|GH43_29:1|GH117:1	3.2.1.37:19|3.2.1.55:4	xylan, xylan	310	Bo_00402	320	1.9e-154	1	309	4	313	0.993548387097
GH115_e0	GH115:692|GH3:1|CE15:1|CBM6:1|CE4:1	3.2.1.131:6	xylan	646	Bo_00407	1005	7.9e-261	2	643	40	992	0.99226006192
GH97_e18	GH97:183|GH146:3|GH43_19:3|CE6:2	3.2.1.22:1|3.2.1.88:1	alpha-glucan	633	Bo_00413	658	7.6e-289	5	632	8	656	0.990521327014
GT4_e2903	GT4:31	-	-	153	Bo_00478	358	3.4e-55	5	152	180	327	0.960784313725
CBM50_e801	CBM50:54	-	chitin, peptidoglycan	49	Bo_00621	471	3.5e-31	1	49	419	467	0.979591836735
GH20_e108	GH20:117|CBM32:1	-	-	425	Bo_00804	835	1.2e-187	1	424	307	723	0.995294117647
GH89_e5	GH89:72	-	-	660	Bo_00981	727	0	2	660	55	713	0.99696969697
CE4_e51	CE4:30	-	-	123	Bo_01023	225	1.9e-67	1	122	37	158	0.983739837398
GH76_e36	GH76:30	3.2.1.101:3	alpha-mannan	311	Bo_01052	519	8.5e-167	1	311	167	476	0.996784565916
CBM32_e210	CBM32:14	-	host glycan	122	Bo_01053	536	2.1e-34	12	121	89	198	0.893442622951
GH30_e66	GH30_2:16	-	-	421	Bo_01144	475	4.8e-225	1	421	54	475	0.997624703088
GH29_e30	GH29:1257|CBM32:104|CBM0:3|GH33:3|CBM6:1|CBM9:1|CE3:1|GH136:1|GH0:1|CBM47:1|GT1:1	3.2.1.111:8|3.2.1.51:3	host glycan, host glycan	301	Bo_01290	694	5.9e-142	2	300	35	348	0.990033222591
CBM32_e126	CBM32:138|GH29:132|CBM6:1|CBM9:1|CE3:1|GH136:1	-	host glycan	109	Bo_01290	694	9.5e-30	2	108	370	469	0.97247706422
CBM32_e126	CBM32:138|GH29:132|CBM6:1|CBM9:1|CE3:1|GH136:1	-	host glycan	109	Bo_01290	694	1.3e-29	7	108	575	677	0.926605504587
GH3_e57	GH3:182	3.2.1.-:1	beta-glucan	226	Bo_01356	1003	7.1e-113	2	225	112	333	0.986725663717
