HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH28.hmm	325	Bo_00018	468	7.5e-43	63	306	191	446	0.747692307692
GH27.hmm	229	Bo_00026	450	2.9e-69	13	229	185	428	0.943231441048
GH10.hmm	303	Bo_00028	660	2.3e-35	98	302	398	655	0.673267326733
GH43_9.hmm	272	Bo_00029	453	2.2e-108	23	272	1	248	0.915441176471
GH43_35.hmm	294	Bo_00034	675	1.3e-116	1	294	28	365	0.996598639456
GH29.hmm	346	Bo_00035	704	3.3e-80	41	334	38	347	0.846820809249
CBM32.hmm	124	Bo_00035	704	3.8e-20	17	122	583	699	0.846774193548
GT3.hmm	637	Bo_00052	553	6e-129	1	346	13	347	0.541601255887
GT35.hmm	674	Bo_00053	854	4e-115	208	629	270	707	0.624629080119
GH27.hmm	229	Bo_00087	545	1.6e-67	4	229	142	385	0.982532751092
CE4.hmm	130	Bo_00112	204	3.9e-25	4	110	21	123	0.815384615385
GH139.hmm	777	Bo_00120	766	0	3	776	1	764	0.994851994852
CE20.hmm	249	Bo_00121	477	7.4e-95	3	248	107	367	0.983935742972
GH106.hmm	824	Bo_00122	1099	1.2e-128	93	508	360	820	0.503640776699
GH2.hmm	752	Bo_00138	949	2.9e-131	35	745	40	830	0.94414893617
GH2.hmm	752	Bo_00139	1099	3e-226	27	751	50	983	0.962765957447
GH137.hmm	340	Bo_00141	1399	3.8e-161	2	340	20	368	0.994117647059
GH2.hmm	752	Bo_00141	1399	7.2e-83	21	387	371	799	0.48670212766
CBM57.hmm	147	Bo_00141	1399	7.9e-46	2	147	1067	1228	0.986394557823
GT10.hmm	347	Bo_00143	346	9.6e-31	168	292	148	269	0.35734870317
GH43_29.hmm	278	Bo_00183	364	3.9e-106	1	278	34	324	0.996402877698
GH2.hmm	752	Bo_00185	565	2.1e-154	17	464	21	558	0.594414893617
GH2.hmm	752	Bo_00186	447	2.9e-56	464	751	18	329	0.38164893617
GH109.hmm	399	Bo_00195	410	8.5e-38	5	158	26	170	0.383458646617
GH10.hmm	303	Bo_00203	584	6.9e-25	94	266	334	552	0.567656765677
GH115.hmm	697	Bo_00205	851	4e-277	2	697	36	827	0.997130559541
GH2.hmm	752	Bo_00206	786	8.4e-117	22	482	21	565	0.61170212766
GH97.hmm	631	Bo_00210	661	1.8e-157	2	629	9	657	0.993660855784
GH43_29.hmm	278	Bo_00211	458	5.1e-108	2	278	38	308	0.992805755396
CBM6.hmm	138	Bo_00211	458	4.6e-25	18	138	332	458	0.869565217391
CE6.hmm	99	Bo_00212	1100	1e-27	2	98	88	197	0.969696969697
GH95.hmm	722	Bo_00212	1100	8e-291	5	712	286	1020	0.979224376731
GH43_10.hmm	271	Bo_00213	532	2e-100	2	271	29	296	0.992619926199
CBM91.hmm	200	Bo_00213	532	8.7e-29	5	194	325	525	0.945
GH3.hmm	216	Bo_00214	842	1.9e-68	5	215	53	292	0.972222222222
GH67.hmm	669	Bo_00215	703	2.3e-266	72	665	77	669	0.886397608371
GH138.hmm	907	Bo_00220	873	0	26	907	2	873	0.971334068357
GH165.hmm	635	Bo_00228	517	7.8e-201	149	634	19	512	0.763779527559
GH165.hmm	635	Bo_00230	570	2e-197	123	632	38	569	0.80157480315
GH165.hmm	635	Bo_00231	560	9e-226	128	634	22	559	0.796850393701
GH78.hmm	504	Bo_00237	734	1.2e-116	3	489	191	685	0.964285714286
GH141.hmm	527	Bo_00238	618	2.6e-235	2	527	21	579	0.996204933586
GH127.hmm	524	Bo_00239	698	2.5e-194	1	524	44	607	0.998091603053
GH20.hmm	337	Bo_00298	660	2.1e-67	8	336	154	478	0.973293768546
GT2.hmm	170	Bo_00336	247	3.5e-29	2	168	8	174	0.976470588235
GH3.hmm	216	Bo_00357	859	6.4e-63	3	214	108	328	0.976851851852
GH43_1.hmm	310	Bo_00402	320	5.5e-164	2	310	4	313	0.993548387097
GH10.hmm	303	Bo_00403	372	1.3e-102	6	300	35	367	0.970297029703
GH97.hmm	631	Bo_00405	1179	1.1e-159	10	629	556	1177	0.980982567353
GH115.hmm	697	Bo_00407	1005	3.6e-253	3	697	39	986	0.995695839311
GH43_29.hmm	278	Bo_00410	461	4e-113	1	278	25	313	0.996402877698
CBM6.hmm	138	Bo_00410	461	1.1e-23	18	137	338	461	0.86231884058
GH2.hmm	752	Bo_00411	785	2.1e-120	24	525	22	598	0.666223404255
GH2.hmm	752	Bo_00412	960	4.8e-61	23	465	34	656	0.587765957447
GH97.hmm	631	Bo_00413	658	2.3e-148	5	628	3	656	0.987321711569
GH146.hmm	503	Bo_00415	801	6.6e-197	1	502	36	546	0.996023856859
GH31.hmm	427	Bo_00416	861	3.2e-139	2	427	324	753	0.995316159251
GH2.hmm	752	Bo_00417	854	8e-128	15	543	23	731	0.702127659574
GH20.hmm	337	Bo_00469	691	3.3e-121	8	336	151	498	0.973293768546
GH20.hmm	337	Bo_00470	774	8.1e-123	8	336	154	509	0.973293768546
GH2.hmm	752	Bo_00471	863	2.2e-112	19	587	22	779	0.755319148936
GH33.hmm	342	Bo_00472	544	1.1e-93	11	330	191	528	0.932748538012
GT11.hmm	276	Bo_00476	265	1.3e-61	3	275	3	264	0.985507246377
GT2.hmm	170	Bo_00477	323	4.5e-29	1	128	6	136	0.747058823529
GT4.hmm	160	Bo_00478	358	9.4e-36	11	157	180	329	0.9125
GT26.hmm	171	Bo_00480	252	1.6e-54	2	171	52	227	0.988304093567
GH16.hmm	189	Bo_00528	887	4.7e-19	2	188	544	828	0.984126984127
GH16.hmm	189	Bo_00529	1049	1.7e-22	2	189	37	317	0.989417989418
GH3.hmm	216	Bo_00529	1049	4e-68	3	215	405	625	0.981481481481
PL29.hmm	301	Bo_00668	1039	7.2e-19	32	275	99	329	0.8073089701
PL1_2.hmm	183	Bo_00669	560	3.5e-65	1	183	134	324	0.994535519126
GH2.hmm	752	Bo_00671	884	2.6e-94	26	514	44	644	0.648936170213
CE19.hmm	332	Bo_00701	357	1e-15	44	192	52	191	0.44578313253
GH2.hmm	752	Bo_00714	855	8e-105	25	590	23	802	0.751329787234
CE1.hmm	227	Bo_00765	258	1.3e-26	5	208	34	237	0.894273127753
CBM67.hmm	176	Bo_00770	885	4.3e-40	3	165	144	317	0.920454545455
GH78.hmm	504	Bo_00770	885	1.7e-156	2	503	347	856	0.994047619048
GH125.hmm	402	Bo_00773	488	2.2e-187	2	402	76	474	0.995024875622
GH76.hmm	358	Bo_00774	387	2.4e-74	30	328	57	360	0.832402234637
GH20.hmm	337	Bo_00804	835	1.1e-93	15	336	313	723	0.952522255193
GH30_3.hmm	417	Bo_00808	493	8.2e-155	5	417	65	489	0.988009592326
GH3.hmm	216	Bo_00810	748	1.4e-68	2	214	61	281	0.981481481481
GH163.hmm	251	Bo_00823	717	3.3e-76	7	250	197	438	0.96812749004
GT2.hmm	170	Bo_00825	491	3.8e-20	1	114	61	199	0.664705882353
PL8_2.hmm	247	Bo_00829	1023	2e-86	1	247	616	860	0.995951417004
CE12.hmm	210	Bo_00839	563	4.7e-77	1	210	27	249	0.995238095238
CE4.hmm	130	Bo_00839	563	1.6e-31	5	124	274	404	0.915384615385
GH43_24.hmm	246	Bo_00840	463	4.1e-72	2	245	55	289	0.987804878049
GH115.hmm	697	Bo_00841	782	5.5e-239	4	697	23	777	0.994261119082
GT30.hmm	177	Bo_00913	407	1.5e-48	10	176	43	205	0.937853107345
GH123.hmm	538	Bo_00917	598	1.1e-243	3	538	59	597	0.994423791822
GH89.hmm	663	Bo_00981	727	1.3e-254	2	663	53	713	0.996983408748
GT2.hmm	170	Bo_01019	396	7.1e-25	2	142	21	154	0.823529411765
CE4.hmm	130	Bo_01023	225	2.8e-32	4	123	36	158	0.915384615385
GH31.hmm	427	Bo_01051	717	2.6e-134	2	414	180	603	0.964871194379
GH76.hmm	358	Bo_01052	519	7.6e-63	33	313	166	468	0.782122905028
GH31.hmm	427	Bo_01058	840	1e-120	1	427	192	616	0.997658079625
GH92.hmm	491	Bo_01059	759	1.8e-188	2	491	234	741	0.995926680244
GH23.hmm	135	Bo_01089	463	1.3e-21	13	126	302	459	0.837037037037
GT51.hmm	177	Bo_01106	782	6.2e-46	18	176	44	201	0.892655367232
CE1.hmm	227	Bo_01115	272	1.1e-51	1	218	31	261	0.955947136564
GH88.hmm	329	Bo_01122	406	5.1e-126	3	329	71	395	0.990881458967
GH43_10.hmm	271	Bo_01123	549	3.4e-111	1	271	37	307	0.9963099631
CBM91.hmm	200	Bo_01123	549	3.1e-25	5	196	342	547	0.955
