Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	Signalp	#ofTools
Bth_00046	-	GT2(8-166)	GT2	GT2	N	3
Bth_00048	2.4.1.-	GT2(8-144)	GT2	GT2	N	3
Bth_00049	-	GT2(5-111)	GT2	N	N	2
Bth_00051	-	GT101(54-287)	GT101_e12	GT101	N	3
Bth_00052	-	GT2(7-167)	GT2	GT2	N	3
Bth_00053	-	GT2(4-180)	GT2	GT2	N	3
Bth_00055	-	GT4(197-347)	GT4_e408	GT4	N	3
Bth_00057	-	GT4(205-358)	GT4_e3479	GT4	N	3
Bth_00067	-	GH27(521-819)	GH27_e4	GH27	Y(1-27)	3
Bth_00130	-	PL40(2-902)	PL40_e1	PL40	Y(1-19)	3
Bth_00131	-	GH28(193-440)	GH28_e12+CBM6_e73	CBM6+GH28	Y(1-22)	3
Bth_00137	-	GH97(28-645)	GH97_e24	GH97	Y(1-24)	3
Bth_00142	3.2.1.185	GH146(51-556)	GH146_e0	GH146	Y(1-23)	3
Bth_00151	3.2.1.55|3.2.1.37|-	GH43_10(2-224)+CBM91(259-463)	GH43_e0+CBM91_e10	GH43_10	N	3
Bth_00152	-	GH88(71-395)	GH88_e24	GH88	Y(1-19)	3
Bth_00159	-	CE1(31-261)	CE1_e22	N	Y(1-22)	2
Bth_00169	-	GT51(70-227)	GT51_e13	GT51	N	3
Bth_00191	-	GH23(309-420)	GH23_e996	GH23	N	3
Bth_00260	-	GT2(8-174)	GT2	GT2	N	3
Bth_00272	4.2.2.-	PL27(1-460)	PL27_e0	PL27	N	3
Bth_00273	-	GH43_24(203-376)	GH43_e42+CBM32_e51	GH43_24	Y(1-30)	3
Bth_00274	3.2.1.145	GH43_24(45-290)	GH43_e146	GH43_24	Y(1-19)	3
Bth_00298	3.2.1.23|-	GH35(35-346)	GH35_e43+CBM32_e42	CBM32+GH35	Y(1-24)	3
Bth_00316	-	GH25(100-275)	GH25_e217	GH25	N	3
Bth_00330	-	GH109(4-185)	GH109_e7	N	N	2
Bth_00347	-	GH141(14-572)	GH141_e0	GH141	N	3
Bth_00348	3.2.1.20	GH31(283-715)	GH31_e16	GH31	N	3
Bth_00357	3.2.1.55	GH51(15-514)	GH51_e19	GH51	Y(1-31)	3
Bth_00358	3.2.1.185	GH146(32-560)	GH146_e0	GH146	N	3
Bth_00368	3.2.1.99	GH43_4(161-529)	GH43_e183	GH43_4	Y(1-19)	3
Bth_00375	3.2.1.-|3.2.1.99	GH43_4(60-372)	GH43_e326	GH43_4	Y(1-40)	3
Bth_00376	3.2.1.55	GH51(197-658)	GH51_e47	GH51	Y(1-22)	3
Bth_00377	3.2.1.-|3.2.1.55	GH43_29(25-303)	GH43_e22	GH43_29	N	3
Bth_00400	-	GT4(214-357)	GT4_e3066	GT4	N	3
Bth_00403	-	GT4(163-311)	GT4_e1576	GT4	N	3
Bth_00448	-	GH89(10-669)	GH89_e5	GH89	N	3
Bth_00456	-	CE2(149-351)	CE2_e2	CE2	Y(1-21)	3
Bth_00458	-	CE20(103-362)	CE20_e34	CE20	N	3
Bth_00465	3.2.1.18	GH33(193-532)	GH33_e121	GH33	Y(1-23)	3
Bth_00466	3.2.1.52	GH20(140-412)	GH20_e112	GH20	N	3
Bth_00467	-	CE20(301-581)	CE20_e16	CE20	Y(1-21)	3
Bth_00468	3.2.1.25	GH2(24-780)	GH2_e80	GH2	Y(1-26)	3
Bth_00469	3.2.1.52|3.2.1.-	GH20(154-509)	GH20_e12	GH20	N	3
Bth_00470	3.2.1.52|3.2.1.-|-	GH20(151-498)	GH20_e12+CBM32_e198	GH20	Y(1-29)	3
Bth_00471	3.2.1.23	GH2(26-770)	GH2_e137	GH2	N	3
Bth_00489	-	GT2(5-150)	GT2+GT2	GT2	N	3
Bth_00516	3.2.1.52|3.2.1.-	GH20(153-509)	GH20_e12	GH20	Y(1-27)	3
Bth_00598	N	CE1(446-688)	N	N	Y(1-25)	1
Bth_00619	-	GT4(215-356)	GT4_e999	GT4	N	3
Bth_00621	-	GT94(104-305)	GT94_e2	GT4	N	3
Bth_00701	-	CE9(5-378)	CE9_e7	CE9	N	3
Bth_00702	-	CE9(5-378)	CE9_e7	CE9	N	3
Bth_00709	3.2.1.20	GH97(13-666)	GH97_e10	GH97	Y(1-29)	3
Bth_00770	-	GT51(56-244)	GT51_e160	GT51	N	3
Bth_00784	3.2.1.31	GH2(27-596)	GH2_e122	GH2	Y(1-27)	3
Bth_00801	2.4.1.18	GH13_8(220-511)	CBM48_e32+GH13_e20	GH13_8	N	3
Bth_00803	3.2.1.20	GH13_38(33-400)	GH13_e113	GH13_38	N	3
Bth_00898	-	CBM32(306-432)	CBM32_e10	CBM32	N	3
Bth_01028	-	PL29(103-329)	PL29_e7	N	Y(1-23)	2
Bth_01029	-	PL1_2(134-324)	PL1_e77	PL1_2	Y(1-23)	3
Bth_01032	3.2.1.-	GH2(43-642)	GH2_e50	GH2	Y(1-23)	3
Bth_01033	3.2.1.-	GH139(2-802)	GH139_e0	GH139	Y(1-24)	3
Bth_01034	-	CE20(107-367)	CE20_e10	CE20	Y(1-26)	3
Bth_01035	3.2.1.40	GH106(362-724)	GH106_e44	GH106	Y(1-26)	3
Bth_01041	3.2.1.-|3.2.1.23	GH2(40-830)	GH2_e106	GH2	Y(1-20)	3
Bth_01042	3.2.1.23	GH2(52-976)	GH2_e1	GH2	Y(1-19)	3
Bth_01045	3.2.1.31|3.2.1.185	GH137(20-368)+GH2(371-814)+CBM57(1080-1241)	GH137_e0+GH2_e99+CBM57_e0	CBM57+GH137+GH2	Y(1-20)	3
Bth_01046	-	GH138(1-899)	GH138_e1	GH138	Y(1-27)	3
Bth_01051	3.2.1.40	GH78(186-680)	GH78_e1	GH78	N	3
Bth_01052	3.2.1.51	GH141(21-581)	GH141_e22	GH141	Y(1-20)	3
Bth_01053	3.2.1.-	GH127(44-607)	GH127_e5	GH127	Y(1-21)	3
Bth_01059	3.2.1.-|3.2.1.63	GH95(27-759)	GH95_e1	GH95	Y(1-22)	3
Bth_01060	3.2.1.-	GH105(49-396)	GH105_e2	GH105	Y(1-27)	3
Bth_01061	3.2.1.-	GH140(36-462)	GH140_e1	GH140	Y(1-23)	3
Bth_01062	3.2.1.40|3.2.1.-	CBM67(144-329)+GH78(357-887)+GH33(920-1275)	CBM67_e28+GH78_e2+GH33_e82	GH33+GH78	Y(1-24)	3
Bth_01066	3.1.1.11	CE19(118-449)	CE19_e0	CE19	Y(1-19)	3
Bth_01067	3.2.1.67	GH28(53-421)	GH28_e10	GH28	Y(1-22)	3
Bth_01068	3.2.1.40|-	CBM67(200-355)+GH78(395-933)	CBM67_e27+GH78_e43	GH78	Y(1-20)	3
Bth_01069	3.2.1.185|3.2.1.-	GH143(21-570)+GH142(634-1101)	GH143_e0+GH142_e0	GH142+GH143	Y(1-23)	3
Bth_01070	3.2.1.55	GH43_18(66-292)	GH43_e173	GH43_18	N	3
Bth_01072	-	PL1_2(135-328)	PL1_e77	PL1_2	Y(1-24)	3
Bth_01080	3.2.1.24	GH92(269-755)	GH92_e13	GH92	Y(1-20)	3
Bth_01081	2.4.1.319|2.4.1.320	GH130(19-317)	GH130_e13	GH130	N	3
Bth_01083	3.2.1.-	GH163(197-451)	GH163_e7	GH163	Y(1-26)	3
Bth_01100	3.2.1.52|3.2.1.-	GH20(154-507)	GH20_e12	GH20	Y(1-27)	3
Bth_01151	2.4.1.1	GT35(272-734)	GT35_e7	GT35	N	3
Bth_01214	-	GT2(8-182)	GT2	GT2	N	3
Bth_01215	-	GT2(43-263)	GT2	GT2	N	3
Bth_01226	-	GT2(9-163)	GT2	GT2	N	3
Bth_01229	-	GT101(57-280)	GT101_e12	GT101	N	3
Bth_01230	-	GT4(208-353)	GT4_e1077	GT4	N	3
Bth_01231	-	GT2(42-149)	GT2	GT2	N	3
Bth_01233	-	GT2(54-271)	GT2	GT2	N	3
Bth_01247	-	GT51(60-223)	GT51_e158	GT51	N	3
Bth_01314	N	CE1(273-484)	N	GH43_29	N	2
Bth_01339	-	GH18(66-246)	GH18_e46	GH18	Y(1-22)	3
Bth_01348	2.4.1.1	GT35(270-716)	GT35_e7	GT35	N	3
Bth_01349	-	GT3(13-347)	GT3_e2	GT3	N	3
Bth_01405	-	GT4(189-330)	GT4_e3628	GT4	N	3
Bth_01408	-	GT2(6-119)	GT2	GT2	N	3
Bth_01413	-	GT4(210-360)	GT4_e2031	GT4	N	3
Bth_01414	-	GT2(9-171)	GT2	GT2	N	3
Bth_01537	-	GT2(57-223)	GT2	GT2	N	3
Bth_01603	-	GH73(40-167)	GH73_e88+CBM50_e698+CBM50_e698	CBM50+GH73	N	3
Bth_01692	-	GH20(143-477)	GH20_e8	GH20	Y(1-21)	3
Bth_01696	3.2.1.111|3.2.1.51|-	GH29(52-373)+CBM32(499-599)	GH29_e30+CBM32_e126	GH29	Y(1-58)	3
Bth_01697	-	GH2(64-908)	GH2_e30	GH2	Y(1-24)	3
Bth_01698	-	GH20(158-517)	GH20_e135	GH20	Y(1-21)	3
Bth_01703	-	GH18(297-533)	GH18_e389	GH18	Y(1-21)	3
Bth_01717	-	GT2(9-135)	GT2	GT2	N	3
Bth_01718	-	GT2(4-132)	GT2	GT2	N	3
Bth_01720	-	GT2(10-160)	GT2	GT2	N	3
Bth_01721	-	GT25(2-174)	GT25_e69	GT25	N	3
Bth_01735	3.2.1.41|3.2.1.1|3.2.1.-|3.2.1.68	GH13_14(202-526)	CBM48_e14+GH13_e95	GH13_14	N	3
Bth_01784	-	GT2(12-139)	GT2	GT2	N	3
Bth_01787	-	GT4(222-344)	GT4_e2447	GT4	N	3
Bth_01835	3.2.1.80|3.2.1.65|3.2.1.26|3.2.1.153|3.2.1.64|2.4.1.99	GH32(150-439)	GH32_e16	GH32	N	3
Bth_01836	3.2.1.65	GH32(53-350)	GH32_e129	GH32	Y(1-23)	3
Bth_01841	3.2.1.80|3.2.1.65|3.2.1.26|3.2.1.153|3.2.1.64|2.4.1.99	GH32(140-440)	GH32_e16	GH32	N	3
Bth_01844	-	GH2(50-700)	GH2_e119	GH2	Y(1-27)	3
Bth_01845	3.2.1.-	GH92(212-733)	GH92_e30	GH92	Y(1-29)	3
Bth_01852	-	GH2(227-1021)	GH2_e5	GH2	Y(1-23)	3
Bth_01853	3.2.1.63|3.2.1.51|-	GH95(321-984)	CBM32_e165+GH95_e0	GH95	Y(1-26)	3
Bth_01854	3.2.1.37|3.2.1.55|3.2.1.21|3.2.1.6|3.2.1.73	GH3(64-305)	GH3_e0	GH3	Y(1-27)	3
Bth_01855	-	CE20(105-447)	CE20_e1	CE20	N	3
Bth_01856	3.2.1.37|3.2.1.55|3.2.1.21	GH3(206-426)	GH3_e88	GH3	Y(1-22)	3
Bth_01857	3.2.1.55	GH43_2(90-358)+GH43_2(423-689)	GH43_e327	GH43_2	Y(1-21)	3
