HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH25.hmm	177	Csc_00021	290	1.5e-46	1	177	92	275	0.994350282486
GH172.hmm	236	Csc_00118	448	5.9e-84	1	236	103	362	0.995762711864
CE4.hmm	130	Csc_00141	270	2.1e-32	1	124	72	199	0.946153846154
GT2.hmm	170	Csc_00147	306	4.1e-20	1	169	8	174	0.988235294118
GT2.hmm	170	Csc_00152	326	2.9e-31	1	170	4	175	0.994117647059
GT4.hmm	160	Csc_00159	897	3.4e-19	8	155	348	501	0.91875
GT2.hmm	170	Csc_00326	338	5.1e-28	1	110	5	112	0.641176470588
CE4.hmm	130	Csc_00351	228	6.8e-22	4	123	34	154	0.915384615385
GT28.hmm	157	Csc_00352	368	8.1e-28	2	153	202	347	0.96178343949
GT5.hmm	472	Csc_00414	478	5.8e-184	1	471	3	476	0.995762711864
GH73.hmm	128	Csc_00504	500	2.3e-30	2	128	11	159	0.984375
CE4.hmm	130	Csc_00663	480	3.3e-27	6	112	282	389	0.815384615385
GH18.hmm	296	Csc_00681	381	1.6e-40	69	279	133	362	0.709459459459
GT35.hmm	674	Csc_00686	754	5e-224	2	674	80	754	0.99703264095
GH13_11.hmm	351	Csc_00714	563	2e-40	226	351	289	406	0.356125356125
GH73.hmm	128	Csc_00978	497	2.4e-22	5	128	212	352	0.9609375
GT4.hmm	160	Csc_01073	401	5.7e-24	11	134	218	342	0.76875
CE4.hmm	130	Csc_01089	246	3.1e-32	8	112	63	169	0.8
GH13_11.hmm	351	Csc_01110	719	7.5e-153	1	351	196	550	0.997150997151
GH13_9.hmm	301	Csc_01116	595	4.6e-121	1	301	164	453	0.996677740864
GT4.hmm	160	Csc_01131	422	2.2e-36	9	155	214	360	0.9125
CE9.hmm	373	Csc_01335	376	1.4e-124	1	373	3	372	0.997319034853
GH13_20.hmm	300	Csc_01343	436	7.9e-77	11	300	39	325	0.963333333333
GH77.hmm	494	Csc_01457	506	2.6e-146	1	480	8	472	0.96963562753
GH109.hmm	399	Csc_01507	436	4.1e-24	4	162	3	157	0.395989974937
GH129.hmm	618	Csc_01508	629	7.9e-230	9	596	4	628	0.949838187702
CBM32.hmm	124	Csc_01537	1022	9e-21	8	123	178	298	0.927419354839
CBM32.hmm	124	Csc_01537	1022	3.9e-16	9	109	472	570	0.806451612903
GH136.hmm	491	Csc_01539	1425	2.7e-110	2	489	36	553	0.991853360489
CBM32.hmm	124	Csc_01539	1425	1e-17	9	122	910	1037	0.911290322581
CBM32.hmm	124	Csc_01539	1425	9.5e-18	7	122	1132	1263	0.927419354839
GH65.hmm	372	Csc_01541	783	8.3e-144	1	371	337	715	0.994623655914
GH109.hmm	399	Csc_01743	322	3.2e-25	6	170	2	157	0.411027568922
GH25.hmm	177	Csc_01790	124	1.6e-21	1	72	6	77	0.401129943503
CBM34.hmm	120	Csc_01829	680	2e-18	12	120	20	115	0.9
GH13_39.hmm	316	Csc_01829	680	4.3e-94	1	316	171	553	0.996835443038
GH123.hmm	538	Csc_01865	559	2.6e-32	76	498	71	510	0.7843866171
GH73.hmm	128	Csc_01874	950	2.2e-19	2	126	815	947	0.96875
GH29.hmm	346	Csc_01901	441	4.8e-115	36	346	5	339	0.895953757225
GH65.hmm	372	Csc_01907	758	2.5e-120	3	371	290	684	0.989247311828
GH42.hmm	371	Csc_02161	675	9.3e-152	1	370	14	384	0.99460916442
GH2.hmm	752	Csc_02163	944	9.1e-183	27	749	28	830	0.960106382979
GH73.hmm	128	Csc_02207	1159	3e-19	2	126	1024	1156	0.96875
GT2.hmm	170	Csc_02212	348	6.2e-39	1	136	7	140	0.794117647059
GT2.hmm	170	Csc_02217	633	3.4e-20	1	129	131	259	0.752941176471
GT2.hmm	170	Csc_02221	556	2.2e-23	1	167	66	225	0.976470588235
GT4.hmm	160	Csc_02222	725	1.2e-16	69	157	609	697	0.55
GT2.hmm	170	Csc_02223	526	2.4e-24	1	155	63	212	0.905882352941
GT2.hmm	170	Csc_02224	230	2.3e-24	2	129	5	128	0.747058823529
GT35.hmm	674	Csc_02400	820	8.8e-279	1	673	95	813	0.99703264095
GH18.hmm	296	Csc_02415	678	4.3e-35	38	281	348	666	0.820945945946
GT28.hmm	157	Csc_02436	355	2.2e-39	2	152	188	339	0.955414012739
CBM48.hmm	76	Csc_02458	636	6.4e-18	2	70	30	115	0.894736842105
GH13_9.hmm	301	Csc_02458	636	4.6e-151	2	301	187	486	0.993355481728
GT2.hmm	170	Csc_02581	445	1.3e-17	1	117	223	329	0.682352941176
GH77.hmm	494	Csc_02821	502	6.3e-172	1	491	12	498	0.991902834008
GH112.hmm	715	Csc_02882	721	0	1	714	6	718	0.997202797203
GH68.hmm	417	Csc_03000	224	1.4e-74	174	367	2	216	0.462829736211
GT2.hmm	170	Csc_03080	387	1.8e-35	1	169	3	173	0.988235294118
GT51.hmm	177	Csc_03283	862	4.2e-65	5	176	86	266	0.966101694915
CE4.hmm	130	Csc_03456	256	1.5e-33	3	122	49	170	0.915384615385
GT2.hmm	170	Csc_03589	316	4e-34	1	168	5	169	0.982352941176
GT26.hmm	171	Csc_03625	232	1.4e-17	3	133	58	188	0.760233918129
