HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GT2.hmm	170	Bth_00046	317	2.6e-34	1	167	8	166	0.976470588235
GT2.hmm	170	Bth_00048	313	3.1e-36	1	133	8	144	0.776470588235
GT2.hmm	170	Bth_00049	131	3.7e-19	1	107	5	111	0.623529411765
GT101.hmm	224	Bth_00051	311	5.6e-90	1	224	54	287	0.995535714286
GT2.hmm	170	Bth_00052	323	7.3e-36	1	166	7	167	0.970588235294
GT2.hmm	170	Bth_00053	326	2.4e-36	1	159	4	180	0.929411764706
GT4.hmm	160	Bth_00055	374	1.2e-40	8	159	197	347	0.94375
GT4.hmm	160	Bth_00057	391	1.1e-34	5	157	205	358	0.95
GH27.hmm	229	Bth_00067	845	7.2e-48	4	228	521	819	0.978165938865
PL40.hmm	873	Bth_00130	918	5.8e-267	4	839	2	902	0.956471935853
GH28.hmm	325	Bth_00131	1097	1.7e-29	66	306	193	440	0.738461538462
GH97.hmm	631	Bth_00137	649	3.9e-183	10	630	28	645	0.982567353407
GH146.hmm	503	Bth_00142	641	2.3e-203	1	503	51	556	0.998011928429
GH43_10.hmm	271	Bth_00151	466	1.1e-81	49	271	2	224	0.819188191882
CBM91.hmm	200	Bth_00151	466	3.5e-26	5	195	259	463	0.95
GH88.hmm	329	Bth_00152	406	4.3e-126	3	329	71	395	0.990881458967
CE1.hmm	227	Bth_00159	272	1.7e-50	1	218	31	261	0.955947136564
GT51.hmm	177	Bth_00169	772	1e-46	18	176	70	227	0.892655367232
GH23.hmm	135	Bth_00191	469	1.7e-21	13	122	309	420	0.807407407407
GT2.hmm	170	Bth_00260	247	5e-30	2	168	8	174	0.976470588235
PL27.hmm	610	Bth_00272	467	1e-201	162	610	1	460	0.734426229508
GH43_24.hmm	246	Bth_00273	582	6.2e-43	55	233	203	376	0.723577235772
GH43_24.hmm	246	Bth_00274	493	2.8e-89	2	246	45	290	0.991869918699
GH35.hmm	307	Bth_00298	779	4.1e-122	1	305	35	346	0.990228013029
GH25.hmm	177	Bth_00316	297	2.7e-56	1	177	100	275	0.994350282486
GH109.hmm	399	Bth_00330	328	1.1e-26	4	196	4	185	0.481203007519
GH141.hmm	527	Bth_00347	606	5.9e-216	2	526	14	572	0.99430740038
GH31.hmm	427	Bth_00348	748	1.3e-132	2	427	283	715	0.995316159251
GH51.hmm	630	Bth_00357	514	4.9e-143	75	542	15	514	0.74126984127
GH146.hmm	503	Bth_00358	802	4.1e-214	1	503	32	560	0.998011928429
GH43_4.hmm	310	Bth_00368	641	2.1e-92	1	310	161	529	0.996774193548
GH43_4.hmm	310	Bth_00375	513	2.3e-98	1	310	60	372	0.996774193548
GH51.hmm	630	Bth_00376	660	3.7e-110	110	542	197	658	0.685714285714
GH43_29.hmm	278	Bth_00377	314	1.3e-120	1	278	25	303	0.996402877698
GT4.hmm	160	Bth_00400	383	1.5e-20	12	157	214	357	0.90625
GT4.hmm	160	Bth_00403	338	4.5e-30	10	159	163	311	0.93125
GH89.hmm	663	Bth_00448	676	1.8e-245	2	662	10	669	0.995475113122
CE2.hmm	209	Bth_00456	366	4.7e-62	1	208	149	351	0.99043062201
CE20.hmm	249	Bth_00458	884	4.9e-86	3	249	103	362	0.987951807229
GH33.hmm	342	Bth_00465	544	3.9e-95	11	332	193	532	0.938596491228
GH20.hmm	337	Bth_00466	670	4.2e-59	8	335	140	412	0.970326409496
CE20.hmm	249	Bth_00467	692	9.7e-82	3	248	301	581	0.983935742972
GH2.hmm	752	Bth_00468	864	8e-110	20	587	24	780	0.753989361702
GH20.hmm	337	Bth_00469	774	9e-125	8	336	154	509	0.973293768546
GH20.hmm	337	Bth_00470	691	1.4e-122	8	336	151	498	0.973293768546
GH2.hmm	752	Bth_00471	839	1.8e-121	28	587	26	770	0.74335106383
GT2.hmm	170	Bth_00489	274	6.7e-18	1	148	5	150	0.864705882353
GH20.hmm	337	Bth_00516	767	1.9e-114	8	336	153	509	0.973293768546
CE1.hmm	227	Bth_00598	699	2.6e-19	5	218	446	688	0.938325991189
GT4.hmm	160	Bth_00619	386	1.2e-20	8	158	215	356	0.9375
