Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	Signalp	#ofTools
Csc_00021	-	GH25(92-275)	GH25_e146	GH25	Y(1-32)	3
Csc_00118	-	GH172(103-362)	GH172_e4	GH172	N	3
Csc_00141	-	CE4(72-199)	CE4_e362	CE4	N	3
Csc_00147	-	GT2(8-174)	GT2	GT2	N	3
Csc_00152	-	GT2(4-175)	GT2	GT2	N	3
Csc_00159	-	GT4(348-501)	GT4_e775	GT4	N	3
Csc_00326	-	GT2(5-112)	GT2	GT2	N	3
Csc_00351	-	CE4(34-154)	CE4_e156	CE4	N	3
Csc_00352	2.4.1.241	GT28(202-347)	GT28_e91	GT28	N	3
Csc_00414	2.4.1.21	GT5(3-476)	GT5_e9	GT5	N	3
Csc_00504	-	GH73(11-159)	GH73_e137	GH73	N	3
Csc_00663	-	CE4(282-389)	CE4_e40	CE4	N	3
Csc_00681	-	GH18(133-362)	GH18_e166	CBM50+GH18	N	3
Csc_00686	2.4.1.1	GT35(80-754)	GT35_e0	GT35	N	3
Csc_00714	-	GH13_11(289-406)	GH13_e138	CBM48+GH13_11	N	3
Csc_00978	-	GH73(212-352)	GH73_e180	GH73	Y(1-33)	3
Csc_01073	-	GT4(218-342)	GT4_e763	GT4	N	3
Csc_01089	-	CE4(63-169)	CE4_e179	CE4	N	3
Csc_01110	3.2.1.68|2.4.1.25|3.2.1.-	GH13_11(196-550)	CBM48_e3+GH13_e48	CBM48+GH13_11	N	3
Csc_01116	2.4.1.18	GH13_9(164-453)	CBM48_e2+GH13_e200	CBM48+GH13_9	N	3
Csc_01131	-	GT4(214-360)	GT4_e3202	GT4	N	3
Csc_01335	-	CE9(3-372)	CE9_e86	CE9	N	3
Csc_01343	3.2.1.-	GH13_20(39-325)	GH13_e141	GH13	N	3
Csc_01457	-	GH77(8-472)	GH77_e4	GH77	N	3
Csc_01507	-	GH109(3-157)	GH109_e7	N	N	2
Csc_01508	3.2.1.49	GH129(4-628)	GH129_e0	GH129	N	3
Csc_01537	-	CBM32(178-298)+CBM32(472-570)	CBM32_e57+CBM32_e57+CBM32_e28+CBM32_e57	CBM32	Y(1-29)	3
