dbCAN subfam	Subfam Composition	Subfam EC	Substrate	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GT4_e4050	GT4:9	-	-	147	Pd_00039	365	1.3e-48	3	146	181	324	0.972789115646
GT26_e4	GT26:57	-	-	165	Pd_00042	232	4.8e-90	1	165	54	218	0.993939393939
GH20_e110	GH20:20	-	-	354	Pd_00050	571	6.6e-121	1	352	174	534	0.991525423729
CE20_e40	CE20:34	-	-	260	Pd_00057	473	1.3e-109	1	260	105	364	0.996153846154
GH2_e30	GH2:674|CBM51:7|CBM67:1	-	-	866	Pd_00239	1112	0	3	866	64	965	0.996535796767
GT2	GT2:12	-	-	235	Pd_00317	301	1.8e-66	1	217	5	228	0.91914893617
GH3_e1	GH3:5872|GH16:4|CBM6:2|GH144:1	3.2.1.21:20|3.2.1.-:6	beta-glucan, beta-glucan	222	Pd_00386	770	2.3e-100	1	221	108	327	0.990990990991
GT51_e158	GT51:844	-	-	164	Pd_00547	266	4.7e-77	1	163	60	222	0.987804878049
GT4_e3948	GT4:11	-	-	139	Pd_00590	373	2.6e-39	2	135	201	335	0.956834532374
CBM48_e14	CBM48:1142|GH13_14:1124|CBM41:557|GH13_32:70|CBM25:49|GH13_41:25|GH13:12|CBM20:10|CBM68:8|GH13_42:1|CBM0:1	3.2.1.41:14|3.2.1.1:4|3.2.1.68:2|3.2.1.-:2	glycogen	92	Pd_00689	116	1.1e-19	10	79	38	110	0.75
GT51_e13	GT51:429	-	-	160	Pd_00969	848	4.2e-75	2	159	125	282	0.98125
CBM50_e801	CBM50:54	-	chitin, peptidoglycan	49	Pd_00984	363	1.8e-18	1	48	287	334	0.959183673469
GH73_e36	GH73:14	-	-	133	Pd_01340	155	5.7e-73	2	133	13	144	0.984962406015
GT2	GT2:12	-	-	131	Pd_01391	250	8.5e-55	1	129	7	136	0.977099236641
GT4_e116	GT4:111	-	-	115	Pd_01458	363	2.3e-52	1	115	196	309	0.991304347826
GT4_e276	GT4:21	-	-	152	Pd_01461	385	9.8e-38	3	152	199	348	0.980263157895
GH20_e47	GH20:50	3.2.1.-:1	host glycan	278	Pd_01480	370	1.7e-148	1	277	56	332	0.992805755396
GT2	GT2:60	-	-	266	Pd_01600	320	1.1e-120	1	264	6	269	0.988721804511
GT4_e3358	GT4:9	-	-	127	Pd_01640	348	1.4e-33	1	124	198	320	0.968503937008
GH38_e22	GH38:24	-	-	273	Pd_01685	962	9.6e-152	2	272	120	390	0.989010989011
GH43_e74	GH43_33:86|GH43_31:7|GH43:2	-	-	320	Pd_01822	377	1e-172	1	319	44	362	0.99375
GH92_e0	GH92:2578|GH43_34:10|GH88:7|GH20:2|GH125:2|CBM32:1|CBM6:1|CBM57:1	3.2.1.-:8|3.2.1.113:1|3.2.1.114:1|3.2.1.24:1	host glycan, host glycan, host glycan	494	Pd_01827	768	1.1e-218	3	493	268	760	0.991902834008
GH30_e41	GH30_3:104|GH30:1	3.2.1.75:1	beta-glucan	426	Pd_01860	481	2.9e-244	2	426	55	479	0.995305164319
