HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH13_14.hmm	289	Csp_00075	694	2e-111	1	289	261	569	0.996539792388
PL8.hmm	259	Csp_00077	2024	3.8e-66	3	257	408	663	0.980694980695
CBM32.hmm	124	Csp_00077	2024	1.3e-27	4	121	1257	1371	0.943548387097
CBM32.hmm	124	Csp_00077	2024	6.6e-25	13	123	1406	1518	0.887096774194
GT35.hmm	674	Csp_00078	798	3.6e-268	2	674	93	794	0.99703264095
CBM48.hmm	76	Csp_00079	627	3e-18	3	69	22	105	0.868421052632
GH13_9.hmm	301	Csp_00079	627	2.1e-122	1	301	178	467	0.996677740864
GH25.hmm	177	Csp_00155	282	1.5e-34	1	177	91	268	0.994350282486
CE9.hmm	373	Csp_00167	383	3.2e-117	2	373	4	375	0.994638069705
CBM32.hmm	124	Csp_00281	1922	4.8e-18	10	121	1407	1530	0.895161290323
GH92.hmm	491	Csp_00309	1859	1.2e-153	4	491	626	1156	0.991853360489
CBM6.hmm	138	Csp_00309	1859	2.9e-19	27	136	1402	1530	0.789855072464
GH92.hmm	491	Csp_00317	1515	1.2e-166	2	491	267	767	0.995926680244
CBM32.hmm	124	Csp_00317	1515	2.5e-16	9	123	1133	1257	0.91935483871
GH92.hmm	491	Csp_00319	1500	3.5e-118	2	491	252	737	0.995926680244
CBM32.hmm	124	Csp_00319	1500	2e-18	6	122	960	1089	0.935483870968
GH92.hmm	491	Csp_00321	1984	1.8e-143	2	491	273	778	0.995926680244
CBM6.hmm	138	Csp_00321	1984	5.7e-20	35	137	1126	1245	0.739130434783
CBM6.hmm	138	Csp_00321	1984	1.8e-23	19	136	1257	1382	0.847826086957
CBM6.hmm	138	Csp_00321	1984	3.6e-24	18	136	1391	1521	0.855072463768
CBM66.hmm	155	Csp_00331	1669	3.4e-22	3	155	48	214	0.98064516129
CBM66.hmm	155	Csp_00331	1669	2.8e-42	2	155	228	397	0.987096774194
GH32.hmm	293	Csp_00331	1669	3.7e-65	1	286	518	839	0.972696245734
CBM66.hmm	155	Csp_00331	1669	5.9e-32	1	154	1109	1261	0.987096774194
CE1.hmm	227	Csp_00452	250	5.7e-20	77	222	79	243	0.638766519824
GH123.hmm	538	Csp_00471	1319	5.2e-157	8	534	405	978	0.977695167286
GH84.hmm	295	Csp_00472	1481	1.2e-97	1	291	184	487	0.983050847458
CE1.hmm	227	Csp_00474	853	1.5e-18	3	143	72	263	0.616740088106
GH29.hmm	346	Csp_00475	346	2.6e-46	39	286	54	336	0.71387283237
GH84.hmm	295	Csp_00532	1654	9.9e-101	1	285	184	483	0.962711864407
GH109.hmm	399	Csp_00585	323	6.3e-19	3	162	1	150	0.398496240602
CBM32.hmm	124	Csp_00603	1551	6.2e-21	10	123	50	176	0.911290322581
GH20.hmm	337	Csp_00603	1551	4.5e-61	7	334	549	872	0.970326409496
CBM32.hmm	124	Csp_00603	1551	1.2e-25	6	122	1091	1212	0.935483870968
CBM32.hmm	124	Csp_00639	1669	5.9e-18	6	122	111	251	0.935483870968
CBM32.hmm	124	Csp_00639	1669	3.4e-22	7	122	1202	1338	0.927419354839
CE6.hmm	99	Csp_00673	276	3.2e-32	1	98	54	145	0.979797979798
GT4.hmm	160	Csp_00729	260	3.4e-17	65	151	138	224	0.5375
GT4.hmm	160	Csp_00731	385	8.1e-29	6	159	178	333	0.95625
GT2.hmm	170	Csp_00732	319	5.9e-37	1	126	7	130	0.735294117647
GT4.hmm	160	Csp_00739	354	1.6e-24	6	151	180	317	0.90625
GH3.hmm	216	Csp_00753	1152	1.4e-67	7	214	126	358	0.958333333333
GH3.hmm	216	Csp_00936	1020	7e-67	7	214	126	358	0.958333333333
GT4.hmm	160	Csp_00949	427	2.3e-32	13	157	251	388	0.9
GT4.hmm	160	Csp_00953	382	1.7e-23	5	149	202	344	0.9
GT4.hmm	160	Csp_00956	394	2.3e-16	7	154	208	361	0.91875
GH84.hmm	295	Csp_00990	1712	3.4e-101	1	294	182	485	0.993220338983
CBM32.hmm	124	Csp_00990	1712	1.6e-17	12	122	805	922	0.887096774194
GT4.hmm	160	Csp_01080	662	6.9e-32	7	141	212	344	0.8375
GT4.hmm	160	Csp_01082	335	1.3e-18	4	149	157	297	0.90625
GH77.hmm	494	Csp_01281	475	2e-134	2	470	8	453	0.947368421053
GT51.hmm	177	Csp_01326	901	1.2e-59	10	177	78	248	0.943502824859
GT2.hmm	170	Csp_01384	319	1.4e-33	1	166	5	167	0.970588235294
GH123.hmm	538	Csp_01402	1963	4e-165	4	537	405	970	0.990706319703
GH33.hmm	342	Csp_01402	1963	2.9e-16	18	247	1375	1608	0.669590643275
GH20.hmm	337	Csp_01570	1524	6.9e-99	8	336	184	513	0.973293768546
GH3.hmm	216	Csp_01571	904	2.9e-63	8	216	119	352	0.962962962963
CE1.hmm	227	Csp_01575	258	1.7e-31	3	217	11	250	0.942731277533
GT5.hmm	472	Csp_01587	476	5.1e-180	1	471	2	472	0.995762711864
GH84.hmm	295	Csp_01597	1273	1.1e-109	1	294	191	483	0.993220338983
CBM32.hmm	124	Csp_01597	1273	3e-18	2	122	763	887	0.967741935484
CBM40.hmm	179	Csp_01621	1574	1.5e-43	3	174	22	197	0.95530726257
CBM40.hmm	179	Csp_01621	1574	1.5e-46	1	177	210	394	0.983240223464
GH33.hmm	342	Csp_01621	1574	1e-93	11	337	417	853	0.953216374269
CBM32.hmm	124	Csp_01621	1574	1.5e-22	5	122	986	1115	0.943548387097
GH31.hmm	427	Csp_01647	1602	9.4e-71	193	427	412	650	0.548009367681
CBM35.hmm	119	Csp_01647	1602	4.7e-18	1	118	821	964	0.983193277311
CBM35.hmm	119	Csp_01647	1602	2.4e-18	10	117	1126	1251	0.899159663866
GH136.hmm	491	Csp_01808	236	5.3e-40	221	433	2	220	0.431771894094
CE4.hmm	130	Csp_01811	464	5.5e-25	5	118	255	365	0.869230769231
GT4.hmm	160	Csp_01834	390	5.7e-38	2	156	198	353	0.9625
GT2.hmm	170	Csp_01835	323	1.1e-36	1	139	4	140	0.811764705882
GT4.hmm	160	Csp_01838	403	3.2e-20	11	153	231	359	0.8875
GT4.hmm	160	Csp_01840	381	6.6e-30	5	151	172	320	0.9125
GT28.hmm	157	Csp_01863	361	3.3e-45	2	157	188	347	0.987261146497
CBM32.hmm	124	Csp_01879	1847	1.7e-23	5	123	47	176	0.951612903226
CBM32.hmm	124	Csp_01879	1847	2.4e-21	7	114	197	303	0.862903225806
CBM32.hmm	124	Csp_01879	1847	4.2e-22	5	122	336	468	0.943548387097
GH20.hmm	337	Csp_01879	1847	3e-61	8	335	696	1035	0.970326409496
CBM32.hmm	124	Csp_01879	1847	7.4e-20	7	122	1391	1512	0.927419354839
GH84.hmm	295	Csp_01954	1260	2.6e-112	1	294	181	478	0.993220338983
CE4.hmm	130	Csp_01992	475	1.5e-26	4	112	264	371	0.830769230769
GH84.hmm	295	Csp_02003	1123	6.5e-107	1	294	187	484	0.993220338983
CBM32.hmm	124	Csp_02003	1123	8e-23	6	122	722	847	0.935483870968
GH20.hmm	337	Csp_02004	1244	5e-65	14	336	197	545	0.955489614243
GH84.hmm	295	Csp_02005	1363	1.4e-103	1	294	191	484	0.993220338983
CBM32.hmm	124	Csp_02010	598	7.2e-20	14	123	59	176	0.879032258065
