## Mon Sep  5 19:14:30 2022
## emapper-2.1.9
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_2ya2ltn_ --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_2ya2ltn_ --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_2ya2ltn_/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype proteins --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
Bv_00001	435590.BVU_0001	0.0	931.0	COG0593@1|root,COG0593@2|Bacteria,4NE6Q@976|Bacteroidetes,2FNPD@200643|Bacteroidia,4AMV9@815|Bacteroidaceae	976|Bacteroidetes	L	it binds specifically double-stranded DNA at a 9 bp consensus (dnaA box) 5'-TTATC CA A CA A-3'. DnaA binds to ATP and to acidic phospholipids	dnaA	GO:0003674,GO:0003676,GO:0003677,GO:0003688,GO:0003690,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0006139,GO:0006259,GO:0006260,GO:0006261,GO:0006270,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0016020,GO:0034641,GO:0034645,GO:0043170,GO:0043565,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044424,GO:0044464,GO:0046483,GO:0071704,GO:0071944,GO:0090304,GO:0097159,GO:1901360,GO:1901363,GO:1901576,GO:1990837	-	ko:K02313	ko02020,ko04112,map02020,map04112	-	-	-	ko00000,ko00001,ko03032,ko03036	-	-	-	Bac_DnaA,Bac_DnaA_C,DnaA_N
Bv_00002	435590.BVU_0002	1.83e-178	496.0	COG0778@1|root,COG0778@2|Bacteria,4NJ80@976|Bacteroidetes,2FNX6@200643|Bacteroidia,4AM0M@815|Bacteroidaceae	976|Bacteroidetes	C	Nitroreductase family	-	-	1.5.1.38,1.5.1.39	ko:K19285,ko:K19286	ko00740,ko01100,map00740,map01100	-	R05705,R05706	RC00126	ko00000,ko00001,ko01000	-	-	-	Nitroreductase
Bv_00003	435590.BVU_0003	0.0	1723.0	COG0209@1|root,COG0209@2|Bacteria,4NEHQ@976|Bacteroidetes,2FN30@200643|Bacteroidia,4AKPU@815|Bacteroidaceae	976|Bacteroidetes	F	Catalyzes the reduction of ribonucleotides to deoxyribonucleotides. May function to provide a pool of deoxyribonucleotide precursors for DNA repair during oxygen limitation and or for immediate growth after restoration of oxygen	nrd	-	1.17.4.1	ko:K00525	ko00230,ko00240,ko01100,map00230,map00240,map01100	M00053	R02017,R02018,R02019,R02024	RC00613	ko00000,ko00001,ko00002,ko01000,ko03400	-	-	-	Ribonuc_red_lgC,Ribonuc_red_lgN
Bv_00004	435590.BVU_0004	0.0	1916.0	COG2982@1|root,COG2982@2|Bacteria,4NEJQ@976|Bacteroidetes,2FN9V@200643|Bacteroidia,4AM46@815|Bacteroidaceae	976|Bacteroidetes	M	protein involved in outer membrane biogenesis	-	-	-	-	-	-	-	-	-	-	-	-	AsmA,AsmA_2
Bv_00005	435590.BVU_0005	7.03e-86	252.0	COG1539@1|root,COG1539@2|Bacteria,4NQ53@976|Bacteroidetes,2FSRG@200643|Bacteroidia,4ARDR@815|Bacteroidaceae	976|Bacteroidetes	H	Catalyzes the conversion of 7,8-dihydroneopterin to 6- hydroxymethyl-7,8-dihydropterin	folB	-	1.13.11.81,4.1.2.25,5.1.99.8	ko:K01633	ko00790,ko01100,map00790,map01100	M00126,M00840	R03504,R11037,R11073	RC00721,RC00943,RC01479,RC03333,RC03334	ko00000,ko00001,ko00002,ko01000	-	-	-	FolB
Bv_00006	435590.BVU_0006	2.44e-211	583.0	COG1533@1|root,COG1533@2|Bacteria,4NE62@976|Bacteroidetes,2FP03@200643|Bacteroidia,4ANXE@815|Bacteroidaceae	976|Bacteroidetes	L	DNA repair photolyase K01669	-	-	-	-	-	-	-	-	-	-	-	-	Radical_SAM
Bv_00007	435590.BVU_0007	5.42e-255	698.0	COG1216@1|root,COG1216@2|Bacteria,4NFP0@976|Bacteroidetes,2FN97@200643|Bacteroidia,4AMZB@815|Bacteroidaceae	976|Bacteroidetes	S	Glycosyl transferase family group 2	-	-	-	ko:K07011	-	-	-	-	ko00000	-	-	-	Glycos_transf_2
Bv_00008	435590.BVU_0008	0.0	876.0	COG0621@1|root,COG0621@2|Bacteria,4NE0R@976|Bacteroidetes,2FM1T@200643|Bacteroidia,4AMMQ@815|Bacteroidaceae	976|Bacteroidetes	J	Psort location Cytoplasmic, score 8.96	yqeV	-	2.8.4.5	ko:K18707	-	-	R10649	RC00003,RC03221	ko00000,ko01000,ko03016	-	-	-	Radical_SAM,UPF0004
Bv_00009	435590.BVU_0009	0.0	1126.0	COG1022@1|root,COG1022@2|Bacteria,4NGFQ@976|Bacteroidetes,2FN1X@200643|Bacteroidia,4AKRT@815|Bacteroidaceae	976|Bacteroidetes	I	Psort location CytoplasmicMembrane, score 9.82	-	-	6.2.1.3	ko:K01897	ko00061,ko00071,ko01100,ko01212,ko02024,ko03320,ko04146,ko04216,ko04714,ko04920,map00061,map00071,map01100,map01212,map02024,map03320,map04146,map04216,map04714,map04920	M00086	R01280	RC00004,RC00014	ko00000,ko00001,ko00002,ko01000,ko01004,ko04147	4.C.1.1	-	-	AMP-binding
Bv_00010	357276.EL88_15875	1.74e-13	65.5	2EUHM@1|root,2ZRQX@2|Bacteria	2|Bacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
