dbCAN subfam	Subfam Composition	Subfam EC	Substrate	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH109_e7	GH109:31	-	-	390	Ro_00017	349	1.8e-24	2	168	2	168	0.425641025641
GH32_e45	GH32:16	-	-	305	Ro_00093	433	9.2e-163	1	305	6	308	0.996721311475
GH78_e0	GH78:1070	3.2.1.40:3	alpha-rhamnoside	452	Ro_00689	399	3.4e-140	1	329	70	398	0.725663716814
GH13_e141	GH13:115	3.2.1.-:2	sucrose, starch	288	Ro_00692	563	7.2e-136	2	288	39	321	0.993055555556
GH13_e4	GH13_4:41	-	sucrose	398	Ro_00714	730	1.8e-228	1	398	198	595	0.997487437186
GT2	GT2:29	-	-	143	Ro_01383	319	6.4e-67	1	142	7	148	0.986013986014
GT35_e0	GT35:17065|GH77:18|GH13_39:1	2.4.1.1:158	-	712	Ro_01696	818	0	1	711	96	813	0.997191011236
CBM50_e811	CBM50:13	-	chitin, peptidoglycan	40	Ro_01702	518	6.1e-17	3	40	474	511	0.925
CE4_e271	CE4:14	-	-	114	Ro_01716	490	1.9e-49	3	113	174	284	0.964912280702
GH32_e25	GH32:15|CBM38:1	-	-	292	Ro_01838	517	1.7e-89	1	289	95	379	0.986301369863
GH2_e1	GH2:1541|CBM32:15|CBM51:13|CBM13:8|GH106:2|CBM67:2|GH33:1	3.2.1.23:35	beta-galactan	883	Ro_01968	1014	0	11	883	17	896	0.987542468856
GH42_e20	GH42:2137	3.2.1.23:22	arabinogalactan protein	373	Ro_01969	674	4.9e-189	1	373	16	386	0.997319034853
GH3_e197	GH3:1321|GH78:3|CBM6:1	3.2.1.21:22|3.2.1.-:4|3.2.1.37:1|3.2.1.55:1|3.2.1.23:1|3.2.1.45:1	beta-glucan, beta-glucan, xylan, arabinan, host glycan	221	Ro_02097	812	5.3e-107	1	220	30	249	0.990950226244
CBM48_e2	CBM48:14087|GH13_9:14033|GH77:8|GH13:5|GT5:2|GH13_3:1|GH0:1	2.4.1.18:57	glycogen	100	Ro_02218	754	1.8e-25	5	88	121	217	0.83
GH13_e200	GH13_9:2874|CBM48:2782|GH77:10|GH13:7|GH13_3:5|GH0:1|GT5:1|GH13_1:1	2.4.1.18:14	sucrose, alpha-glucan	301	Ro_02218	754	6.1e-115	1	298	266	562	0.986710963455
GH95_e1	GH95:1763|CBM13:26|CBM2:14|CE6:11|CBM6:7|CBM32:5|CE8:2|GH29:1|CE12:1|CBM5:1|GH1:1	3.2.1.-:3|3.2.1.63:2	pectin, xylan, xyloglucan, host glycan	743	Ro_02233	749	1.8e-252	5	736	4	738	0.983849259758
GT2	GT2:21	-	-	132	Ro_02304	102	1.9e-18	1	54	6	59	0.401515151515
GT2	GT2:126	-	-	263	Ro_02305	227	2e-19	90	196	1	120	0.403041825095
GT2	GT2:9|GT0:1	-	-	130	Ro_02359	305	1.5e-53	1	127	15	141	0.969230769231
GT4_e825	GT4:12	-	-	139	Ro_02367	352	1e-38	1	137	180	320	0.978417266187
GT2	GT2:8	-	-	130	Ro_02463	250	8.2e-73	1	129	8	136	0.984615384615
GT2	GT2:11	-	-	127	Ro_02464	259	9e-57	1	126	5	132	0.984251968504
CBM34_e11	CBM34:126|GH13_39:69|CBM20:58|GH13:56|CBM48:9	3.2.1.1:13|3.2.1.41:12	starch	100	Ro_02494	702	9.2e-27	2	100	40	136	0.98
GH13_e98	GH13:47|CBM34:38|GH13_39:3|GH13_20:1	-	sucrose	380	Ro_02494	702	2.2e-211	1	380	193	573	0.997368421053
GT2	GT2:5	-	-	165	Ro_02715	238	2.4e-75	1	164	7	168	0.987878787879
GH43_e1	GH43_11:249|GH43:1	-	-	312	Ro_02821	548	1.1e-192	1	312	3	314	0.996794871795
CBM91_e3	CBM91:307|GH43_11:304	-	xylan	200	Ro_02821	548	3.9e-107	1	199	343	541	0.99
GH13_e138	GH13_11:12|CBM48:7	-	sucrose	187	Ro_02877	629	5.4e-80	2	187	267	446	0.989304812834
GT2	GT2:29	-	-	168	Ro_03075	307	4.5e-80	1	168	8	176	0.994047619048
GT51_e43	GT51:83	-	-	183	Ro_03182	891	6e-87	2	183	84	267	0.989071038251
GT4_e2504	GT4:14	-	-	139	Ro_00032	802	1e-58	3	137	633	767	0.964028776978
GT2	GT2:6	-	-	162	Ro_00033	249	1.3e-57	1	161	10	165	0.987654320988
GH42_e0	GH42:710	3.2.1.-:1	arabinan	366	Ro_00284	667	1.3e-200	1	366	11	377	0.997267759563
GT2	GT2:147	-	-	133	Ro_00702	337	5.4e-60	1	133	6	138	0.992481203008
GH73_e240	GH73:21	-	-	130	Ro_00786	442	7.4e-47	2	129	36	164	0.976923076923
GH77_e1	GH77:1346|GT35:16	2.4.1.25:3	starch	479	Ro_01142	396	9.3e-166	122	478	2	360	0.743215031315
GT28_e30	GT28:2065	-	-	150	Ro_01433	357	2.1e-64	1	147	189	335	0.973333333333
CE9_e44	CE9:51	-	-	367	Ro_01715	367	4e-167	1	363	5	367	0.986376021798
CBM48_e2	CBM48:14087|GH13_9:14033|GH77:8|GH13:5|GT5:2|GH13_3:1|GH0:1	2.4.1.18:57	glycogen	100	Ro_01717	628	1.3e-22	5	94	23	125	0.89
GH13_e200	GH13_9:2874|CBM48:2782|GH77:10|GH13:7|GH13_3:5|GH0:1|GT5:1|GH13_1:1	2.4.1.18:14	sucrose, alpha-glucan	301	Ro_01717	628	4.8e-156	1	300	185	484	0.993355481728
GH78_e1	GH78:419	3.2.1.40:3	alpha-rhamnoside	476	Ro_02044	654	8.5e-181	2	472	163	622	0.987394957983
GH2_e95	GH2:31	-	-	594	Ro_02045	799	6.3e-280	1	592	5	589	0.994949494949
GH3_e33	GH3:23	-	-	212	Ro_02046	1021	5.1e-95	13	212	717	922	0.938679245283
GH43_e264	GH43_35:87|GH51:3|CBM6:3|GH43:1	3.2.1.37:4|3.2.1.55:4	xylan, xylan	302	Ro_02052	483	2.8e-133	1	301	9	321	0.993377483444
GH3_e130	GH3:326	-	-	210	Ro_02096	953	1.2e-85	3	209	664	869	0.980952380952
GH29_e30	GH29:1257|CBM32:104|CBM0:3|GH33:3|CBM6:1|CBM9:1|CE3:1|GH136:1|GH0:1|CBM47:1|GT1:1	3.2.1.111:8|3.2.1.51:3	host glycan, host glycan	301	Ro_02241	448	3.1e-141	2	299	14	339	0.986710963455
GT2	GT2:9|GT0:1	-	-	130	Ro_02259	329	4.4e-48	1	123	10	132	0.938461538462
GT2	GT2:34	-	-	156	Ro_02364	229	9.3e-82	1	155	6	160	0.987179487179
GT4_e381	GT4:9	-	-	144	Ro_02366	374	2.1e-32	2	143	204	345	0.979166666667
GT2	GT2:340	-	-	162	Ro_02377	315	5.6e-74	1	162	6	166	0.993827160494
CE4_e362	CE4:61	-	-	127	Ro_02384	274	8.2e-63	2	127	79	204	0.984251968504
GH23_e21	GH23:981	-	-	138	Ro_02440	335	9.7e-69	1	137	69	206	0.985507246377
CBM48_e3	CBM48:14267|GH13_11:14161|GH13:59|GH77:38|GH13_10:2|GH13_36:1	3.2.1.68:75|2.4.1.25:4|3.2.1.-:1	glycogen	101	Ro_02570	714	5.5e-22	7	97	40	134	0.891089108911
GH13_e48	GH13_11:3001|CBM48:2819|GH13:35|GH77:23|GH13_10:3	3.2.1.68:15|3.2.1.-:1	sucrose, starch, starch	358	Ro_02570	714	1.7e-151	3	356	191	553	0.986033519553
GT35_e0	GT35:17065|GH77:18|GH13_39:1	2.4.1.1:158	-	712	Ro_02665	755	9.9e-252	1	710	79	753	0.995786516854
GT2	GT2:12|GT4:1	-	-	141	Ro_02713	335	1.5e-48	1	126	7	132	0.886524822695
GH73_e230	GH73:19|CBM13:1	-	-	130	Ro_02730	269	2.4e-60	2	129	138	265	0.976923076923
GH94_e12	GH94:336	2.4.1.20:14|2.4.1.49:1	cellulose, cellulose	806	Ro_03019	811	0	1	806	3	808	0.998759305211
GT2	GT2:53|GT4:2	-	-	208	Ro_03071	623	1e-73	2	202	86	284	0.961538461538
GT2	GT2:156|GT4:8|GT0:3	-	-	243	Ro_03071	623	2.8e-88	11	241	339	582	0.946502057613
GT2	GT2:27	-	-	171	Ro_03072	317	3.8e-78	1	171	5	175	0.994152046784
GT2	GT2:6	-	-	161	Ro_03081	310	2.3e-55	1	160	6	168	0.987577639752
GH77_e1	GH77:1346|GT35:16	2.4.1.25:3	starch	479	Ro_03146	288	1.9e-127	1	268	12	279	0.557411273486
GH77_e1	GH77:1346|GT35:16	2.4.1.25:3	starch	479	Ro_03147	226	2.4e-89	268	477	6	220	0.436325678497
CBM48_e2	CBM48:14087|GH13_9:14033|GH77:8|GH13:5|GT5:2|GH13_3:1|GH0:1	2.4.1.18:57	glycogen	100	Ro_03151	594	4.9e-18	5	92	14	108	0.87
GH13_e200	GH13_9:2874|CBM48:2782|GH77:10|GH13:7|GH13_3:5|GH0:1|GT5:1|GH13_1:1	2.4.1.18:14	sucrose, alpha-glucan	301	Ro_03151	594	1.2e-120	1	301	165	454	0.996677740864
GH23_e843	GH23:9	-	-	109	Ro_03208	695	4.9e-46	2	107	227	336	0.963302752294
GH31_e25	GH31:85	-	-	482	Ro_03326	663	5.1e-255	1	481	134	613	0.995850622407
CE4_e194	CE4:28	-	-	111	Ro_00134	244	6.2e-48	2	110	61	169	0.972972972973
