Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
Bth_00046	UML59511.1|GT2	100.0	317	0	0	1	317	1	317	6.4e-183	643.7
Bth_00048	QMW87121.1|GT2	100.0	310	0	0	4	313	1	310	6.8e-177	623.6
Bth_00051	QMW87124.1|GT101	100.0	311	0	0	1	311	1	311	4.1e-182	641.0
Bth_00052	QMW89272.1|GT2	100.0	323	0	0	1	323	1	323	2.2e-183	645.2
Bth_00053	AAO75158.1|GT2	100.0	326	0	0	1	326	1	326	2.6e-187	658.3
Bth_00055	QMW87126.1|GT4	100.0	374	0	0	1	374	1	374	1.0e-219	766.1
Bth_00056	CAY03604.1|GT0	100.0	373	0	0	1	373	1	373	5.7e-223	776.9
Bth_00057	QMW87128.1|GT4	100.0	371	0	0	21	391	1	371	2.0e-218	761.9
Bth_00067	QUR43709.1|GH27	100.0	845	0	0	1	845	1	845	0.0e+00	1734.5
Bth_00130	AAO75233.1|PL40	100.0	918	0	0	1	918	1	918	0.0e+00	1869.4
Bth_00131	ALJ42773.1|CBM6|GH28	100.0	1097	0	0	1	1097	1	1097	0.0e+00	2256.9
Bth_00137	ALJ42768.1|GH97	100.0	649	0	0	1	649	1	649	0.0e+00	1340.1
Bth_00142	AAO75244.1|GH146	100.0	641	0	0	1	641	1	641	0.0e+00	1340.1
Bth_00151	QMW87214.1|GH43_10	99.8	466	1	0	1	466	84	549	2.1e-291	1004.6
Bth_00152	QMW87215.1|GH88	100.0	406	0	0	1	406	1	406	6.1e-247	856.7
Bth_00169	QMW87228.1|GT51	100.0	772	0	0	1	772	1	772	0.0e+00	1587.4
Bth_00171	ACM64804.2|GT51	25.6	1584	1053	40	123	1680	97	1580	3.5e-129	467.6
Bth_00187	CUS04494.2|GH39	57.6	911	375	7	9	914	14	918	3.7e-292	1008.1
Bth_00191	QUT70490.1|GH23	100.0	469	0	0	1	469	1	469	3.3e-276	954.1
