Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	Signalp	#ofTools
Ca_00007	2.4.1.18|-	CBM48(44-130)+GH13_9(220-516)	CBM48_e87+GH13_e200	CBM48+GH13_9	N	3
Ca_00008	2.4.1.1	GT35(95-807)	GT35_e0	GT35	N	3
Ca_00011	-	GT5(9-482)	GT5_e15	GT5	N	3
Ca_00012	-	GH13_39(194-524)+GH77(727-1082)	CBM34_e3+GH13_e89+GH77_e18	GH13_39+GH77	N	3
Ca_00079	-	GT2(52-276)	GT2	GT2	N	3
Ca_00121	3.2.1.26	GH32(33-377)	GH32_e76	GH32	N	3
Ca_00129	-	GT4(286-437)	GT4_e426	GT4	N	3
Ca_00141	-	GT2(6-128)	GT2	GT2	N	3
Ca_00144	-	GT2(7-119)	GT2	GT2	N	3
Ca_00145	-	GT32(115-194)	GT32_e110	GT32	N	3
Ca_00146	-	GT4(238-382)	GT4_e760	GT4	N	3
Ca_00147	-	GT4(200-339)	GT4_e224	GT4	N	3
Ca_00312	-	GT28(196-357)	GT28_e115	GT28	N	3
Ca_00333	3.2.1.86|3.2.1.21|3.2.1.37	GH1(3-472)	GH1_e85	GH1	N	3
Ca_00338	-	GT2(9-110)	GT2	GT2	N	3
Ca_00416	N	GH109(10-169)	N	N	N	1
Ca_00440	3.2.1.20	GH13_30(34-401)	GH13_e234	GH13_30	N	3
Ca_00638	-	GH73(256-406)	GH73_e131	GH73	N	3
Ca_00753	-	GH105(33-374)	GH105_e32	GH105	N	3
Ca_00755	-	CE19(63-297)	CE19_e1	CE8	N	3
Ca_00756	-	CE8(10-329)	CE8_e51	CE8	N	3
Ca_00758	-	GH28(105-477)	GH28_e123	GH28	N	3
Ca_00808	3.2.1.85	GH1(6-468)	GH1_e65	GH1	N	3
Ca_00812	3.2.1.85	GH1(8-474)	GH1_e65	GH1	N	3
Ca_00814	3.2.1.85	GH1(14-476)	GH1_e65	GH1	N	3
Ca_00848	-	GH32(6-283)	GH32_e121	GH32	N	3
Ca_00850	3.2.1.26	GH32(37-351)	GH32_e76	GH32	N	3
Ca_00980	3.2.1.-	GH13_20(49-338)	GH13_e141	GH13	N	3
Ca_01051	-	GH5_44(50-307)	GH5_e304	GH5	N	3
Ca_01236	-	GT51(72-247)	GT51_e8	GT51	N	3
Ca_01265	-	GH170(3-349)	GH170_e27	GH170	N	3
Ca_01291	3.2.1.122	GH4(3-178)	GH4_e4	GH4	N	3
Ca_01506	-	GT2(14-194)	GT2	GT2	N	3
Ca_01507	-	GT2(12-149)	GT2	GT2	N	3
Ca_01508	-	GT2(10-173)	GT2	GT2	N	3
Ca_01509	-	GT2(10-133)	GT2	GT2	N	3
Ca_01510	-	GT2(7-117)	GT2	GT2	N	3
Ca_01511	-	GT2(292-451)+GT2(550-779)	GT2+GT2	GT2	N	3
Ca_01591	N	GH109(4-156)	N	N	N	1
Ca_01652	-	CE4(245-356)	CE4_e338	CE4	N	3
Ca_01694	3.2.1.122	GH4(5-184)	GH4_e4	GH4	N	3
Ca_01775	2.4.1.1	GT35(80-754)	GT35_e0	GT35	N	3
Ca_01776	2.4.1.25	GH77(9-486)	GH77_e1	GH77	N	3
Ca_01890	-	GT28(240-386)	GT28_e66	GT28	N	3
Ca_01931	-	GT81(3-185)	GT2	GT2	N	3
Ca_02025	-	CE7(2-296)	CE7_e2	CE7	N	3
Ca_02039	-	GH23(57-180)	GH23_e992	GH23	Y(1-34)	3
Ca_02088	-	GH25(164-339)	GH25_e204	GH25	Y(1-30)	3
Ca_02094	-	GT8(2-254)	GT8_e252	GT8	N	3
Ca_02095	-	GT2(10-134)	GT2	GT2	N	3
Ca_02097	-	GT2(8-142)	GT2	GT2	N	3
Ca_02100	-	GT4(644-731)	GT4_e2354+GT4_e2354	GT4	N	3
Ca_02129	3.2.1.23|3.2.1.-|3.2.1.38	GH35(10-328)	GH35_e23	GH35	N	3
Ca_02137	-	CE9(19-380)	CE9_e85	CE9	N	3
Ca_02158	3.2.1.86|3.2.1.21|3.2.1.37	GH1(2-468)	GH1_e85	GH1	N	3
Ca_01234	-	N	GT2	N	N	1
Ca_01887	-	N	CBM50_e395	N	N	1
Ca_02098	-	N	GT2	GT2	N	2
Ca_00001	N	N	N	GT4	N	1
Ca_00009	N	N	N	CBM48+GH13_9	N	1
Ca_00114	N	N	N	GT2	N	1
Ca_00117	N	N	N	GH13_26	N	1
Ca_00150	N	N	N	GH28	N	1
Ca_00159	N	N	N	GH5_11	N	1
Ca_00560	N	N	N	GH1	N	1
Ca_00769	N	N	N	GT83	N	1
Ca_00914	N	N	N	GH13	N	1
Ca_00942	N	N	N	GT4	N	1
Ca_00988	N	N	N	GH1	N	1
Ca_00993	N	N	N	GH38	N	1
Ca_01049	N	N	N	GH84	N	1
Ca_01068	N	N	N	CBM50	N	1
Ca_01129	N	N	N	GT2	N	1
Ca_01165	N	N	N	GT4	N	1
Ca_01311	N	N	N	GH13_30	N	1
Ca_01634	N	N	N	GT58	N	1
Ca_01804	N	N	N	GH13_31	N	1
Ca_01857	N	N	N	GH28	N	1
Ca_01869	N	N	N	GH13	N	1
Ca_01871	N	N	N	GT2	N	1
Ca_01976	N	N	N	GT1	N	1
Ca_01993	N	N	N	CBM50+GH25	N	1
