dbCAN subfam	Subfam Composition	Subfam EC	Substrate	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH172_e20	GH172:279	-	-	246	Bu_00042	393	8e-126	1	246	124	373	0.99593495935
CBM38_e8	CBM38:17|GH116:17	-	fructan	123	Bu_00048	992	4.7e-48	12	122	308	419	0.894308943089
GH116_e6	GH116:81|CBM38:16	-	-	351	Bu_00048	992	6e-178	2	351	566	926	0.994301994302
GH127_e5	GH127:146	3.2.1.-:2	carrageenan	539	Bu_00151	688	1.8e-32	308	539	328	564	0.428571428571
GH76_e19	GH76:45|CBM6:1	-	-	316	Bu_00157	377	9.4e-141	3	315	44	357	0.987341772152
GH92_e16	GH92:68	-	-	482	Bu_00158	716	1.8e-239	6	481	238	713	0.985477178423
GH171_e3	GH171:806|GH3:1	-	-	343	Bu_00203	420	7.2e-151	1	343	76	419	0.997084548105
GH171_e0	GH171:861|CE4:21|GH3:2	3.2.1.92:6	peptidoglycan	364	Bu_00211	413	4.9e-152	1	364	46	413	0.997252747253
GH5_e108	GH5_4:135|CBM13:9|CBM88:1|CBM10:1|CBM2:1	3.2.1.4:3	beta-glucan	298	Bu_00264	593	5.8e-130	1	297	254	563	0.993288590604
GH31_e66	GH31:125	3.2.1.177:1	xyloglucan	461	Bu_00266	960	7e-248	1	461	383	850	0.997830802603
GH3_e10	GH3:448|GH43_34:2	3.2.1.21:12|3.2.1.-:6	beta-glucan, beta-glucan	208	Bu_00268	737	1.2e-105	1	208	64	283	0.995192307692
GH26_e64	GH26:14|GH5_4:9|CBM72:2	3.2.1.73:5|3.2.1.151:3|3.2.1.78:2|3.2.1.4:1|3.2.1.8:1	beta-glucan, beta-mannan	329	Bu_00306	565	5.6e-37	3	151	143	292	0.449848024316
GH26_e89	GH26:12	-	-	287	Bu_00306	565	1.3e-79	89	286	358	558	0.686411149826
GH5_e79	GH5_2:79|CE2:1	3.2.1.4:3|3.2.1.-:1	beta-glucan, beta-mannan	233	Bu_00311	326	1.1e-123	1	233	49	282	0.995708154506
CE7_e15	CE7:34|GH26:2	-	-	295	Bu_00313	427	1.7e-161	1	295	125	419	0.996610169492
GH97_e1	GH97:229	3.2.1.22:1	alpha-glucan	639	Bu_00318	671	4.2e-274	5	638	19	668	0.990610328638
GH3_e57	GH3:182	3.2.1.-:1	beta-glucan	226	Bu_00322	1014	2.6e-115	2	225	118	339	0.986725663717
GT20_e1	GT20:8450	2.4.1.15:96	-	473	Bu_00545	762	1.5e-178	5	468	8	469	0.978858350951
GT30_e38	GT30:395	-	-	163	Bu_00699	406	1.2e-79	4	163	47	206	0.975460122699
GT35_e7	GT35:1062|GT3:53	2.4.1.1:9	-	531	Bu_00734	852	7.2e-227	1	530	126	655	0.996233521657
