## Mon Sep  5 18:52:54 2022
## emapper-2.1.9
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_rhdhx_42 --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_rhdhx_42 --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_rhdhx_42/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype proteins --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
Bc_00001	411901.BACCAC_00001	3.55e-248	681.0	COG3209@1|root,COG3209@2|Bacteria,4NE5D@976|Bacteroidetes,2FPA4@200643|Bacteroidia,4AKI6@815|Bacteroidaceae	976|Bacteroidetes	M	COG COG3209 Rhs family protein	-	-	-	-	-	-	-	-	-	-	-	-	-
Bc_00004	411901.BACCAC_00004	1.64e-259	712.0	COG3209@1|root,COG3209@2|Bacteria,4NE5D@976|Bacteroidetes,2FPA4@200643|Bacteroidia,4AKI6@815|Bacteroidaceae	976|Bacteroidetes	M	COG COG3209 Rhs family protein	-	-	-	-	-	-	-	-	-	-	-	-	-
Bc_00006	411901.BACCAC_00006	0.0	1341.0	COG0045@1|root,COG1042@1|root,COG0045@2|Bacteria,COG1042@2|Bacteria,4NFTI@976|Bacteroidetes,2FNSJ@200643|Bacteroidia,4ANVS@815|Bacteroidaceae	976|Bacteroidetes	C	CoA binding domain protein	-	-	-	ko:K09181	-	-	-	-	ko00000	-	-	-	ATP-grasp_5,CoA_binding_2,Succ_CoA_lig
Bc_00007	411901.BACCAC_00007	0.0	2448.0	COG0745@1|root,COG3292@1|root,COG5002@1|root,COG0745@2|Bacteria,COG3292@2|Bacteria,COG5002@2|Bacteria,4P0IA@976|Bacteroidetes,2FWSR@200643|Bacteroidia,4AV24@815|Bacteroidaceae	976|Bacteroidetes	T	ATPase histidine kinase DNA gyrase B HSP90 domain protein	-	-	-	-	-	-	-	-	-	-	-	-	HATPase_c,HTH_18,HisKA,Reg_prop,Response_reg,Y_Y_Y
Bc_00008	411901.BACCAC_00009	0.0	2144.0	COG4206@1|root,COG4206@2|Bacteria,4P258@976|Bacteroidetes,2FWW6@200643|Bacteroidia,4AWE3@815|Bacteroidaceae	976|Bacteroidetes	H	TonB-linked outer membrane protein, SusC RagA family	-	-	-	-	-	-	-	-	-	-	-	-	CarbopepD_reg_2,Plug,TonB_dep_Rec
Bc_00009	411901.BACCAC_00010	0.0	1322.0	COG0614@1|root,COG0614@2|Bacteria,4NEF0@976|Bacteroidetes,2FNDC@200643|Bacteroidia,4AMJ9@815|Bacteroidaceae	976|Bacteroidetes	P	non supervised orthologous group	-	-	-	ko:K21572	-	-	-	-	ko00000,ko02000	8.A.46.1,8.A.46.3	-	-	SusD-like_3,SusD_RagB
Bc_00010	411901.BACCAC_00011	4.38e-311	845.0	28NNF@1|root,2ZBJT@2|Bacteria,4NMDN@976|Bacteroidetes,2G2J4@200643|Bacteroidia,4AQH0@815|Bacteroidaceae	976|Bacteroidetes	S	Domain of unknown function (DUF5126)	-	-	-	-	-	-	-	-	-	-	-	-	DUF4959,DUF5000,DUF5126
Bc_00011	411901.BACCAC_00012	6.12e-157	440.0	2EQ73@1|root,33HTD@2|Bacteria,4NY2S@976|Bacteroidetes,2FU5B@200643|Bacteroidia,4AS2M@815|Bacteroidaceae	976|Bacteroidetes	S	Domain of unknown function	-	-	-	-	-	-	-	-	-	-	-	-	DUF4998
Bc_00012	411901.BACCAC_00013	0.0	1268.0	COG3250@1|root,COG3250@2|Bacteria,4NFPC@976|Bacteroidetes,2FPUZ@200643|Bacteroidia,4AMTG@815|Bacteroidaceae	976|Bacteroidetes	G	Belongs to the glycosyl hydrolase 2 family	-	-	-	-	-	-	-	-	-	-	-	-	Glyco_hydro_2,Glyco_hydro_2_C,Glyco_hydro_2_N
Bc_00013	411901.BACCAC_00014	1.88e-276	754.0	COG4225@1|root,COG4225@2|Bacteria,4NGSJ@976|Bacteroidetes,2FM7R@200643|Bacteroidia,4AKVC@815|Bacteroidaceae	976|Bacteroidetes	G	unsaturated glucuronyl hydrolase involved in regulation of bacterial surface properties, and related proteins	-	-	-	-	-	-	-	-	-	-	-	-	Glyco_hydro_88,Hepar_II_III
Bc_00014	411901.BACCAC_00015	0.0	2104.0	COG1629@1|root,COG1629@2|Bacteria,4NDXS@976|Bacteroidetes,2FKYX@200643|Bacteroidia,4AK5Y@815|Bacteroidaceae	976|Bacteroidetes	P	TonB-linked outer membrane protein, SusC RagA family	-	-	-	-	-	-	-	-	-	-	-	-	CarbopepD_reg_2,Plug,STN,TonB_dep_Rec
Bc_00015	411901.BACCAC_00016	0.0	1269.0	COG1395@1|root,COG1395@2|Bacteria,4NHQT@976|Bacteroidetes,2FM5M@200643|Bacteroidia,4AM5Q@815|Bacteroidaceae	976|Bacteroidetes	K	SusD family	-	-	-	ko:K21572	-	-	-	-	ko00000,ko02000	8.A.46.1,8.A.46.3	-	-	SusD-like_3,SusD_RagB
Bc_00016	411901.BACCAC_00017	1.04e-313	852.0	COG4289@1|root,COG4289@2|Bacteria,4NEU3@976|Bacteroidetes,2G2NU@200643|Bacteroidia,4AKRX@815|Bacteroidaceae	976|Bacteroidetes	O	protein conserved in bacteria	-	-	-	-	-	-	-	-	-	-	-	-	DUF2264,Glyco_hydro_16
Bc_00017	411901.BACCAC_00018	7.55e-242	663.0	COG1409@1|root,COG1409@2|Bacteria,4NEQ8@976|Bacteroidetes,2FQA7@200643|Bacteroidia,4AVUH@815|Bacteroidaceae	976|Bacteroidetes	S	Calcineurin-like phosphoesterase	-	-	-	-	-	-	-	-	-	-	-	-	Metallophos
Bc_00018	411901.BACCAC_00019	0.0	993.0	COG3119@1|root,COG3119@2|Bacteria,4NFGI@976|Bacteroidetes,2FMUC@200643|Bacteroidia,4AMG4@815|Bacteroidaceae	976|Bacteroidetes	P	Protein of unknown function (DUF229)	-	-	-	-	-	-	-	-	-	-	-	-	Sulfatase
Bc_00019	411901.BACCAC_00020	4.02e-306	832.0	COG4225@1|root,COG4225@2|Bacteria,4NDYS@976|Bacteroidetes,2FM61@200643|Bacteroidia,4AV23@815|Bacteroidaceae	976|Bacteroidetes	G	Glycosyl Hydrolase Family 88	-	-	-	-	-	-	-	-	-	-	-	-	Glyco_hydro_88
Bc_00020	411901.BACCAC_00021	0.0	3226.0	COG3940@1|root,COG3940@2|Bacteria,4PKWP@976|Bacteroidetes,2G06I@200643|Bacteroidia,4AV22@815|Bacteroidaceae	976|Bacteroidetes	G	Belongs to the glycosyl hydrolase 43 family	-	-	-	-	-	-	-	-	-	-	-	-	Glyco_hydro_106,Glyco_hydro_2_N,Glyco_hydro_43,Laminin_G_3
Bc_00021	411901.BACCAC_00022	0.0	1347.0	COG3533@1|root,COG3533@2|Bacteria,4NF8W@976|Bacteroidetes,2FN3P@200643|Bacteroidia,4AMTA@815|Bacteroidaceae	976|Bacteroidetes	D	protein conserved in bacteria	-	-	-	ko:K09955	-	-	-	-	ko00000	-	-	-	DUF4986,Glyco_hydro_127
Bc_00022	411901.BACCAC_00023	0.0	1407.0	COG1331@1|root,COG1331@2|Bacteria,4NHQ9@976|Bacteroidetes,2FNW3@200643|Bacteroidia,4AM5M@815|Bacteroidaceae	976|Bacteroidetes	O	COG NOG25094 non supervised orthologous group	-	-	-	-	-	-	-	-	-	-	-	-	-
