dbCAN subfam	Subfam Composition	Subfam EC	Substrate	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH172_e4	GH172:90|GH0:2	-	-	260	Csc_00118	448	2.1e-140	1	259	104	362	0.992307692308
GH18_e166	GH18:91|CBM50:81	-	-	237	Csc_00681	381	1.1e-107	3	237	128	361	0.987341772152
GH13_e138	GH13_11:12|CBM48:7	-	sucrose	187	Csc_00714	563	5.9e-58	67	187	287	407	0.641711229947
GH73_e180	GH73:101|CBM50:20	-	-	135	Csc_00978	497	3.4e-38	2	135	214	353	0.985185185185
CBM48_e2	CBM48:14087|GH13_9:14033|GH77:8|GH13:5|GT5:2|GH13_3:1|GH0:1	2.4.1.18:57	glycogen	100	Csc_01116	595	3.7e-16	5	91	14	107	0.86
GH13_e200	GH13_9:2874|CBM48:2782|GH77:10|GH13:7|GH13_3:5|GH0:1|GT5:1|GH13_1:1	2.4.1.18:14	sucrose, alpha-glucan	301	Csc_01116	595	2.6e-123	1	300	165	453	0.993355481728
CE9_e86	CE9:17	-	-	372	Csc_01335	376	1.5e-198	1	372	5	373	0.997311827957
GH77_e4	GH77:151	-	-	464	Csc_01457	506	5.4e-216	1	463	9	464	0.995689655172
GH109_e7	GH109:31	-	-	390	Csc_01507	436	3.7e-19	2	146	5	154	0.369230769231
GH129_e0	GH129:116	3.2.1.49:1	host glycan	621	Csc_01508	629	0	2	620	6	628	0.995169082126
CBM32_e57	CBM32:8|GH136:6|CBM16:1	-	host glycan	121	Csc_01537	1022	4.3e-38	2	121	179	297	0.98347107438
CBM32_e57	CBM32:8|GH136:6|CBM16:1	-	host glycan	121	Csc_01537	1022	3.8e-26	1	111	313	431	0.909090909091
CBM32_e28	CBM32:62|GH2:59	-	host glycan	109	Csc_01537	1022	1.9e-17	3	105	476	573	0.935779816514
CBM32_e57	CBM32:8|GH136:6|CBM16:1	-	host glycan	121	Csc_01537	1022	6.3e-16	1	121	888	1019	0.99173553719
GH29_e81	GH29:191|CBM47:2	3.2.1.51:3	host glycan	334	Csc_01901	441	7.6e-166	2	334	8	340	0.994011976048
GH65_e14	GH65:37	2.4.1.279:2	alpha-glucan	397	Csc_01907	758	2.4e-201	1	396	289	683	0.994962216625
GH2_e104	GH2:483	3.2.1.23:6|3.2.1.31:2	beta-galactan, beta-glucuronan	863	Csc_02163	944	5.6e-262	11	861	28	831	0.98493626883
GH73_e240	GH73:21	-	-	130	Csc_02207	1159	6.7e-62	1	130	1025	1156	0.992307692308
GT4_e934	GT4:24|GT2:15	-	-	142	Csc_02222	725	6.4e-55	1	142	223	365	0.992957746479
GT4_e2354	GT4:14	-	-	133	Csc_02222	725	7.7e-31	41	133	610	698	0.691729323308
GT2	GT2:26	-	-	157	Csc_02224	230	2.1e-73	1	157	6	162	0.993630573248
GT28_e30	GT28:2065	-	-	150	Csc_02436	355	5e-65	1	148	189	336	0.98
CBM48_e2	CBM48:14087|GH13_9:14033|GH77:8|GH13:5|GT5:2|GH13_3:1|GH0:1	2.4.1.18:57	glycogen	100	Csc_02458	636	1.7e-22	5	91	27	126	0.86
GH13_e200	GH13_9:2874|CBM48:2782|GH77:10|GH13:7|GH13_3:5|GH0:1|GT5:1|GH13_1:1	2.4.1.18:14	sucrose, alpha-glucan	301	Csc_02458	636	2.2e-156	1	300	187	486	0.993355481728
GH77_e26	GH77:918|CBM34:33|GH13_39:33|GT35:1	2.4.1.25:21	starch	486	Csc_02821	502	3.3e-210	1	484	13	500	0.993827160494
CE4_e53	CE4:51	-	-	122	Csc_03456	256	8.3e-60	1	120	51	170	0.975409836066
GT2	GT2:340	-	-	162	Csc_03589	316	5.8e-75	1	162	6	167	0.993827160494
GT2	GT2:29	-	-	168	Csc_00147	306	6.2e-75	1	168	9	175	0.994047619048
GT2	GT2:147	-	-	133	Csc_00326	338	1e-57	2	133	7	138	0.984962406015
GT28_e91	GT28:14	2.4.1.241:1	-	152	Csc_00352	368	4.3e-53	1	150	203	349	0.980263157895
GT5_e9	GT5:1373|GH13:1|CBM48:1	2.4.1.21:9	-	471	Csc_00414	478	2.7e-221	1	470	4	476	0.995753715499
GH73_e137	GH73:18|CBM50:1	-	-	150	Csc_00504	500	4.1e-64	1	150	12	160	0.993333333333
CE4_e40	CE4:22	-	-	113	Csc_00663	480	5.9e-47	2	111	283	391	0.964601769912
GT35_e0	GT35:17065|GH77:18|GH13_39:1	2.4.1.1:158	-	712	Csc_00686	754	2.1e-254	1	711	80	754	0.997191011236
CE4_e179	CE4:7	-	-	107	Csc_01089	246	2.4e-59	1	107	64	170	0.990654205607
GH136_e39	GH136:6|CBM32:4	-	-	498	Csc_01539	1425	2.1e-251	1	498	37	555	0.997991967871
CBM32_e57	CBM32:8|GH136:6|CBM16:1	-	host glycan	121	Csc_01539	1425	4.8e-33	4	121	705	822	0.96694214876
CBM32_e57	CBM32:8|GH136:6|CBM16:1	-	host glycan	121	Csc_01539	1425	2.6e-43	1	121	910	1037	0.99173553719
CBM32_e57	CBM32:8|GH136:6|CBM16:1	-	host glycan	121	Csc_01539	1425	1.6e-42	1	121	1133	1263	0.99173553719
GH23_e928	GH23:90	-	-	132	Csc_01552	372	2.2e-27	63	131	154	222	0.515151515152
GH109_e7	GH109:31	-	-	390	Csc_01743	322	1.3e-21	2	149	2	149	0.376923076923
CBM34_e11	CBM34:126|GH13_39:69|CBM20:58|GH13:56|CBM48:9	3.2.1.1:13|3.2.1.41:12	starch	100	Csc_01829	680	7.6e-32	3	100	20	115	0.97
GH13_e98	GH13:47|CBM34:38|GH13_39:3|GH13_20:1	-	sucrose	380	Csc_01829	680	1.1e-212	1	380	172	554	0.997368421053
CBM50_e748	CBM50:11	-	chitin, peptidoglycan	46	Csc_01843	357	4.6e-28	1	46	312	357	0.978260869565
GH42_e20	GH42:2137	3.2.1.23:22	arabinogalactan protein	373	Csc_02161	675	4e-187	1	373	15	385	0.997319034853
GT2	GT2:26	-	-	239	Csc_02212	348	4.2e-45	1	206	8	216	0.857740585774
GT2	GT2:53|GT4:2	-	-	208	Csc_02221	556	1.2e-54	1	198	67	264	0.947115384615
GT2	GT2:246|GT4:94|GT0:8|GT92:1	-	-	303	Csc_02221	556	3.8e-18	75	259	357	546	0.607260726073
GT35_e0	GT35:17065|GH77:18|GH13_39:1	2.4.1.1:158	-	712	Csc_02400	820	0	1	711	96	814	0.997191011236
GH18_e221	GH18:43	-	-	287	Csc_02415	678	4.4e-135	1	286	360	666	0.993031358885
GT2	GT2:12	-	-	142	Csc_02581	445	1.1e-66	1	142	224	365	0.992957746479
CBM50_e466	CBM50:10	-	chitin, peptidoglycan	42	Csc_02819	519	2.7e-26	1	42	471	512	0.97619047619
GH112_e0	GH112:456	2.4.1.211:13	human milk polysaccharide	713	Csc_02882	721	0	1	713	7	719	0.998597475456
GH25_e146	GH25:11	-	-	184	Csc_00021	290	1.9e-97	1	184	93	276	0.994565217391
CE4_e362	CE4:61	-	-	127	Csc_00141	270	4.4e-65	2	127	75	200	0.984251968504
GT2	GT2:27	-	-	171	Csc_00152	326	7.4e-82	1	171	5	175	0.994152046784
GT4_e775	GT4:72|GT2:54	-	-	150	Csc_00159	897	5.8e-41	3	149	350	501	0.973333333333
CE4_e156	CE4:6	-	-	120	Csc_00351	228	1.2e-64	2	120	37	155	0.983333333333
GT4_e763	GT4:25	-	-	119	Csc_01073	401	2.5e-52	2	118	218	334	0.974789915966
CBM48_e3	CBM48:14267|GH13_11:14161|GH13:59|GH77:38|GH13_10:2|GH13_36:1	3.2.1.68:75|2.4.1.25:4|3.2.1.-:1	glycogen	101	Csc_01110	719	4.8e-20	7	97	45	139	0.891089108911
