HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
CBM20.hmm	90	Pd_00003	895	6.9e-22	2	83	2	83	0.9
CBM20.hmm	90	Pd_00003	895	1.7e-16	10	87	140	220	0.855555555556
GH77.hmm	494	Pd_00003	895	9.7e-150	1	489	245	889	0.987854251012
GT4.hmm	160	Pd_00033	364	3.6e-16	5	157	191	338	0.95
CE4.hmm	130	Pd_00038	278	2.6e-26	6	129	67	236	0.946153846154
GT4.hmm	160	Pd_00039	365	2.6e-29	8	152	178	321	0.9
GT26.hmm	171	Pd_00042	232	6.2e-52	5	171	52	217	0.970760233918
GT27.hmm	295	Pd_00046	341	4.5e-20	2	236	6	233	0.793220338983
GH20.hmm	337	Pd_00050	571	3.8e-105	8	336	173	535	0.973293768546
CE20.hmm	249	Pd_00057	473	1.5e-83	3	248	104	363	0.983935742972
GH130.hmm	296	Pd_00060	390	7.7e-91	2	295	50	361	0.989864864865
GH26.hmm	303	Pd_00061	368	9.4e-59	10	297	36	357	0.947194719472
GH36.hmm	688	Pd_00091	732	6.8e-216	2	687	26	714	0.995639534884
GT2.hmm	170	Pd_00182	316	1.7e-34	1	155	4	154	0.905882352941
GH133.hmm	372	Pd_00217	644	1.3e-97	6	372	286	633	0.983870967742
GT4.hmm	160	Pd_00218	422	1.5e-34	8	153	244	386	0.90625
GH57.hmm	383	Pd_00219	430	4.7e-59	2	307	6	320	0.79634464752
GT5.hmm	472	Pd_00221	274	5.3e-47	1	223	5	238	0.470338983051
GH2.hmm	752	Pd_00239	1112	3.7e-209	18	751	61	964	0.974734042553
CE9.hmm	373	Pd_00245	401	1.4e-112	1	373	18	391	0.997319034853
CE9.hmm	373	Pd_00246	388	8.1e-101	2	373	6	378	0.994638069705
GH38.hmm	269	Pd_00253	856	6.2e-26	34	174	47	195	0.520446096654
GT2.hmm	170	Pd_00317	301	1.5e-20	1	157	4	161	0.917647058824
GH125.hmm	402	Pd_00378	490	8.8e-185	1	402	78	477	0.997512437811
GH3.hmm	216	Pd_00386	770	1.6e-66	3	215	107	327	0.981481481481
GT4.hmm	160	Pd_00454	382	5.5e-30	12	152	204	346	0.875
GH36.hmm	688	Pd_00465	735	9.1e-219	4	687	27	709	0.99273255814
GH2.hmm	752	Pd_00494	604	1.5e-100	24	403	50	489	0.503989361702
GT51.hmm	177	Pd_00547	266	7.7e-52	10	176	57	222	0.937853107345
GH97.hmm	631	Pd_00554	664	6.4e-210	6	630	15	661	0.988906497623
CE4.hmm	130	Pd_00582	245	7.1e-19	6	123	68	189	0.9
GH130.hmm	296	Pd_00653	332	7.5e-92	1	296	27	327	0.996621621622
GH20.hmm	337	Pd_00684	725	2.3e-118	8	337	122	472	0.976261127596
GH92.hmm	491	Pd_00685	747	2.7e-175	2	490	256	745	0.993890020367
GH13_14.hmm	289	Pd_00690	543	6.3e-120	2	289	76	401	0.993079584775
GH23.hmm	135	Pd_00839	327	3e-21	2	126	97	234	0.918518518519
GT83.hmm	540	Pd_00956	588	8.4e-66	12	433	17	477	0.77962962963
GH13_31.hmm	349	Pd_00967	588	1.2e-143	1	348	43	390	0.994269340974
GH13_5.hmm	342	Pd_00968	482	3.1e-150	1	342	30	370	0.997076023392
GT51.hmm	177	Pd_00969	848	1.6e-47	18	176	124	282	0.892655367232
CE19.hmm	332	Pd_01020	357	5.1e-16	44	192	52	191	0.44578313253
GH2.hmm	752	Pd_01023	1036	7.4e-222	14	748	46	906	0.976063829787
GH23.hmm	135	Pd_01071	461	1.3e-25	13	126	302	459	0.837037037037
GT51.hmm	177	Pd_01098	652	1.5e-42	10	157	434	583	0.830508474576
GH84.hmm	295	Pd_01186	837	4.6e-114	1	294	151	441	0.993220338983
GH109.hmm	399	Pd_01199	466	6e-171	4	398	48	459	0.987468671679
GH3.hmm	216	Pd_01251	866	1.4e-68	3	215	59	306	0.981481481481
GH20.hmm	337	Pd_01317	783	9.7e-119	8	336	163	510	0.973293768546
GH51.hmm	630	Pd_01319	829	5.6e-91	110	627	237	826	0.820634920635
GT2.hmm	230	Pd_01325	408	1.5e-32	3	229	61	283	0.982608695652
GT4.hmm	160	Pd_01326	359	1.2e-29	8	157	176	325	0.93125
