HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH43_26.hmm	294	Dl_00038	488	1.4e-97	2	294	144	466	0.993197278912
GH127.hmm	524	Dl_00040	649	1.5e-215	1	524	14	559	0.998091603053
GH51.hmm	630	Dl_00044	504	1.6e-140	82	542	3	503	0.730158730159
GT35.hmm	674	Dl_00307	752	4.6e-218	2	673	79	752	0.995548961424
GH109.hmm	399	Dl_00349	337	7.5e-22	6	157	2	146	0.378446115288
GH3.hmm	216	Dl_00389	847	6.8e-69	5	216	543	797	0.976851851852
GT5.hmm	472	Dl_00420	478	9.4e-185	1	471	3	476	0.995762711864
CE4.hmm	130	Dl_00668	485	2.8e-31	5	114	284	394	0.838461538462
GH13_11.hmm	351	Dl_00689	585	3.6e-38	220	351	283	406	0.373219373219
GH32.hmm	293	Dl_00832	478	3e-99	1	293	23	325	0.996587030717
GH2.hmm	752	Dl_00871	586	5.9e-101	11	402	15	481	0.519946808511
CE4.hmm	130	Dl_00907	317	4.7e-26	4	116	108	219	0.861538461538
CBM48.hmm	76	Dl_00923	636	7e-19	2	70	30	115	0.894736842105
GH13_9.hmm	301	Dl_00923	636	4.6e-149	2	301	187	486	0.993355481728
GT28.hmm	157	Dl_00948	355	2.6e-40	2	152	188	339	0.955414012739
GH18.hmm	296	Dl_00968	638	3e-33	5	282	273	627	0.935810810811
GH1.hmm	429	Dl_01019	486	5.5e-165	3	428	9	481	0.990675990676
GH109.hmm	399	Dl_01112	327	3.9e-21	3	165	1	155	0.406015037594
GH13_31.hmm	349	Dl_01413	557	1.2e-134	1	348	28	374	0.994269340974
GH1.hmm	429	Dl_01477	476	1.5e-151	5	428	3	472	0.986013986014
GT4.hmm	160	Dl_01484	570	3.6e-30	6	159	393	543	0.95625
GT4.hmm	160	Dl_01487	368	2.2e-25	9	153	190	329	0.9
GT2.hmm	170	Dl_01488	295	6.5e-21	1	104	5	108	0.605882352941
GT4.hmm	160	Dl_01489	370	2e-25	8	156	195	341	0.925
GT2.hmm	170	Dl_01490	329	8.1e-36	1	126	6	129	0.735294117647
GT2.hmm	170	Dl_01491	323	8.5e-33	1	131	6	133	0.764705882353
GT2.hmm	170	Dl_01492	313	4.6e-35	1	122	7	126	0.711764705882
GT32.hmm	90	Dl_01494	609	1.8e-23	3	89	20	97	0.955555555556
GT2.hmm	170	Dl_01495	360	1.1e-31	2	132	59	187	0.764705882353
GT35.hmm	674	Dl_01521	825	7.5e-281	1	673	95	813	0.99703264095
CE4.hmm	130	Dl_01547	240	2.5e-26	3	110	36	144	0.823076923077
GT28.hmm	157	Dl_01548	363	9.4e-31	2	153	197	342	0.96178343949
CE4.hmm	130	Dl_01567	298	6.3e-36	2	124	99	225	0.938461538462
GT2.hmm	170	Dl_01573	317	1.4e-23	1	170	5	176	0.994117647059
GT2.hmm	170	Dl_01574	605	2.8e-22	1	115	78	193	0.670588235294
GT2.hmm	170	Dl_01574	605	2.3e-24	1	170	335	513	0.994117647059
GT2.hmm	170	Dl_01582	410	5.5e-36	1	161	6	169	0.941176470588
GT2.hmm	170	Dl_01585	325	6.1e-25	1	169	4	183	0.988235294118
GT2.hmm	170	Dl_01591	230	8.3e-26	2	164	5	160	0.952941176471
GT2.hmm	170	Dl_01598	349	1.3e-35	1	145	4	161	0.847058823529
GT2.hmm	170	Dl_01600	352	3.1e-37	1	165	5	180	0.964705882353
GH78.hmm	504	Dl_01605	388	9.4e-42	309	502	32	232	0.382936507937
CBM67.hmm	176	Dl_01607	377	1.5e-19	41	172	29	165	0.744318181818
GH73.hmm	128	Dl_01611	845	5.6e-20	3	126	311	426	0.9609375
GH2.hmm	752	Dl_01612	1114	6e-92	8	513	95	783	0.671542553191
GH25.hmm	177	Dl_01613	765	5.7e-44	1	177	107	282	0.994350282486
GH2.hmm	752	Dl_01674	1012	1.8e-213	18	750	33	895	0.973404255319
GT51.hmm	177	Dl_01703	879	7.5e-64	5	176	86	266	0.966101694915
GH3.hmm	216	Dl_01734	849	8.9e-66	6	216	551	811	0.972222222222
CE4.hmm	130	Dl_01737	243	1.9e-31	7	111	59	165	0.8
GT4.hmm	160	Dl_01763	396	5.6e-26	5	126	209	331	0.75625
CBM34.hmm	120	Dl_01827	689	9.5e-17	12	120	20	115	0.9
GH13_39.hmm	316	Dl_01827	689	4.3e-93	1	316	171	553	0.996835443038
GT4.hmm	160	Dl_01936	364	2.4e-28	6	143	187	321	0.85625
GT2.hmm	170	Dl_01938	313	4.7e-36	1	124	7	128	0.723529411765
GT4.hmm	160	Dl_01948	374	9.3e-29	8	157	197	342	0.93125
GT2.hmm	170	Dl_01951	331	7.7e-37	1	133	14	147	0.776470588235
GT2.hmm	170	Dl_01952	334	8.2e-37	1	138	9	143	0.805882352941
GT2.hmm	170	Dl_01953	341	1.1e-34	1	167	5	169	0.976470588235
GH77.hmm	494	Dl_02065	512	3.2e-176	1	489	10	492	0.987854251012
GH32.hmm	293	Dl_02093	476	8.6e-91	1	293	37	346	0.996587030717
GH77.hmm	494	Dl_02147	495	4.7e-182	1	492	8	493	0.993927125506
GH2.hmm	752	Dl_02299	648	1.9e-138	10	486	23	644	0.632978723404
CE9.hmm	373	Dl_02348	383	2.7e-127	1	373	3	380	0.997319034853
GH13_20.hmm	300	Dl_02353	435	6.6e-78	10	300	38	325	0.966666666667
GH27.hmm	229	Dl_02454	419	2.9e-56	13	228	163	399	0.938864628821
GH32.hmm	293	Dl_02471	493	3.3e-102	1	286	34	329	0.972696245734
GH172.hmm	236	Dl_02472	447	9.8e-84	1	236	102	362	0.995762711864
GH32.hmm	293	Dl_02566	480	5.8e-83	1	293	30	340	0.996587030717
CBM48.hmm	76	Dl_02656	594	7e-16	3	67	18	93	0.842105263158
GH13_9.hmm	301	Dl_02656	594	2.3e-120	1	301	164	453	0.996677740864
GT26.hmm	171	Dl_02686	224	8.4e-16	34	134	87	187	0.584795321637
