## Mon Sep  5 19:28:51 2022
## emapper-2.1.9
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_pkp9vtcm --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_pkp9vtcm --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_pkp9vtcm/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype proteins --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
Pd_00001	435591.BDI_0001	0.0	921.0	COG0593@1|root,COG0593@2|Bacteria,4NE6Q@976|Bacteroidetes,2FNPD@200643|Bacteroidia,22X3Z@171551|Porphyromonadaceae	976|Bacteroidetes	L	it binds specifically double-stranded DNA at a 9 bp consensus (dnaA box) 5'-TTATC CA A CA A-3'. DnaA binds to ATP and to acidic phospholipids	dnaA	GO:0003674,GO:0003676,GO:0003677,GO:0003688,GO:0003690,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0006139,GO:0006259,GO:0006260,GO:0006261,GO:0006270,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0016020,GO:0034641,GO:0034645,GO:0043170,GO:0043565,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044424,GO:0044464,GO:0046483,GO:0071704,GO:0071944,GO:0090304,GO:0097159,GO:1901360,GO:1901363,GO:1901576,GO:1990837	-	ko:K02313	ko02020,ko04112,map02020,map04112	-	-	-	ko00000,ko00001,ko03032,ko03036	-	-	-	Bac_DnaA,Bac_DnaA_C,DnaA_N
Pd_00002	435591.BDI_0002	0.0	1726.0	COG0209@1|root,COG0209@2|Bacteria,4NEHQ@976|Bacteroidetes,2FN30@200643|Bacteroidia,22W6K@171551|Porphyromonadaceae	976|Bacteroidetes	F	Catalyzes the reduction of ribonucleotides to deoxyribonucleotides. May function to provide a pool of deoxyribonucleotide precursors for DNA repair during oxygen limitation and or for immediate growth after restoration of oxygen	nrd	-	1.17.4.1	ko:K00525	ko00230,ko00240,ko01100,map00230,map00240,map01100	M00053	R02017,R02018,R02019,R02024	RC00613	ko00000,ko00001,ko00002,ko01000,ko03400	-	-	-	Ribonuc_red_lgC,Ribonuc_red_lgN
Pd_00003	435591.BDI_0003	0.0	1876.0	COG1640@1|root,COG1640@2|Bacteria,4NF7Z@976|Bacteroidetes,2FMBZ@200643|Bacteroidia,22WJ2@171551|Porphyromonadaceae	976|Bacteroidetes	G	4-alpha-glucanotransferase	malQ	-	2.4.1.25	ko:K00705	ko00500,ko01100,map00500,map01100	-	R05196	RC00049	ko00000,ko00001,ko01000	-	GH77	-	CBM_20,Glyco_hydro_77
Pd_00004	435591.BDI_0004	2.89e-56	177.0	COG1664@1|root,COG1664@2|Bacteria,4NUZA@976|Bacteroidetes,2FUPU@200643|Bacteroidia,22YMZ@171551|Porphyromonadaceae	976|Bacteroidetes	M	Integral membrane protein CcmA involved in cell shape determination	-	-	-	-	-	-	-	-	-	-	-	-	Bactofilin
Pd_00005	435591.BDI_0005	1.31e-81	241.0	COG1539@1|root,COG1539@2|Bacteria,4NQ53@976|Bacteroidetes,2FSRG@200643|Bacteroidia,22YF6@171551|Porphyromonadaceae	976|Bacteroidetes	H	Catalyzes the conversion of 7,8-dihydroneopterin to 6- hydroxymethyl-7,8-dihydropterin	folB	-	1.13.11.81,4.1.2.25,5.1.99.8	ko:K01633	ko00790,ko01100,map00790,map01100	M00126,M00840	R03504,R11037,R11073	RC00721,RC00943,RC01479,RC03333,RC03334	ko00000,ko00001,ko00002,ko01000	-	-	-	FolB
Pd_00006	435591.BDI_0006	0.0	874.0	COG1142@1|root,COG4624@1|root,COG1142@2|Bacteria,COG4624@2|Bacteria,4NGF4@976|Bacteroidetes,2FPND@200643|Bacteroidia,22WV7@171551|Porphyromonadaceae	976|Bacteroidetes	C	Hydrogenase	-	-	-	-	-	-	-	-	-	-	-	-	Fe_hyd_lg_C,Fer4
Pd_00007	435591.BDI_0007	0.0	862.0	28HW2@1|root,2Z825@2|Bacteria,4NF6G@976|Bacteroidetes,2FMR4@200643|Bacteroidia,22X2Q@171551|Porphyromonadaceae	976|Bacteroidetes	S	Peptide-N-glycosidase F, N terminal	-	-	-	-	-	-	-	-	-	-	-	-	N-glycanase_C,N-glycanase_N
Pd_00008	435591.BDI_0008	4.3e-143	404.0	COG2095@1|root,COG2095@2|Bacteria,4NIHF@976|Bacteroidetes,2FMIJ@200643|Bacteroidia,22XS3@171551|Porphyromonadaceae	976|Bacteroidetes	U	MarC family integral membrane protein	-	-	-	ko:K05595	-	-	-	-	ko00000,ko02000	2.A.95.1	-	-	MarC
Pd_00009	435591.BDI_0009	1.38e-51	165.0	COG3525@1|root,COG3525@2|Bacteria	435591.BDI_0009|-	G	beta-N-acetylhexosaminidase activity	-	-	-	-	-	-	-	-	-	-	-	-	-
Pd_00010	435591.BDI_0010	3.98e-93	272.0	COG3525@1|root,COG3525@2|Bacteria	2|Bacteria	G	beta-N-acetylhexosaminidase activity	-	-	3.2.1.52	ko:K12373	ko00511,ko00513,ko00520,ko00531,ko00603,ko00604,ko01100,ko04142,map00511,map00513,map00520,map00531,map00603,map00604,map01100,map04142	M00079	R00022,R06004,R11316	RC00049	ko00000,ko00001,ko00002,ko01000,ko03110	-	GH20	-	F5_F8_type_C,Glyco_hydro_20,Glyco_hydro_20b,Laminin_G_3
