Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	Signalp	#ofTools
Bo_00018	-	GH28(191-446)	GH28_e57	GH28	N	3
Bo_00026	3.2.1.88	GH27(185-428)	GH27_e28	GH27	Y(1-23)	3
Bo_00028	3.2.1.8	GH10(398-655)	GH10_e5	GH10	N	3
Bo_00029	3.2.1.55|-	GH43_9(1-248)	GH43_e194+CBM91_e0	GH43_9	N	3
Bo_00034	-	GH43_35(28-365)	GH43_e68	GH43_35	Y(1-27)	3
Bo_00035	3.2.1.111|3.2.1.51|-	GH29(38-347)+CBM32(583-699)	GH29_e30+CBM32_e126+CBM32_e126	GH29	Y(1-25)	3
Bo_00052	-	GT3(13-347)	GT3_e2	GT3	N	3
Bo_00053	2.4.1.1	GT35(270-707)	GT35_e7	GT35	N	3
Bo_00087	3.2.1.22	GH27(142-385)	GH27_e3+CBM35_e26	CBM35+GH27	Y(1-22)	3
Bo_00112	-	CE4(21-123)	CE4_e140	CE4	N	3
Bo_00120	3.2.1.-	GH139(1-764)	GH139_e0	GH139	Y(1-24)	3
Bo_00121	-	CE20(107-367)	CE20_e10	CE20	Y(1-26)	3
Bo_00122	3.2.1.40	GH106(360-820)	GH106_e44	GH106	Y(1-26)	3
Bo_00138	3.2.1.-|3.2.1.23	GH2(40-830)	GH2_e106	GH2	Y(1-20)	3
Bo_00139	3.2.1.23	GH2(50-983)	GH2_e1	GH2	Y(1-19)	3
Bo_00141	3.2.1.31|3.2.1.185	GH137(20-368)+GH2(371-799)+CBM57(1067-1228)	GH137_e0+GH2_e99+CBM57_e0	CBM57+GH137+GH2	Y(1-20)	3
Bo_00143	-	GT10(148-269)	GT10_e15	GT0	N	3
Bo_00183	-	GH43_29(34-324)	GH43_e90	GH43_29	Y(1-24)	3
Bo_00185	3.2.1.23	GH2(21-558)	GH2_e1	GH2	N	3
Bo_00186	3.2.1.23	GH2(18-329)	GH2_e1	GH2	N	3
Bo_00195	-	GH109(26-170)	GH109_e7	N	N	2
Bo_00203	3.2.1.8	GH10(334-552)	GH10_e5	GH10	Y(1-20)	3
Bo_00205	3.2.1.131	GH115(36-827)	GH115_e0	GH115	Y(1-23)	3
Bo_00206	3.2.1.23	GH2(21-565)	GH2_e127	GH2	Y(1-22)	3
Bo_00210	3.2.1.22|3.2.1.88	GH97(9-657)	GH97_e18	GH97	Y(1-19)	3
Bo_00211	3.2.1.37|3.2.1.55|3.2.1.8	GH43_29(38-308)+CBM6(332-458)	GH43_e59+CBM6_e0	CBM6+GH43_29	Y(1-29)	3
Bo_00212	3.1.1.72|3.2.1.-|3.1.1.73|3.2.1.63	CE6(88-197)+GH95(286-1020)	CE6_e2+GH95_e1	CE6+GH95	Y(1-21)	3
Bo_00213	3.2.1.55|-	GH43_10(29-296)+CBM91(325-525)	GH43_e82+CBM91_e4	GH43_10	Y(1-22)	3
Bo_00214	3.2.1.37|3.2.1.55|3.2.1.21|3.2.1.6|3.2.1.73	GH3(53-292)	GH3_e0	GH3	Y(1-23)	3
Bo_00215	3.2.1.139|3.2.1.131|3.2.1.-	GH67(77-669)	GH67_e0	GH67	Y(1-23)	3
Bo_00220	-	GH138(2-873)	GH138_e1	GH138	N	3
Bo_00228	-	GH165(19-512)	GH165_e0	GH165	Y(1-22)	3
Bo_00230	-	GH165(38-569)	GH165_e0	GH165	Y(1-19)	3
Bo_00231	-	GH165(22-559)	GH165_e0	GH165	Y(1-23)	3
Bo_00237	3.2.1.40	GH78(191-685)	GH78_e1	GH78	Y(1-21)	3
Bo_00238	3.2.1.51	GH141(21-579)	GH141_e22	GH141	Y(1-20)	3
Bo_00239	3.2.1.-	GH127(44-607)	GH127_e5	GH127	Y(1-21)	3
Bo_00298	-	GH20(154-478)	GH20_e106	GH20	N	3
Bo_00336	-	GT2(8-174)	GT2	GT2	N	3
Bo_00357	-	GH3(108-328)	GH3_e6	GH3	Y(1-22)	3
Bo_00402	3.2.1.37|3.2.1.55	GH43_1(4-313)	GH43_e53	GH43_1	N	3
Bo_00403	3.2.1.8|3.2.1.55	GH10(35-367)	GH10_e83	GH10	Y(1-22)	3
Bo_00405	3.2.1.22	GH97(556-1177)	GH97_e16	GH97	Y(1-25)	3
Bo_00407	3.2.1.131	GH115(39-986)	GH115_e0	GH115	Y(1-21)	3
