HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH172.hmm	236	Bu_00042	393	5.3e-85	2	236	124	372	0.991525423729
CBM38.hmm	129	Bu_00048	992	2.7e-29	17	127	309	418	0.852713178295
GH116.hmm	363	Bu_00048	992	1e-63	1	362	553	925	0.994490358127
GH172.hmm	236	Bu_00089	391	5.9e-87	1	236	120	369	0.995762711864
GH30_3.hmm	417	Bu_00118	503	6.8e-151	4	417	74	501	0.990407673861
GH125.hmm	402	Bu_00124	470	1.4e-176	2	401	59	457	0.992537313433
GH172.hmm	236	Bu_00125	397	1e-80	3	236	98	350	0.987288135593
GH172.hmm	236	Bu_00129	647	1.7e-52	1	235	262	498	0.991525423729
GH76.hmm	358	Bu_00131	390	1.2e-80	9	336	33	373	0.913407821229
GH38.hmm	269	Bu_00133	1141	5e-41	36	231	3	200	0.724907063197
GH172.hmm	236	Bu_00134	693	4.3e-62	1	235	290	524	0.991525423729
GH2.hmm	752	Bu_00147	1378	5.5e-237	22	749	23	888	0.966755319149
CBM32.hmm	124	Bu_00147	1378	6.9e-24	8	122	1110	1234	0.91935483871
CBM32.hmm	124	Bu_00147	1378	5.2e-22	14	122	1252	1372	0.870967741935
GH97.hmm	631	Bu_00149	649	8.1e-195	3	630	11	648	0.993660855784
GH38.hmm	269	Bu_00150	1209	2.7e-50	1	220	38	257	0.814126394052
CBM32.hmm	124	Bu_00150	1209	4.1e-16	10	122	1085	1205	0.903225806452
GH127.hmm	524	Bu_00151	688	1e-33	300	524	332	563	0.427480916031
GH76.hmm	358	Bu_00152	409	2.6e-68	23	329	66	390	0.854748603352
GH125.hmm	402	Bu_00153	487	1.5e-186	1	402	74	473	0.997512437811
GH76.hmm	358	Bu_00157	377	6e-90	25	332	50	352	0.857541899441
GH92.hmm	491	Bu_00158	716	5.6e-133	4	486	229	714	0.9816700611
CBM67.hmm	176	Bu_00159	875	3.6e-42	3	166	141	315	0.926136363636
GH78.hmm	504	Bu_00159	875	1.4e-152	2	504	344	853	0.996031746032
GH3.hmm	216	Bu_00160	725	1.5e-51	4	209	59	305	0.949074074074
GH31.hmm	427	Bu_00161	778	1e-121	2	427	314	731	0.995316159251
GH171.hmm	355	Bu_00203	420	5.3e-114	1	355	75	418	0.997183098592
GT2.hmm	170	Bu_00207	486	1.4e-20	1	124	246	371	0.723529411765
GH171.hmm	355	Bu_00211	413	1.8e-127	1	355	45	412	0.997183098592
