Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
Csc_00021	QRO38911.1|GH25	100.0	290	0	0	1	290	1	290	1.1e-168	596.3
Csc_00048	QYO62262.1|GH13	63.5	345	124	2	1	344	1	344	2.3e-116	423.3
Csc_00071	AMJ20543.1|GH13_11	57.0	402	165	3	16	410	9	409	1.1e-121	440.7
Csc_00118	QBF76071.1|GH172	100.0	448	0	0	1	448	1	448	1.2e-272	942.2
Csc_00141	QBF76177.1|CE4	100.0	270	0	0	1	270	1	270	3.5e-158	561.2
Csc_00147	QRO35954.1|GT2	100.0	306	0	0	1	306	1	306	8.3e-180	633.3
Csc_00152	QBF76188.1|GT2	100.0	326	0	0	1	326	1	326	5.5e-190	667.2
Csc_00159	QRO35965.1|GT4	100.0	897	0	0	1	897	1	897	0.0e+00	1824.7
Csc_00326	QBF73011.1|GT2	100.0	338	0	0	1	338	1	338	3.6e-192	674.5
Csc_00351	BDF16061.1|CE4	100.0	228	0	0	1	228	1	228	2.0e-130	468.8
Csc_00352	QRO38199.1|GT28	100.0	368	0	0	1	368	1	368	3.6e-214	747.7
Csc_00384	AGL64345.2|GT2	54.4	577	256	3	327	899	283	856	1.9e-171	607.1
Csc_00401	AHC21644.2|GH1	55.2	524	226	6	1	523	1	516	1.6e-162	576.6
Csc_00414	QBF75689.1|GT5	100.0	478	0	0	1	478	1	478	3.4e-289	997.3
Csc_00504	QBF75599.1|GH73	100.0	500	0	0	1	500	1	500	8.0e-297	1022.7
Csc_00573	AGL63871.2|GT2	46.8	487	242	6	305	790	521	991	6.6e-112	409.1
Csc_00663	QRO38563.1|CE4	100.0	480	0	0	1	480	1	480	2.5e-239	831.6
Csc_00681	QRO38545.1|CBM50|GH18	100.0	381	0	0	1	381	1	381	1.3e-222	775.8
Csc_00686	QRO38542.1|GT35	100.0	754	0	0	1	754	1	754	0.0e+00	1512.3
Csc_00689	BAW92216.1|GH49	49.3	442	217	5	16	455	361	797	1.2e-121	440.7
Csc_00714	QRO38518.1|CBM48|GH13_11	100.0	563	0	0	1	563	1	563	0.0e+00	1188.3
Csc_00779	CAD7226128.1|GH38	35.4	715	400	13	12	689	1345	2034	8.0e-109	398.7
Csc_00797	CCO12868.2|GH1	60.2	1197	434	9	15	1179	7	1192	0.0e+00	1436.8
Csc_00908	QWU85921.1|GH130	53.9	460	204	1	5	456	1375	1834	9.6e-140	500.7
Csc_00978	QBF73601.1|GH73	100.0	497	0	0	1	497	1	497	2.2e-254	881.7
Csc_00981	QWU85921.1|GH130	50.4	462	222	1	3	457	1373	1834	3.2e-135	485.7
Csc_01058	ALR08738.2|GT83	46.9	589	304	6	10	593	2	586	7.1e-151	538.1
Csc_01073	QRO35766.1|GT4	100.0	401	0	0	1	401	1	401	3.8e-233	810.8
Csc_01089	QBF75965.1|CE4	100.0	246	0	0	1	246	1	246	1.7e-138	495.7
Csc_01110	QBF75944.1|CBM48|GH13_11	100.0	719	0	0	1	719	1	719	0.0e+00	1530.0
