Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	Signalp	#ofTools
Dl_00038	3.2.1.-	GH43_26(144-466)	GH43_e105	GH43_26	N	3
Dl_00040	3.2.1.185	GH127(14-559)	GH127_e0	GH127	N	3
Dl_00044	3.2.1.55	GH51(3-503)	GH51_e0	GH51	N	3
Dl_00307	2.4.1.1	GT35(79-752)	GT35_e0	GT35	N	3
Dl_00349	-	GH109(2-146)	GH109_e7	N	N	2
Dl_00389	3.2.1.21|3.2.1.37|3.2.1.-|3.2.1.74	GH3(543-797)	GH3_e165	GH3	N	3
Dl_00420	2.4.1.21	GT5(3-476)	GT5_e9	GT5	N	3
Dl_00668	-	CE4(284-394)	CE4_e28	CE4	N	3
Dl_00689	-	GH13_11(283-406)	GH13_e138	CBM48+GH13_11	N	3
Dl_00832	3.2.1.26	GH32(23-325)	GH32_e71	GH32	N	3
Dl_00871	-	GH2(15-481)	GH2_e128	GH2	N	3
Dl_00907	-	CE4(108-219)	CE4_e347	CE4	N	3
Dl_00923	2.4.1.18	CBM48(30-115)+GH13_9(187-486)	CBM48_e2+GH13_e200	CBM48+GH13_9	N	3
Dl_00948	-	GT28(188-339)	GT28_e30	GT28	N	3
Dl_00968	-	GH18(273-627)	GH18_e221	GH18	N	3
Dl_01019	3.2.1.86|3.2.1.38|3.2.1.85|3.2.1.21|3.2.1.-	GH1(9-481)	GH1_e115	GH1	N	3
Dl_01112	-	GH109(1-155)	GH109_e7	N	N	2
Dl_01413	5.4.99.11|3.2.1.20|3.2.1.10|3.2.1.-|3.2.1.70	GH13_31(28-374)	GH13_e122	GH13_31	N	3
Dl_01477	3.2.1.86|3.2.1.23|3.2.1.21	GH1(3-472)	GH1_e0	GH1	N	3
Dl_01484	-	GT4(393-543)	GT4_e2763	GT4	N	3
Dl_01487	-	GT4(190-329)	GT4_e150	GT4	N	3
Dl_01488	-	GT2(5-108)	GT2	GT2	N	3
Dl_01489	-	GT4(195-341)	GT4_e1204	GT4	N	3
Dl_01490	-	GT2(6-129)	GT2	N	N	2
Dl_01491	-	GT2(6-133)	GT2	N	N	2
Dl_01492	-	GT2(7-126)	GT2	N	N	2
Dl_01494	2.4.1.-	GT32(20-97)	GT32_e27	N	N	2
Dl_01495	-	GT2(59-187)	GT2	N	N	2
Dl_01521	2.4.1.1	GT35(95-813)	GT35_e0	GT35	N	3
Dl_01547	-	CE4(36-144)	CE4_e156	CE4	N	3
