Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	Signalp	#ofTools
Pd_00003	2.4.1.25	CBM20(2-83)+CBM20(140-220)+GH77(245-889)	CBM20_e2+CBM20_e2+GH77_e22	CBM20+GH77	N	3
Pd_00033	-	GT4(191-338)	GT4_e450	GT4	N	3
Pd_00038	-	CE4(67-236)	CE4_e247	N	N	2
Pd_00039	-	GT4(178-321)	GT4_e4050	GT4	N	3
Pd_00042	-	GT26(52-217)	GT26_e4	GT26	N	3
Pd_00046	-	GT27(6-233)	GT2	GT2	N	3
Pd_00050	-	GH20(173-535)	GH20_e110	GH20	Y(1-23)	3
Pd_00057	-	CE20(104-363)	CE20_e40	CE20	N	3
Pd_00060	2.4.1.281	GH130(50-361)	GH130_e6	GH130	N	3
Pd_00061	3.2.1.100|3.2.1.-	GH26(36-357)	GH26_e61	GH26	Y(1-24)	3
Pd_00091	3.2.1.22	GH36(26-714)	GH36_e24	GH36	Y(1-21)	3
Pd_00182	-	GT2(4-154)	GT2	GT2	N	3
Pd_00217	-	GH133(286-633)	GH133_e1	GH133	N	3
Pd_00218	-	GT4(244-386)	GT4_e602	GT4	N	3
Pd_00219	-	GH57(6-320)	GH57_e10	GH57	N	3
Pd_00221	-	GT5(5-238)	GT5_e28	GT5	N	3
Pd_00239	-	GH2(61-964)	GH2_e30	GH2	Y(1-24)	3
Pd_00245	-	CE9(18-391)	CE9_e7	CE9	N	3
Pd_00246	-	CE9(6-378)	CE9_e7	CE9	N	3
Pd_00253	-	GH38(47-195)	GH38_e23	GH38	Y(1-22)	3
Pd_00317	-	GT2(4-161)	GT2	GT2	N	3
Pd_00378	3.2.1.-	GH125(78-477)	GH125_e1	GH125	Y(1-27)	3
Pd_00386	3.2.1.21|3.2.1.-	GH3(107-327)	GH3_e1	GH3	Y(1-24)	3
Pd_00454	-	GT4(204-346)	GT4_e3175	GT4	N	3
Pd_00465	3.2.1.22	GH36(27-709)	GH36_e36	GH36	Y(1-23)	3
Pd_00494	-	GH2(50-489)	GH2_e14	GH2	Y(1-20)	3
Pd_00547	-	GT51(57-222)	GT51_e158	GT51	N	3
Pd_00554	3.2.1.22	GH97(15-661)	GH97_e1	GH97	Y(1-21)	3
Pd_00582	-	CE4(68-189)	CE4_e274	N	N	2
Pd_00653	2.4.1.319|2.4.1.320	GH130(27-327)	GH130_e13	GH130	N	3
Pd_00684	3.2.1.52|3.2.1.-|-	GH20(122-472)	GH20_e12+CBM32_e198	GH20	Y(1-36)	3
Pd_00685	3.2.1.24	GH92(256-745)	GH92_e13	GH92	Y(1-19)	3
Pd_00690	3.2.1.-|3.2.1.68|3.2.1.41	GH13_14(76-401)	GH13_e95	GH13_14	N	3
Pd_00839	-	GH23(97-234)	GH23_e63	GH23	N	3
Pd_00956	-	GT83(17-477)	GT83_e8	N	N	2
Pd_00967	5.4.99.11|3.2.1.20|3.2.1.10|3.2.1.-|3.2.1.70	GH13_31(43-390)	GH13_e122	GH13_31	N	3
Pd_00968	3.2.1.1	GH13_5(30-370)	GH13_e25	GH13_5	N	3
Pd_00969	-	GT51(124-282)	GT51_e13	GT51	N	3
Pd_01020	N	CE19(52-191)	N	N	Y(1-25)	1
Pd_01023	-	GH2(46-906)	GH2_e30	GH2	Y(1-20)	3
Pd_01071	-	GH23(302-459)	GH23_e44	GH23	N	3
Pd_01098	-	GT51(434-583)	GT51_e178	GT51	N	3
Pd_01186	3.2.1.169	GH84(151-441)	GH84_e9	GH84	Y(1-23)	3
Pd_01199	3.2.1.49	GH109(48-459)	GH109_e1	GH109	Y(1-31)	3
Pd_01251	3.2.1.37|3.2.1.55|3.2.1.21|3.2.1.6|3.2.1.73	GH3(59-306)	GH3_e0	GH3	N	3
Pd_01317	3.2.1.52|3.2.1.-	GH20(163-510)	GH20_e12	GH20	Y(1-30)	3
Pd_01319	-	GH51(237-826)	GH51_e27	GH51	N	3
Pd_01325	-	GT2(61-283)	GT2	GT2	N	3
Pd_01326	-	GT4(176-325)	GT4_e2150	GT4	N	3
Pd_01331	-	GT32(20-95)	GT32_e95	GT32	N	3
Pd_01332	-	GT2(42-173)	GT2	GT2	N	3
Pd_01340	-	GH73(12-143)	GH73_e36	N	N	2
Pd_01342	-	GT2(45-262)	GT2	GT2	N	3
Pd_01343	-	GT2(6-173)	GT2	GT2	N	3
Pd_01344	-	GT2(55-265)	GT2	GT2	N	3
Pd_01349	-	GT2(6-172)	GT2	GT2	N	3
