Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	Signalp	#ofTools
Bc_00012	-	GH2(51-495)	GH2_e14	GH2	Y(1-22)	3
Bc_00013	-	GH105(46-358)	GH105_e29	GH105	Y(1-21)	3
Bc_00016	-	GH154(31-390)	GH154_e17	GH154	Y(1-27)	3
Bc_00019	3.2.1.-	GH88(67-392)	GH88_e11	GH88	Y(1-21)	3
Bc_00020	-	GH43_26(27-326)+GH106(540-1107)	GH43_e80+GH106_e18	GH106+GH43_26	N	3
Bc_00021	-	GH146(51-571)	GH146_e3	GH146	N	3
Bc_00048	3.2.1.-	GH16_3(139-369)	GH16_e59	GH16_3	Y(1-22)	3
Bc_00061	3.2.1.22	GH31(139-525)	GH31_e46	GH31	Y(1-20)	3
Bc_00069	3.2.1.22	GH97(13-640)	GH97_e5	GH97	Y(1-21)	3
Bc_00082	3.2.1.111	GH29(16-371)	GH29_e7	GH29	Y(1-22)	3
Bc_00108	3.2.1.22|3.2.1.-	GH110(27-578)	GH110_e1	GH110	Y(1-22)	3
Bc_00109	3.2.1.63|3.2.1.51	GH95(65-806)	GH95_e0	GH95	Y(1-21)	3
Bc_00165	3.2.1.53|3.2.1.-	GH123(59-597)	GH123_e16	GH123	Y(1-21)	3
Bc_00169	-	GT30(43-205)	GT30_e38	GT30	N	3
Bc_00246	-	PL9_2(54-445)	PL9_e13	PL9_2	Y(1-21)	3
Bc_00247	-	PL9_2(23-413)	PL9_e13	PL9_2	Y(1-25)	3
Bc_00248	-	GH89(64-703)	GH89_e8	GH89	Y(1-24)	3
Bc_00249	-	GH109(50-455)	GH109_e5	GH109	Y(1-24)	3
Bc_00250	3.2.1.23|-	GH35(37-345)	GH35_e43+CBM32_e42	CBM32+GH35	N	3
Bc_00268	3.2.1.22	GH27(142-385)	GH27_e3+CBM35_e26	CBM35+GH27	Y(1-29)	3
Bc_00288	3.2.1.-	GH16_3(35-261)	GH16_e321	GH16_3	Y(1-23)	3
Bc_00323	-	GT51(438-588)	GT51_e93	GT51	N	3
Bc_00335	3.2.1.-	GH3(109-333)	GH3_e57	GH3	Y(1-26)	3
Bc_00354	-	GT3(13-347)	GT3_e2	GT3	N	3
Bc_00355	2.4.1.1	GT35(270-707)	GT35_e7	GT35	N	3
Bc_00439	-	GT4(212-357)	GT4_e1212	GT4	N	3
Bc_00442	-	GT6(2-215)	GT6_e4	GT6	N	3
Bc_00443	2.4.1.69	GT11(2-288)	GT11_e40	GT11	N	3
Bc_00445	-	GT2(5-152)	GT2	GT2	N	3
Bc_00467	2.4.1.319|2.4.1.320	GH130(19-317)	GH130_e13	GH130	N	3
Bc_00468	3.2.1.24	GH92(268-754)	GH92_e13	GH92	N	3
Bc_00563	3.2.1.51	GH29(14-367)	GH29_e70	GH29	Y(1-26)	3
Bc_00645	3.2.1.20	GH13_38(33-400)	GH13_e113	GH13_38	N	3
Bc_00647	2.4.1.18	GH13_8(220-511)	CBM48_e32+GH13_e20	GH13_8	N	3
Bc_00663	-	GT51(57-240)	GT51_e160	GT51	N	3
Bc_00669	-	GT2(8-149)	GT2	GT2	N	3
Bc_00672	-	GT4(167-313)	GT4_e2625	GT4	N	3
Bc_00674	-	GT4(216-364)	GT4_e2909	GT4	N	3
Bc_00675	-	GT2(5-162)	GT2	GT2	N	3
Bc_00682	-	GT2(3-117)	GT2	GT2	N	3
Bc_00792	3.2.1.20	GH97(12-666)	GH97_e10	GH97	Y(1-21)	3
Bc_00793	-	CE9(5-378)	CE9_e7	CE9	N	3
Bc_00794	-	CE9(5-378)	CE9_e7	CE9	N	3
Bc_00877	-	GT4(198-332)	GT4_e774	GT4	N	3
Bc_00878	-	GT4(178-320)	GT4_e3123	GT4	N	3
Bc_00880	-	GT2(6-115)	GT2	GT2	N	3
Bc_00881	-	GT2(6-145)	GT2	GT2	N	3
Bc_00884	-	GT4(222-369)	GT4_e4053	GT0	N	3
Bc_00905	N	CE1(446-688)	N	N	Y(1-25)	1
Bc_00976	-	GT2(9-183)	GT2	GT2	N	3
Bc_00977	-	GT2(46-266)	GT2	GT2	N	3
Bc_00978	-	GT4(187-337)	GT4_e1584	GT4	N	3
Bc_00986	-	GT4(220-368)	GT4_e405	GT4	N	3
Bc_00989	-	GT4(209-355)	GT4_e1235	GT4	N	3
Bc_00990	-	GT2(42-164)	GT2	GT2	N	3
Bc_00992	-	GT2(57-274)	GT2	GT2	N	3
Bc_01004	-	GT51(60-223)	GT51_e158	GT51	N	3
Bc_01053	3.2.1.52|3.2.1.-|-	GH20(150-497)	GH20_e12+CBM32_e198	GH20	Y(1-29)	3
Bc_01054	3.2.1.52|3.2.1.-	GH20(154-509)	GH20_e12	GH20	Y(1-23)	3
Bc_01055	3.2.1.25	GH2(23-739)	GH2_e80	GH2	Y(1-26)	3
Bc_01056	-	CE3(23-213)+CE20(299-580)	CE20_e16	CE20	Y(1-20)	3
Bc_01058	3.2.1.52	GH20(142-413)	GH20_e112	GH20	N	3
Bc_01059	3.2.1.18	GH33(210-546)	GH33_e121	GH33	N	3
Bc_01200	-	GT4(238-385)	GT4_e1535	GT4	N	3
Bc_01201	-	GT2(11-145)	GT2	GT2	N	3
Bc_01208	-	GH105(48-365)+PL33_2(770-918)	GH105_e29+PL33_e4	GH105+PL33_2	Y(1-21)	3
Bc_01209	3.2.1.49	GH31(452-676)	GH31_e75+CBM32_e89	CBM32+GH31	N	3
Bc_01211	-	GH2(23-463)	GH2_e97	GH2	Y(1-25)	3
Bc_01216	-	GH2(20-611)	GH2_e108	GH2	Y(1-22)	3
Bc_01217	3.2.1.51	GH29(21-374)	GH29_e8	GH29	Y(1-22)	3
Bc_01236	-	GH30_6(35-485)	GH30_e38	GH30_6	Y(1-27)	3
Bc_01237	2.4.1.281	GH130(52-363)	GH130_e6	GH130	N	3
Bc_01277	3.2.1.21|3.2.1.37	GH3(134-356)	GH3_e98	GH3	Y(1-20)	3
Bc_01289	-	GH2(14-667)	GH2_e108	GH2	N	3
Bc_01290	-	GH105(51-369)	GH105_e29	GH105	Y(1-22)	3
Bc_01300	-	GH154(31-388)	GH154_e2	GH154	Y(1-21)	3
Bc_01301	3.2.1.-	GH88(73-398)	GH88_e11	GH88	Y(1-25)	3
Bc_01302	-	GH95(110-690)	GH95_e9	GH95	Y(1-26)	3
Bc_01304	-	GH29(18-343)	GH29_e26	GH29	Y(1-21)	3
Bc_01312	-	GH29(31-353)	GH29_e27	GH29	Y(1-23)	3
Bc_01333	3.2.1.22	GH36(26-709)	GH36_e36	GH36	N	3
Bc_01334	-	GH31(181-610)	GH31_e8	GH31	Y(1-25)	3
Bc_01335	-	GH2(41-745)	GH2_e97	GH2	Y(1-21)	3
Bc_01347	3.2.1.63	GH95(256-720)	GH95_e3	GH95	N	3
Bc_01349	3.2.1.49	GH31(449-673)	GH31_e75+CBM32_e89	CBM32+GH31	Y(1-24)	3
Bc_01401	-	CE4(21-123)	CE4_e140	CE4	N	3
Bc_01446	-	GH154(45-400)	GH154_e16	GH154	Y(1-24)	3
Bc_01447	3.2.1.-	GH88(83-423)	GH88_e11	GH88	Y(1-31)	3
Bc_01452	-	PL35(382-552)	PL35_e4	PL35	N	3
Bc_01453	-	GH109(62-473)	GH109_e5	GH109	Y(1-28)	3
Bc_01463	4.2.2.20	PL8_2(617-861)	PL8_e13	PL8_2	Y(1-26)	3
Bc_01472	4.2.2.20	PL29(255-590)	PL29_e9	PL29	Y(1-29)	3
Bc_01480	-	GH2(51-910)	GH2_e30	GH2	Y(1-21)	3
Bc_01489	3.2.1.-	GH88(70-393)	GH88_e11	GH88	Y(1-24)	3
Bc_01491	-	PL8_2(579-811)	PL8_e21	PL8_2	Y(1-22)	3
Bc_01508	-	GT9(72-318)	GT9_e65	GT9	N	3
Bc_01510	-	GT113(13-335)	GT113_e14	GT113	N	3
Bc_01513	-	GT4(203-348)	GT4_e2089	GT4	N	3
Bc_01517	-	GT2(8-187)	GT2	GT2	N	3
Bc_01518	-	GT2(6-128)	GT2	GT2	N	3
Bc_01520	2.4.1.-	GT2(5-128)	GT2	GT2	N	3
Bc_01522	-	GT2(7-97)	GT2	GT2	N	3
Bc_01523	-	GT4(193-337)	GT4_e3070	GT4	N	3
Bc_01525	-	GT2(8-171)	GT2	GT2	N	3
Bc_01526	-	GT32(21-95)	GT32_e128	GT32	N	3
Bc_01527	-	GT8(2-247)	GT8_e120	GT8	N	3
Bc_01528	N	GT2(3-206)	N	N	N	1
Bc_01531	-	GT2(17-135)	GT2	GT2	N	3
Bc_01533	-	GT2(5-163)	GT2	GT2	N	3
Bc_01543	-	GT2(8-176)	GT2	GT2	N	3
Bc_01544	-	GT83(2-513)	GT83_e8	N	Y(1-29)	2
Bc_01634	3.2.1.113|3.2.1.-	GH92(230-737)	GH92_e18	GH92	Y(1-20)	3
Bc_01635	3.2.1.-|3.2.1.113|3.2.1.114|3.2.1.24	GH92(245-752)	GH92_e0	GH92	Y(1-23)	3
Bc_01638	3.2.1.-|3.2.1.113|3.2.1.114|3.2.1.24	GH92(239-733)	GH92_e0	GH92	Y(1-26)	3
Bc_01643	-	GH23(129-261)	GH23_e209+CBM50_e207	CBM50+GH23	Y(1-24)	3
Bc_01648	-	GT19(4-357)	GT19_e2	GT19	N	3
Bc_01665	-	GH2(70-1003)+CBM32(1212-1338)	GH2_e89+CBM32_e167	CBM32+GH2	Y(1-21)	3
Bc_01697	3.2.1.-	GH105(52-396)	GH105_e41	GH105	Y(1-27)	3
Bc_01698	-	CE8(35-275)	CE8_e86	CE8	N	3
Bc_01699	-	CE12(30-261)+CE8(277-549)	CE12_e30+CE8_e86	CE12+CE8	Y(1-24)	3
Bc_01704	-	PL1_2(104-291)	PL1_e95	PL1_2	Y(1-22)	3
Bc_01705	-	PL1_2(114-305)	PL1_e95	PL1_2	N	3
Bc_01726	-	GH35(40-371)	GH35_e21	GH35	Y(1-20)	3
Bc_01727	-	GH43_10(37-311)+CBM91(339-527)	GH43_e4+CBM91_e35	GH43_10	Y(1-23)	3
Bc_01731	-	GH2(2-454)	GH2_e148	GH2	N	3
Bc_01732	-	GH120(308-397)	GH120_e7+GH120_e3	GH120	Y(1-19)	3
Bc_01733	-	GH95(33-773)+GH95(928-1503)	GH95_e14+GH95_e4	GH95	Y(1-26)	3
Bc_01735	3.2.1.55|3.2.1.37|-	GH43_10(39-309)+CBM91(343-555)	GH43_e0+CBM91_e10	GH43_10	Y(1-21)	3
Bc_01737	3.2.1.67	GH28(87-483)	GH28_e64	GH28	Y(1-30)	3
Bc_01754	-	CE11(4-224)	CE11_e18	CE11	N	3
Bc_01784	-	GH2(65-967)	GH2_e30	GH2	Y(1-28)	3
Bc_01786	-	GH109(56-460)	GH109_e5	GH109	Y(1-31)	3
Bc_01797	-	CBM32(234-359)	CBM32_e96	CBM32	Y(1-19)	3
Bc_01799	3.2.1.-	GH110(27-582)	GH110_e19	GH110	Y(1-25)	3
Bc_01804	-	CBM32(241-365)	CBM32_e96	CBM32	Y(1-27)	3
Bc_01806	-	GH109(18-417)	GH109_e5	GH109	N	3
Bc_01834	-	GH133(285-636)	GH133_e1	GH133	N	3
Bc_01835	-	GT4(239-384)	GT4_e602	GT4	N	3
Bc_01836	-	GH57(20-334)	GH57_e10	GH57	N	3
Bc_01838	-	GT5(6-239)	GT5_e28	GT5	N	3
Bc_01861	-	GH154(28-249)	GH154_e16	GH154	Y(1-20)	3
Bc_01862	3.2.1.-	GH88(80-422)	GH88_e11	GH88	Y(1-35)	3
Bc_01908	3.2.1.23|-	GH35(28-336)	GH35_e43+CBM32_e42	CBM32+GH35	N	3
Bc_01909	-	GH89(64-706)	GH89_e7	GH89	N	3
