## Mon Sep  5 19:04:09 2022
## emapper-2.1.9
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_vhf90vum --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_vhf90vum --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_vhf90vum/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype proteins --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
Bo_00001	411476.BACOVA_00003	2.35e-106	306.0	COG0776@1|root,COG0776@2|Bacteria,4P464@976|Bacteroidetes,2FR2M@200643|Bacteroidia,4AQ3S@815|Bacteroidaceae	976|Bacteroidetes	L	Bacterial DNA-binding protein	-	-	-	-	-	-	-	-	-	-	-	-	Bac_DNA_binding
Bo_00002	411476.BACOVA_00006	4.41e-83	245.0	COG4974@1|root,COG4974@2|Bacteria,4P2ST@976|Bacteroidetes,2G050@200643|Bacteroidia,4AQ7X@815|Bacteroidaceae	976|Bacteroidetes	L	COG NOG21178 non supervised orthologous group	-	-	-	-	-	-	-	-	-	-	-	-	Phage_int_SAM_5,Phage_integrase
Bo_00003	411476.BACOVA_00007	6.65e-177	494.0	COG4372@1|root,COG4372@2|Bacteria,4PM9B@976|Bacteroidetes,2G0EY@200643|Bacteroidia,4AV6G@815|Bacteroidaceae	976|Bacteroidetes	S	COG COG3436 Transposase and inactivated derivatives	-	-	-	ko:K07484	-	-	-	-	ko00000	-	-	-	DDE_Tnp_IS66,DDE_Tnp_IS66_C,LZ_Tnp_IS66,zf-IS66
Bo_00004	411476.BACOVA_00010	1.02e-136	393.0	COG4974@1|root,COG4974@2|Bacteria,4NEK2@976|Bacteroidetes,2G0EZ@200643|Bacteroidia,4AV6H@815|Bacteroidaceae	976|Bacteroidetes	L	Psort location Cytoplasmic, score 8.96	-	-	-	-	-	-	-	-	-	-	-	-	DDE_Tnp_IS66,DDE_Tnp_IS66_C
Bo_00008	411476.BACOVA_00018	8.85e-124	353.0	2DXW7@1|root,346Y0@2|Bacteria	2|Bacteria	S	Psort location CytoplasmicMembrane, score	-	-	-	-	-	-	-	-	-	-	-	-	Acyl_transf_3
Bo_00009	411476.BACOVA_00019	1.72e-209	578.0	COG3666@1|root,COG3666@2|Bacteria,4NEDD@976|Bacteroidetes,2FS8D@200643|Bacteroidia,4AQVI@815|Bacteroidaceae	976|Bacteroidetes	L	COG COG3666 Transposase and inactivated derivatives	-	-	-	-	-	-	-	-	-	-	-	-	DDE_Tnp_1,DDE_Tnp_1_6,DUF772
Bo_00010	411476.BACOVA_00021	1.62e-126	360.0	COG3935@1|root,COG3935@2|Bacteria,4PJE6@976|Bacteroidetes,2FP2Y@200643|Bacteroidia,4APNT@815|Bacteroidaceae	976|Bacteroidetes	L	COG NOG19076 non supervised orthologous group	-	-	-	-	-	-	-	-	-	-	-	-	DUF4373
Bo_00011	411476.BACOVA_00023	4.19e-106	306.0	COG0250@1|root,COG0250@2|Bacteria,4NSVU@976|Bacteroidetes,2FN5X@200643|Bacteroidia,4AKFQ@815|Bacteroidaceae	976|Bacteroidetes	K	COG NOG19120 non supervised orthologous group	-	-	-	-	-	-	-	-	-	-	-	-	NusG
Bo_00012	411476.BACOVA_00323	5.52e-44	147.0	COG1399@1|root,COG1399@2|Bacteria,4NMQT@976|Bacteroidetes,2FPCJ@200643|Bacteroidia,4ANQ1@815|Bacteroidaceae	976|Bacteroidetes	S	Psort location Cytoplasmic, score 8.96	-	-	-	-	-	-	-	-	-	-	-	-	DUF177
Bo_00013	411476.BACOVA_00026	3.5e-40	132.0	COG0333@1|root,COG0333@2|Bacteria,4NUXU@976|Bacteroidetes,2FUZD@200643|Bacteroidia,4ARR4@815|Bacteroidaceae	976|Bacteroidetes	J	Belongs to the bacterial ribosomal protein bL32 family	rpmF	-	-	ko:K02911	ko03010,map03010	M00178	-	-	br01610,ko00000,ko00001,ko00002,ko03011,ko03029	-	-	-	Ribosomal_L32p
