Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
Bu_00042	QQA30060.1|GH172	100.0	393	0	0	1	393	1	393	1.1e-243	845.9
Bu_00043	AST56160.1|GH35	30.7	875	528	26	257	1072	714	1569	2.0e-103	381.3
Bu_00048	QUT61530.1|CBM38|GH116	100.0	992	0	0	1	992	1	992	0.0e+00	2080.1
Bu_00089	QQA30047.1|GH172	100.0	391	0	0	1	391	1	391	1.4e-243	845.5
Bu_00118	QUT62129.1|GH30_3	100.0	503	0	0	1	503	1	503	1.1e-293	1012.3
Bu_00124	QQA30034.1|GH125	99.8	470	1	0	1	470	13	482	2.5e-284	981.1
Bu_00125	EDO56131.1|GH172	100.0	397	0	0	1	397	21	417	2.4e-248	861.3
Bu_00129	BBK86465.1|GH172	100.0	647	0	0	1	647	1	647	0.0e+00	1344.3
Bu_00131	QQA30027.1|GH76	100.0	390	0	0	1	390	1	390	1.7e-233	812.0
Bu_00133	BBK86467.1|GH38	97.9	1141	24	0	1	1141	63	1203	0.0e+00	2281.5
Bu_00134	QQA30026.1|GH172	100.0	693	0	0	1	693	2	694	0.0e+00	1431.0
Bu_00147	QUT61525.1|CBM32|GH2	100.0	1378	0	0	1	1378	1	1378	0.0e+00	2863.6
Bu_00149	QUT65772.1|GH97	100.0	649	0	0	1	649	1	649	0.0e+00	1349.7
Bu_00150	QUT61522.1|GH38	100.0	1209	0	0	1	1209	1	1209	0.0e+00	2454.1
Bu_00151	ATP55412.1|CBM66	41.8	651	345	12	45	687	28	652	1.4e-142	510.8
Bu_00152	QUT61520.1|GH76	100.0	409	0	0	1	409	1	409	4.9e-244	847.0
Bu_00153	QBJ18501.1|GH125	100.0	487	0	0	1	487	1	487	1.2e-294	1015.4
Bu_00157	QQA30005.1|GH76	100.0	377	0	0	1	377	1	377	3.8e-227	790.8
