dbCAN subfam	Subfam Composition	Subfam EC	Substrate	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH43_e59	GH43_29:334|CBM6:308|CBM2:13|CBM13:12|CBM22:12|CBM42:12|GH43_10:9|GH43:9|CBM48:6|CE0:6|GH43_17:4|GH27:3|GH43_30:2|CE6:2|CBM64:1|CBM51:1|GH43_26:1|CBM1:1	3.2.1.37:2|3.2.1.55:2|3.2.1.8:1	xylan, xylan, xylan	281	Bv_00036	835	2.5e-133	1	280	31	318	0.992882562278
CBM6_e0	CBM6:335|GH43_29:310|CBM13:12|CBM22:12|CBM2:12|GH43_16:11|GH43:10|CBM48:6|CE0:6|GH27:2|CBM32:1|CBM36:1|CBM1:1|GH43_10:1|CBM64:1	3.2.1.8:1|3.2.1.37:1|3.2.1.55:1	beta-glucan, xylan, cellulose	125	Bv_00036	835	4.7e-46	2	124	341	464	0.976
CBM48_e9	CBM48:44|CE0:41|CE6:26|CBM6:6|GH43_29:6	3.1.1.72:2|3.1.1.73:1	glycogen	60	Bv_00036	835	6.4e-34	1	60	498	557	0.983333333333
CE1_e22	CE1:6|CBM48:2|CE0:2	-	-	206	Bv_00036	835	3e-60	3	205	609	826	0.980582524272
GH43_e124	GH43_12:138|GH10:7|GH43:1	3.2.1.55:7|3.2.1.8:1	xylan, xylan	295	Bv_00042	632	1.1e-151	1	295	126	421	0.996610169492
CBM91_e46	CBM91:172|GH43_12:169|GH10:14|GH43_8:1	-	xylan	179	Bv_00042	632	1.4e-59	1	176	453	631	0.977653631285
GH43_e53	GH43_1:1254|GH43_10:16|GH5_21:6|CBM6:5|GH43:4|GH10:3|GH43_33:2|GH43_32:2|GH43_34:1|GH43_29:1|GH117:1	3.2.1.37:19|3.2.1.55:4	xylan, xylan	310	Bv_00043	323	3.4e-154	1	310	8	318	0.996774193548
GH16_e321	GH16_3:114|GH16:2|CBM16:1	3.2.1.-:1	carrageenan	227	Bv_00047	263	2.4e-112	2	227	36	261	0.991189427313
GH88_e24	GH88:141|GH92:7|GH28:1	-	-	324	Bv_00121	407	4.3e-169	2	324	76	396	0.993827160494
GH43_e0	GH43_10:1191|GH43_12:66|GH28:13|GH43:5	3.2.1.55:2|3.2.1.37:1	xylan, xylan	269	Bv_00122	549	2.8e-135	1	269	38	308	0.996282527881
CBM91_e10	CBM91:1294|GH43_10:1290|GH43:2|CBM6:1	-	xylan	195	Bv_00122	549	5.8e-69	1	194	342	547	0.989743589744
GH28_e12	GH28:34|CBM6:7|GH88:1	-	-	251	Bv_00131	478	2.5e-139	2	251	196	445	0.99203187251
GH106_e0	GH106:213|CE12:1	3.2.1.174:1	pectin	900	Bv_00171	951	0	1	900	34	946	0.998888888889
GH78_e14	GH78:99	-	-	493	Bv_00182	593	4e-244	1	492	96	591	0.995943204868
PL11_e1	PL11:23	-	-	560	Bv_00184	617	0	1	560	57	617	0.998214285714
GH106_e10	GH106:20|GH28:16	-	-	668	Bv_00185	1095	0	1	668	41	705	0.998502994012
GH28_e7	GH28:20|GH106:16	-	-	339	Bv_00185	1095	3.9e-183	3	339	734	1063	0.991150442478
GH105_e17	GH105:172|CE12:1	3.2.1.172:1	pectin	319	Bv_00186	377	6.6e-176	2	319	59	376	0.993730407524
GH42_e27	GH42:77|GH43_18:9	-	-	376	Bv_00187	704	4e-195	1	375	50	423	0.994680851064
GH2_e125	GH2:201|CBM32:11	3.2.1.23:1	beta-galactan	702	Bv_00189	955	0	2	697	20	707	0.990028490028
GH106_e0	GH106:213|CE12:1	3.2.1.174:1	pectin	900	Bv_00195	920	0	1	900	22	916	0.998888888889
