Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	Signalp	#ofTools
Bv_00007	-	GT2(5-128)	GT2	GT2	N	3
Bv_00032	-	CE20(98-222)+CE20(404-529)	CE20_e6	CE20	Y(1-22)	3
Bv_00033	3.2.1.139|3.2.1.131|3.2.1.-	GH67(68-650)	GH67_e0	GH67	Y(1-25)	3
Bv_00034	3.2.1.131	GH115(36-837)	GH115_e0	GH115	Y(1-22)	3
Bv_00035	3.2.1.55|-	GH43_10(27-294)+CBM91(323-526)	GH43_e82+CBM91_e4	GH43_10	Y(1-20)	3
Bv_00036	3.2.1.37|3.2.1.55|3.2.1.8|3.1.1.72|3.1.1.73|-	GH43_29(30-317)+CBM6(337-464)+CE1(600-829)	GH43_e59+CBM6_e0+CBM48_e9+CE1_e22	CBM48+CBM6+CE0+GH43_29	Y(1-29)	3
Bv_00042	3.2.1.55|3.2.1.8|-	GH43_12(125-420)+CBM91(451-630)	GH43_e124+CBM91_e46	GH43_12	N	3
Bv_00043	3.2.1.37|3.2.1.55	GH43_1(8-317)	GH43_e53	GH43_1	N	3
Bv_00044	3.2.1.8|3.2.1.55	GH10(30-368)	GH10_e83	GH10	Y(1-18)	3
Bv_00047	3.2.1.-	GH16_3(34-260)	GH16_e321	GH16_3	Y(1-28)	3
Bv_00060	-	CE9(5-377)	CE9_e7	CE9	N	3
Bv_00089	3.2.1.52|3.2.1.-	GH20(160-514)	GH20_e12	GH20	Y(1-24)	3
Bv_00102	-	CE11(4-225)	CE11_e18	CE11	N	3
Bv_00106	-	GH29(22-335)	GH29_e10	GH29	Y(1-20)	3
Bv_00109	3.2.1.-	GH110(23-592)	GH110_e12	GH110	Y(1-20)	3
Bv_00110	-	GH109(63-473)	GH109_e5	GH109	Y(1-24)	3
Bv_00121	-	GH88(72-395)	GH88_e24	GH88	N	3
Bv_00122	3.2.1.55|3.2.1.37|-	GH43_10(38-307)+CBM91(341-546)	GH43_e0+CBM91_e10	GH43_10	Y(1-21)	3
Bv_00123	-	GH97(15-626)	GH97_e24	GH97	Y(1-20)	3
Bv_00124	-	PL40(1-868)	PL40_e0	PL40	Y(1-21)	3
Bv_00126	3.2.1.185	GH146(49-554)	GH146_e0	GH146	Y(1-21)	3
Bv_00127	-	GH28(182-442)	GH28_e57	GH28	Y(1-19)	3
Bv_00131	-	GH28(175-446)	GH28_e12	GH28	Y(1-23)	3
Bv_00136	-	PL40(4-895)	PL40_e1	PL40	Y(1-19)	3
Bv_00138	3.2.1.21|3.2.1.37	GH3(135-357)	GH3_e98	GH3	N	3
Bv_00139	-	GH92(595-1124)	GH92_e24	GH92	N	3
Bv_00140	-	GH97(13-626)	GH97_e24	GH97	N	3
Bv_00144	-	GH88(70-395)	GH88_e24	GH88	Y(1-27)	3
Bv_00153	3.2.1.-	GH3(105-325)	GH3_e57	GH3	Y(1-22)	3
Bv_00160	3.2.1.172	GH105(99-434)	GH105_e7	GH105	Y(1-23)	3
Bv_00161	4.2.2.23|4.2.2.24	PL11_1(32-623)	PL11_e0	PL11_1	Y(1-23)	3
Bv_00162	3.2.1.67	GH28(75-449)	GH28_e133	GH28	Y(1-19)	3
Bv_00163	3.2.1.-	GH115(27-775)	GH115_e4	GH115	N	3
Bv_00167	4.2.2.24	PL26(246-1100)	PL26_e0	PL26	Y(1-26)	3
Bv_00168	-	CE12(65-284)+CE12(316-535)	CE12_e36+CE12_e36	CE12	Y(1-23)	3
Bv_00169	4.2.2.23|4.2.2.24	PL11_1(20-608)	PL11_e0	PL11_1	N	3
Bv_00170	3.2.1.31	GH2(14-498)	GH2_e41	GH2	N	3
Bv_00171	3.2.1.174	GH106(211-945)	GH106_e0	GH106	Y(1-26)	3
Bv_00182	-	GH78(92-591)	GH78_e14	GH78	N	3
Bv_00183	-	CE15(44-425)	CE15_e0	CE15	Y(1-20)	3
Bv_00184	-	PL11(56-617)	PL11_e1	PL11	Y(1-27)	3
Bv_00185	-	GH106(37-707)+GH28(735-1068)	GH106_e10+GH28_e7	GH106+GH28	N	3
Bv_00186	3.2.1.172	GH105(56-375)	GH105_e17	GH105	Y(1-23)	3
Bv_00187	-	GH42(49-423)	GH42_e27	GH42	Y(1-33)	3
Bv_00188	3.2.1.55|-	GH43_18(67-301)+GH43_34(318-611)	GH43_e84+GH43_e191+CBM32_e123	CBM32+GH43_18+GH43_34	Y(1-21)	3
Bv_00189	3.2.1.23	GH2(19-762)	GH2_e125	GH2	Y(1-22)	3
Bv_00190	-	CE12(174-379)	CE12_e37	CE12	Y(1-20)	3
Bv_00191	3.2.1.173	GH28(80-446)	GH28_e139	GH28	Y(1-22)	3
Bv_00194	3.2.1.173	GH28(48-394)	GH28_e34	GH28	Y(1-19)	3
Bv_00195	3.2.1.174	GH106(19-915)	GH106_e0	GH106	Y(1-20)	3
Bv_00221	3.2.1.177	GH31(219-716)	GH31_e94	GH31	N	3
Bv_00222	3.2.1.22	GH97(16-621)	GH97_e16	GH97	Y(1-27)	3
