Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
Ro_00032	CBL23266.1|GT4	71.4	794	227	0	1	794	1	794	0.0e+00	1211.1
Ro_00093	CBL23209.1|GH32	90.3	433	41	1	1	433	1	432	1.8e-241	838.6
Ro_00274	CAD7245033.1|GT58	66.9	475	143	3	2	463	1050	1523	6.5e-176	620.9
Ro_00284	CBL23048.1|GH42	84.0	664	106	0	1	664	1	664	0.0e+00	1193.7
Ro_00285	CBL23046.1|GH1	87.2	453	58	0	3	455	18	470	1.5e-254	882.1
Ro_00332	CCO12112.2|GH13_31	60.6	426	165	3	5	428	4	428	2.9e-138	495.7
Ro_00467	ALR08738.2|GT83	46.6	596	296	7	10	594	2	586	5.3e-146	521.9
Ro_00535	AEY69616.1|GH23	39.0	1085	523	20	1	975	2006	3061	9.2e-196	688.0
Ro_00689	QCU02819.1|GH78	88.2	397	47	0	1	397	1	397	5.5e-208	727.2
Ro_00692	CBL22273.1|GH13	80.8	562	83	2	1	562	1	537	2.5e-270	934.9
Ro_00702	CBL21191.1|GT2	79.6	338	68	1	1	337	1	338	3.6e-160	568.2
Ro_00714	CBL22253.1|GH13_4	94.0	615	37	0	116	730	96	710	0.0e+00	1241.1
Ro_00727	CBL22243.1|GT5	96.9	482	15	0	1	482	1	482	1.5e-287	991.9
Ro_00741	AHC21644.2|GH1	53.7	523	235	5	6	528	10	525	1.1e-158	563.9
Ro_00773	QNM02071.1|GH23	99.1	334	3	0	1	334	1	334	1.2e-174	616.3
Ro_00774	ANS88621.1|GH23	70.6	282	83	0	21	302	346	627	7.8e-114	414.1
Ro_00846	CBL22179.1|GH18	82.0	556	100	0	1	556	1	556	6.4e-271	936.8
Ro_00977	CAG7883609.1|GT1	54.4	665	299	2	3	665	377	1039	3.5e-207	725.3
Ro_00995	CCO09729.2|GH1	47.3	423	220	3	3	422	4	426	5.9e-107	391.7
Ro_00999	CUS04921.2|GT4	39.4	848	457	10	3	798	17	859	1.3e-187	660.6
Ro_01142	CBL21914.1|GH77	88.6	376	43	0	1	376	129	504	4.3e-205	717.6
Ro_01160	QYO62262.1|GH13	59.2	370	146	3	1	366	1	369	2.0e-112	410.2
Ro_01260	QBQ55251.1|CBM50	39.3	852	496	5	20	854	38	885	2.6e-157	560.1
Ro_01312	CCO12633.2|GH84	50.1	673	308	11	2	651	3	670	3.6e-180	635.6
Ro_01335	QWU85921.1|GH130	52.2	460	213	1	3	455	1373	1832	7.0e-138	494.6
Ro_01349	AHJ16615.1|GT4	67.4	473	153	1	1	473	1	472	2.6e-196	688.7
Ro_01368	UOX53970.1|GH13_31	76.3	472	110	1	4	473	85	556	9.5e-223	776.5
Ro_01383	CBL21811.1|GT2	89.0	319	35	0	1	319	1	319	3.9e-164	581.3
Ro_01406	CAD7245033.1|GT58	66.1	475	147	3	2	463	1053	1526	1.3e-168	596.7
Ro_01412	USF26404.1|GH32	54.1	497	222	3	1	495	1	493	7.4e-162	574.3
Ro_01433	CBL21846.1|GT28	96.6	356	12	0	1	356	1	356	4.6e-198	694.1
Ro_01672	USF30713.1|GH36	58.3	725	294	3	6	730	7	723	3.9e-260	901.4
Ro_01696	CBL22715.1|GT35	99.0	818	8	0	1	818	1	818	0.0e+00	1628.6
Ro_01702	QCU03902.1|CBM50	62.2	511	192	1	8	517	1	511	8.0e-191	670.6
Ro_01715	CBL22760.1|CE9	76.0	367	87	1	1	367	1	366	7.0e-165	583.9
Ro_01716	CBL22761.1|CE4	90.6	298	28	0	86	383	86	383	1.2e-132	477.2
Ro_01717	CBL22762.1|CBM48|GH13_9	91.7	628	52	0	1	628	1	628	0.0e+00	1258.4
Ro_01833	QMW80415.1|GH3	54.6	449	200	2	45	493	289	733	5.5e-133	478.4
Ro_01838	QHQ61615.1|GH32	41.7	503	286	4	1	502	1	497	3.4e-125	452.6
Ro_01840	AWY96820.1|GH13_4	67.9	607	194	1	52	658	7	612	8.4e-262	906.7
Ro_01841	QBE95624.1|GH172	74.9	363	90	1	5	366	7	369	1.8e-168	595.9
Ro_01906	ASV45029.1|GH23	38.9	1718	895	34	958	2554	1539	3223	0.0e+00	1085.5
Ro_01968	CBL24817.1|GH2	94.3	1014	58	0	1	1014	1	1014	0.0e+00	2023.4
Ro_01969	CBL24818.1|GH42	94.1	674	40	0	1	674	1	674	0.0e+00	1346.3
Ro_02044	CBL22607.1|GH78	91.3	654	57	0	1	654	1	654	0.0e+00	1308.5
Ro_02045	CBL22608.1|GH2	90.7	799	72	1	1	799	1	797	0.0e+00	1520.4
Ro_02046	CBL22609.1|GH3	97.3	1021	28	0	1	1021	1	1021	0.0e+00	1990.7
Ro_02052	CBL22615.1|GH43_35	95.4	483	22	0	1	483	1	483	1.4e-285	985.3
Ro_02096	CBL23363.1|GH3	96.0	953	38	0	1	953	1	953	0.0e+00	1849.7
Ro_02097	CBL23364.1|GH3	98.4	812	13	0	1	812	9	820	0.0e+00	1585.5
Ro_02114	VCV22434.1|GH23	97.3	335	9	0	1	335	1	335	6.3e-189	663.7
Ro_02139	ARA85284.1|CE12	58.1	327	135	2	2	327	45	370	9.5e-105	384.0
Ro_02152	CCO12868.2|GH1	60.9	1198	424	7	38	1202	7	1192	0.0e+00	1451.4
Ro_02218	CBL23687.1|CBM48|GH13_9	86.5	705	95	0	1	705	1	705	0.0e+00	1319.3
Ro_02233	QCJ45545.1|GH95	42.7	758	395	12	6	732	4	753	4.3e-169	599.0
Ro_02235	QCU02958.1|GH112	87.9	720	87	0	1	720	1	720	0.0e+00	1342.0
Ro_02241	QQR31700.1|GH29	59.9	441	170	3	4	440	8	445	1.4e-162	576.6
Ro_02255	CAI32746.2|GT4	56.8	412	160	2	82	493	1	394	1.0e-131	474.2
Ro_02256	CBL23715.1|GT2	52.8	515	243	0	2	516	1	515	5.1e-161	571.6
Ro_02259	CBL24268.1|GT2	77.4	323	73	0	3	325	2	324	5.0e-146	521.2
Ro_02302	AMJ18631.1|GT2	47.1	1189	575	19	5	1167	1	1161	1.3e-292	1010.0
Ro_02377	QFJ56309.1|GT2	72.3	310	86	0	1	310	1	310	9.9e-136	486.9
Ro_02380	CBK82386.1|GT2	64.2	380	122	1	1	366	1	380	1.8e-141	506.1
Ro_02384	CBL24255.1|CE4	77.9	272	59	1	1	272	1	271	4.6e-121	438.0
Ro_02385	QYU70931.1|GH28	58.4	428	171	2	7	434	5	425	7.9e-131	471.1
Ro_02397	QCU03784.1|GH0	74.5	423	106	1	1	421	1	423	3.3e-187	658.3
Ro_02440	QIX10568.1|GH23	99.1	335	3	0	1	335	1	335	2.3e-191	671.8
Ro_02463	QRT30361.1|GT2	98.4	250	4	0	1	250	1	250	1.2e-139	499.6
Ro_02464	QRT30362.1|GT2	96.9	259	8	0	1	259	1	259	3.5e-139	498.0
Ro_02470	CAI32746.2|GT4	58.7	412	152	2	1	412	1	394	2.0e-136	489.6
Ro_02478	CAG7903126.1|GH28	43.5	457	245	7	13	458	68	522	7.0e-109	398.3
Ro_02481	CAD7235639.1|GT2	44.1	549	290	9	4	549	136	670	5.1e-122	442.2
Ro_02494	CBL21300.1|CBM34|GH13	71.2	699	201	0	1	699	1	699	0.0e+00	1097.0
Ro_02570	CBL24510.1|CBM48|GH13_11	92.1	710	56	0	5	714	1	710	0.0e+00	1428.7
Ro_02665	CBL23581.1|GT35	90.5	755	72	0	1	755	1	755	0.0e+00	1376.7
Ro_02674	AGL63871.2|GT2	50.6	478	221	4	435	912	526	988	6.1e-125	452.6
Ro_02730	CBL24117.1|GH73	85.4	274	35	1	1	269	1	274	4.5e-129	464.5
Ro_02734	AGL63717.2|GT4	44.3	699	315	8	160	857	107	732	1.6e-151	540.8
Ro_02755	CAG7911095.1|GH5_11	43.9	859	434	17	2	826	577	1421	2.6e-210	736.1
Ro_02821	QCU02864.1|GH43_11	94.7	548	29	0	1	548	1	548	0.0e+00	1134.8
Ro_02822	QCU02863.1|GH5_44	88.0	384	46	0	1	384	1	384	9.8e-210	733.0
Ro_02877	CBL24215.1|CBM48|GH13_11	79.2	629	130	1	1	629	1	628	0.0e+00	1090.5
Ro_02888	AGL64345.2|GT2	55.3	577	251	3	355	927	283	856	2.7e-173	613.2
Ro_02914	AWZ17133.1|GH13_30	39.8	1108	604	18	3	1065	406	1495	2.2e-225	786.6
Ro_03019	CBL24393.1|GH94	88.4	811	94	0	1	811	1	811	0.0e+00	1552.3
Ro_03045	CAE6204650.1|GH28	52.0	602	281	5	4	599	744	1343	6.7e-173	611.3
Ro_03067	CBL24562.1|GT2	91.9	812	62	1	1	808	1	812	0.0e+00	1575.1
Ro_03068	CBL24563.1|GT2	89.0	817	87	1	1	817	1	814	0.0e+00	1522.3
Ro_03071	CBL21583.1|GT2	76.1	619	147	1	1	619	1	618	7.4e-292	1006.5
Ro_03072	CBL24567.1|GT2	87.1	317	41	0	1	317	1	317	1.7e-164	582.4
Ro_03075	CBL24569.1|GT2	75.8	306	74	0	1	306	1	306	6.5e-140	500.7
Ro_03081	QCU01352.1|GT2	88.4	310	36	0	1	310	1	310	6.1e-154	547.4
Ro_03109	CAE6110940.1|CE8	41.6	550	295	13	12	551	253	786	7.9e-112	408.3
Ro_03141	AGL63717.2|GT4	49.9	623	297	7	113	735	107	714	1.6e-163	580.5
Ro_03146	CBL24624.1|GH77	93.3	284	17	1	1	282	1	284	5.6e-162	573.9
Ro_03147	CBL24624.1|GH77	90.9	220	20	0	6	225	279	498	3.6e-119	431.4
Ro_03151	CBL24631.1|CBM48|GH13_9	92.3	594	46	0	1	594	1	594	0.0e+00	1193.3
Ro_03182	CBL24654.1|GT51	93.4	792	52	0	1	792	1	792	0.0e+00	1514.6
Ro_03208	QUO32858.1|GH23	65.0	615	201	6	82	695	109	710	4.0e-222	775.0
Ro_03278	QWI77036.1|CBM48|GH13_9	58.6	319	131	1	8	326	637	954	2.4e-112	409.5
Ro_03325	CBL22846.1|GH13_31	95.7	556	24	0	1	556	1	556	0.0e+00	1125.9
Ro_03326	CBL22847.1|GH31	96.1	663	26	0	1	663	1	663	0.0e+00	1310.8
Ro_03334	QWI77036.1|CBM48|GH13_9	58.7	322	131	1	3	322	632	953	5.9e-107	391.7
Ro_03501	QBQ55156.1|CBM50	37.8	632	369	6	119	748	95	704	1.4e-107	394.8
