Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	Signalp	#ofTools
Bu_00042	-	GH172(124-372)	GH172_e20	GH172	Y(1-21)	3
Bu_00048	-	CBM38(309-418)+GH116(553-925)	CBM38_e8+GH116_e6	CBM38+GH116	Y(1-25)	3
Bu_00089	-	GH172(120-369)	GH172_e20	GH172	Y(1-21)	3
Bu_00118	3.2.1.75	GH30_3(74-501)	GH30_e41	GH30_3	N	3
Bu_00124	3.2.1.-	GH125(59-457)	GH125_e1	GH125	N	3
Bu_00125	-	GH172(98-350)	GH172_e6	GH172	Y(1-25)	3
Bu_00129	-	GH172(262-498)	GH172_e19+GH172_e19	GH172	Y(1-25)	3
Bu_00131	3.2.1.101	GH76(33-373)	GH76_e42	GH76	Y(1-21)	3
Bu_00133	3.2.1.113|3.2.1.-	GH38(3-200)	GH38_e34+CBM32_e185	GH38	N	3
Bu_00134	-	GH172(290-524)	GH172_e8	GH172	N	3
Bu_00147	3.2.1.23|-	GH2(23-888)+CBM32(1110-1234)+CBM32(1252-1372)	GH2_e1+CBM32_e55+CBM32_e55	CBM32+GH2	N	3
Bu_00149	3.2.1.22	GH97(11-648)	GH97_e5	GH97	Y(1-27)	3
Bu_00150	3.2.1.113|3.2.1.-	GH38(38-257)+CBM32(1085-1205)	GH38_e34+CBM32_e185	GH38	Y(1-40)	3
Bu_00151	3.2.1.-	GH127(332-563)	GH127_e5	CBM66	Y(1-22)	3
Bu_00152	3.2.1.101	GH76(66-390)	GH76_e42	GH76	Y(1-31)	3
Bu_00153	3.2.1.-	GH125(74-473)	GH125_e1	GH125	Y(1-23)	3
Bu_00157	-	GH76(50-352)	GH76_e19	GH76	N	3
Bu_00158	-	GH92(229-714)	GH92_e16	GH92	N	3
Bu_00159	-	CBM67(141-315)+GH78(344-853)	CBM67_e3+GH78_e29	GH78	N	3
Bu_00160	3.2.1.37|3.2.1.55|3.2.1.21|3.2.1.6|3.2.1.73	GH3(59-305)	GH3_e0	GH3	Y(1-21)	3
Bu_00161	-	GH31(314-731)	GH31_e32	GH31	Y(1-26)	3
Bu_00203	-	GH171(75-418)	GH171_e3	GH171	N	3
Bu_00207	-	GT2(246-371)	GT2	GT2	N	3
Bu_00211	3.2.1.92	GH171(45-412)	GH171_e0	GH171	Y(1-20)	3
Bu_00219	3.2.1.21|3.2.1.37|3.2.1.-|3.2.1.74	GH3(78-292)	GH3_e165	GH3	Y(1-24)	3
Bu_00220	3.1.1.73|3.2.1.55|3.2.1.8|-	CE1(155-391)	CBM48_e68+CE1_e22	CE0	Y(1-20)	3
Bu_00263	3.2.1.37|3.2.1.55|-	GH43_12(26-300)+CBM91(327-521)	GH43_e111+CBM91_e15	GH43_12	Y(1-25)	3
Bu_00264	3.2.1.4	GH5_4(253-563)	GH5_e108	GH5_4	Y(1-27)	3
Bu_00266	3.2.1.177	GH31(382-849)	GH31_e66	GH31	Y(1-26)	3
Bu_00267	3.2.1.23	GH2(21-716)	GH2_e127	GH2	N	3
