HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH109.hmm	399	Ro_00017	349	5.5e-29	6	309	2	283	0.759398496241
GT4.hmm	160	Ro_00032	802	9.5e-28	6	136	628	756	0.8125
GT2.hmm	170	Ro_00033	249	1.6e-29	1	159	9	158	0.929411764706
GH32.hmm	293	Ro_00093	433	1.8e-90	2	285	6	307	0.965870307167
CE4.hmm	130	Ro_00134	244	7.9e-31	5	112	58	167	0.823076923077
GH42.hmm	371	Ro_00284	667	1.8e-111	2	370	10	376	0.991913746631
GH1.hmm	429	Ro_00285	456	1.7e-162	3	428	6	454	0.990675990676
GH109.hmm	399	Ro_00645	327	4.8e-19	4	165	2	155	0.40350877193
GH78.hmm	504	Ro_00689	399	1.6e-56	6	318	68	398	0.619047619048
GH13_20.hmm	300	Ro_00692	563	2.4e-78	9	298	39	320	0.963333333333
GT2.hmm	170	Ro_00702	337	3.1e-29	1	107	5	109	0.623529411765
GH13_4.hmm	400	Ro_00714	730	4.2e-173	1	400	197	594	0.9975
GT5.hmm	472	Ro_00727	482	5.9e-187	1	471	3	476	0.995762711864
GH73.hmm	128	Ro_00786	442	5.2e-20	1	125	33	164	0.96875
GH18.hmm	296	Ro_00846	556	8.9e-40	48	281	275	544	0.787162162162
GH77.hmm	494	Ro_01142	396	3.3e-137	129	481	2	351	0.712550607287
GT4.hmm	160	Ro_01349	474	8.6e-25	13	159	287	438	0.9125
GH13_31.hmm	349	Ro_01368	476	2.1e-100	58	348	4	293	0.830945558739
GT2.hmm	170	Ro_01383	319	4.8e-26	1	166	6	167	0.970588235294
GH32.hmm	293	Ro_01412	495	1.2e-92	1	293	29	342	0.996587030717
GT28.hmm	157	Ro_01433	357	1.5e-40	2	152	188	339	0.955414012739
GH36.hmm	688	Ro_01672	732	1.7e-257	1	686	9	713	0.995639534884
GT35.hmm	674	Ro_01696	818	1.6e-282	1	673	95	812	0.99703264095
CE9.hmm	373	Ro_01715	367	3.5e-128	1	370	3	367	0.98927613941
CE4.hmm	130	Ro_01716	490	1.3e-29	6	119	172	286	0.869230769231
CBM48.hmm	76	Ro_01717	628	5.5e-19	2	70	26	111	0.894736842105
GH13_9.hmm	301	Ro_01717	628	5.6e-151	2	301	185	484	0.993355481728
GH32.hmm	293	Ro_01836	503	4.4e-62	1	288	96	374	0.9795221843
GH32.hmm	293	Ro_01838	517	4.9e-63	1	286	94	374	0.972696245734
GH13_4.hmm	400	Ro_01840	659	1.1e-170	1	400	128	525	0.9975
GH172.hmm	236	Ro_01841	366	3.8e-90	1	236	88	347	0.995762711864
