Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
Bo_00018	QRQ56356.1|GH28	100.0	468	0	0	1	468	1	468	1.5e-265	918.7
Bo_00026	QRQ58645.1|GH27	100.0	450	0	0	1	450	1	450	1.4e-271	938.7
Bo_00027	ALJ47154.1|PL9	100.0	677	0	0	1	677	1	677	0.0e+00	1268.4
Bo_00028	ALJ47155.1|GH10	100.0	660	0	0	1	660	28	687	0.0e+00	1353.6
Bo_00029	ALJ47152.1|GH43_9	100.0	453	0	0	1	453	58	510	2.4e-284	981.1
Bo_00030	SCV06561.1|GH115	100.0	232	0	0	1	232	1	232	5.8e-133	477.2
Bo_00034	ALJ47148.1|GH43_35	100.0	675	0	0	1	675	1	675	0.0e+00	1416.4
Bo_00035	QRQ58643.1|GH29	100.0	704	0	0	1	704	1	704	0.0e+00	1455.3
Bo_00052	ALJ45957.1|GT3	100.0	553	0	0	1	553	1	553	0.0e+00	1145.2
Bo_00053	QUT81090.1|GT35	100.0	854	0	0	1	854	1	854	0.0e+00	1777.7
Bo_00074	SCV11011.1|GH20	100.0	440	0	0	1	440	1	440	1.2e-259	899.0
Bo_00087	ALJ47335.1|CBM35|GH27	100.0	545	0	0	1	545	1	545	0.0e+00	1152.5
Bo_00112	QRQ54809.1|CE4	100.0	204	0	0	1	204	1	204	2.6e-121	438.3
Bo_00119	ALJ47937.1|GH18	100.0	546	0	0	1	546	1	546	0.0e+00	1130.5
Bo_00120	ALJ45344.1|GH139	100.0	766	0	0	1	766	1	766	0.0e+00	1620.9
Bo_00121	SCV09678.1|CE20	100.0	477	0	0	1	477	1	477	6.5e-288	993.0
Bo_00122	SCV09677.1|GH106	100.0	1099	0	0	1	1099	1	1099	0.0e+00	2284.6
Bo_00138	ALJ45326.1|GH2	100.0	949	0	0	1	949	1	949	0.0e+00	1991.9
Bo_00139	SCV09660.1|GH2	100.0	1099	0	0	1	1099	7	1105	0.0e+00	2293.1
Bo_00141	SCV09658.1|CBM57|GH137|GH2	100.0	1399	0	0	1	1399	1	1399	0.0e+00	2954.5
Bo_00143	ALJ46027.1|GT0	100.0	346	0	0	1	346	1	346	6.3e-208	726.9
Bo_00183	QUT25672.1|GH43_29	100.0	364	0	0	1	364	1	364	7.7e-225	783.1
Bo_00185	QUT25671.1|GH2	100.0	565	0	0	1	565	1	565	0.0e+00	1196.8
Bo_00186	SCV06597.1|GH2	100.0	447	0	0	1	447	1	447	1.6e-272	941.8
Bo_00188	ALJ47133.1|GH97	64.9	362	126	1	1	362	111	471	9.3e-144	513.8
Bo_00203	QRQ58664.1|GH10	100.0	584	0	0	1	584	1	584	0.0e+00	1158.3
Bo_00204	ALJ47171.1|PL9	100.0	672	0	0	1	672	1	672	0.0e+00	1373.6
Bo_00205	QRQ58662.1|GH115	100.0	851	0	0	1	851	1	851	0.0e+00	1769.6
