HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH2.hmm	752	Bc_00012	604	5.2e-105	23	406	51	495	0.509308510638
GH105.hmm	332	Bc_00013	360	5.2e-88	9	332	46	358	0.972891566265
GH154.hmm	348	Bc_00016	412	3.5e-114	1	347	31	390	0.994252873563
GH88.hmm	329	Bc_00019	402	1.1e-131	3	329	67	392	0.990881458967
GH43_26.hmm	294	Bc_00020	1544	3.2e-95	1	294	27	326	0.996598639456
GH106.hmm	824	Bc_00020	1544	3.1e-173	95	657	540	1107	0.682038834951
GH146.hmm	503	Bc_00021	655	2.4e-171	2	503	51	571	0.996023856859
GH16_3.hmm	230	Bc_00048	374	1.9e-54	3	229	139	369	0.982608695652
GH31.hmm	427	Bc_00061	528	6.8e-83	32	421	139	525	0.911007025761
GH97.hmm	631	Bc_00069	647	6.3e-189	4	627	13	640	0.987321711569
GH29.hmm	346	Bc_00082	471	1.4e-109	13	345	16	371	0.959537572254
GH110.hmm	548	Bc_00108	602	1.5e-220	2	548	27	578	0.996350364964
GH95.hmm	722	Bc_00109	831	1.6e-274	10	717	65	806	0.979224376731
GH123.hmm	538	Bc_00165	598	5.7e-244	3	538	59	597	0.994423791822
GT30.hmm	177	Bc_00169	407	2.9e-48	10	176	43	205	0.937853107345
PL9_2.hmm	368	Bc_00246	558	1.5e-114	4	364	54	445	0.978260869565
PL9_2.hmm	368	Bc_00247	526	1.1e-124	3	364	23	413	0.98097826087
GH89.hmm	663	Bc_00248	715	3.4e-201	3	652	64	703	0.978883861237
GH109.hmm	399	Bc_00249	465	1.2e-166	1	398	50	455	0.994987468672
GH35.hmm	307	Bc_00250	774	7.7e-121	2	306	37	345	0.990228013029
GH27.hmm	229	Bc_00268	545	6.1e-67	4	229	142	385	0.982532751092
GH16_3.hmm	230	Bc_00288	267	9.1e-55	1	230	35	261	0.995652173913
GT51.hmm	177	Bc_00323	653	3.4e-45	11	159	438	588	0.83615819209
GH3.hmm	216	Bc_00335	1003	6.8e-57	3	215	109	333	0.981481481481
GT3.hmm	637	Bc_00354	553	1e-128	1	346	13	347	0.541601255887
GT35.hmm	674	Bc_00355	854	2.5e-115	208	629	270	707	0.624629080119
GT4.hmm	160	Bc_00439	394	1.8e-33	4	151	212	357	0.91875
GT6.hmm	280	Bc_00442	263	1.1e-58	44	258	2	215	0.764285714286
GT11.hmm	276	Bc_00443	289	2.7e-74	2	275	2	288	0.989130434783
GT2.hmm	170	Bc_00445	270	8.3e-28	1	151	5	152	0.882352941176
GH130.hmm	296	Bc_00467	322	1.1e-94	1	296	19	317	0.996621621622
GH92.hmm	491	Bc_00468	755	5.4e-178	2	487	268	754	0.987780040733
GH29.hmm	346	Bc_00563	491	9.6e-108	20	346	14	367	0.942196531792
GH13_38.hmm	375	Bc_00645	565	1.4e-187	1	375	33	400	0.997333333333
GH13_8.hmm	293	Bc_00647	670	3.6e-149	1	293	220	511	0.996587030717
